fullname,CHELSA_bio1_1981.2010_V.2.1,CHELSA_bio12_1981.2010_V.2.1,nitrogen_0.5cm_mean,phh2o_0.5cm_mean,fullname,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
Coussarea spicata,23.75,2701.8,475.5,46.0,Coussarea spicata,Coussarea spicata,Coussarea spicata,77076718-1,77076718-1,Species
Coussarea spiciformis,24.65,3057.8,493.0,46.0,Coussarea spiciformis,Coussarea spiciformis,Coussarea spiciformis,1014072-1,1014072-1,Species
Coussarea strigosipes,17.95,2300.8,492.0,49.0,Coussarea strigosipes,Coussarea strigosipes,Coussarea strigosipes,747752-1,747752-1,Species
Coussarea surinamensis,26.25,2127.45,274.0,46.0,Coussarea surinamensis,Coussarea surinamensis,Coussarea surinamensis,67473-2,67473-2,Species
Coussarea talamancana,24.55,4357.6,609.0,52.0,Coussarea talamancana,Coussarea talamancana,Coussarea talamancana,67474-2,67474-2,Species
Coussarea tenuiflora,25.05,2418.6,372.0,47.5,Coussarea tenuiflora,Coussarea tenuiflora,Coussarea tenuiflora,67475-2,67475-2,Species
Coussarea terepaimensis,23.0,1784.9499999999998,308.0,54.0,Coussarea terepaimensis,Coussarea terepaimensis,Coussarea terepaimensis,747757-1,747757-1,Species
Coussarea tortilis,24.549999999999997,2280.65,389.5,50.0,Coussarea tortilis,Coussarea tortilis,Coussarea tortilis,67476-2,67476-2,Species
Coussarea tricephala,25.65,1830.4,264.0,47.0,Coussarea tricephala,Coussarea tricephala,Coussarea tricephala,67477-2,67477-2,Species
Coussarea triflora,23.75,1496.1,320.5,54.0,Coussarea triflora,Coussarea triflora,Coussarea triflora,747760-1,747760-1,Species
Coussarea uniflora,24.25,1719.3,344.0,51.0,Coussarea uniflora,Coussarea uniflora,Coussarea uniflora,747761-1,747761-1,Species
Coussarea vasqueziana,22.3,2795.1,496.0,51.5,Coussarea vasqueziana,Coussarea vasqueziana,Coussarea vasqueziana,77147817-1,77147817-1,Species
Coussarea venosa,25.35,6553.5,666.0,48.0,Coussarea venosa,Coussarea venosa,Coussarea venosa,67482-2,67482-2,Species
Coussarea veraguensis,24.05,4175.7,587.0,52.0,Coussarea veraguensis,Coussarea veraguensis,Coussarea veraguensis,67483-2,67483-2,Species
Coussarea verticillata,20.85,1571.2,337.0,51.0,Coussarea verticillata,Coussarea verticillata,Coussarea verticillata,747768-1,747768-1,Species
Coussarea verticillata var. glabra,22.95,2149.1,373.0,54.0,Coussarea verticillata var. glabra,Coussarea verticillata,Coussarea verticillata,747768-1,747768-1,Species
Coussarea verticillata var. pubescens,25.55,2059.7,,,Coussarea verticillata var. pubescens,Coussarea verticillata,Coussarea verticillata,747768-1,747768-1,Species
Coussarea violacea,25.15,3075.0,328.0,46.0,Coussarea violacea,Coussarea violacea,Coussarea violacea,747770-1,747770-1,Species
Coussarea viridis,23.85,1779.2,266.0,55.0,Coussarea viridis,Coussarea viridis,Coussarea viridis,747772-1,747772-1,Species
Coutaportla ghiesbreghtiana,17.45,664.45,255.0,70.0,Coutaportla ghiesbreghtiana,Coutaportla ghiesbreghtiana,Coutaportla ghiesbreghtiana,67487-2,67487-2,Species
Coutaportla guatemalensis,19.95,2937.9,537.0,57.0,Coutaportla guatemalensis,Coutaportla guatemalensis,Coutaportla guatemalensis,275227-2,275227-2,Species
Coutaportla pailensis,16.65,398.3,246.0,78.0,Coutaportla pailensis,Coutaportla pailensis,Coutaportla pailensis,275228-2,275228-2,Species
Coutarea hexandra,24.65,1420.8,273.0,57.0,Coutarea hexandra,Coutarea hexandra,Coutarea hexandra,67491-2,67491-2,Species
Coutarea hexandra f. pubescens,20.2,2116.25,380.0,52.0,Coutarea hexandra f. pubescens,Coutarea hexandra,Coutarea hexandra,67491-2,67491-2,Species
Coutarea hexandra var. campanilla,26.65,688.2,208.0,66.0,Coutarea hexandra var. campanilla,Coutarea hexandra,Coutarea hexandra,67491-2,67491-2,Species
Coutarea hexandra var. fluminensis,20.65,1813.4,436.0,51.0,Coutarea hexandra var. fluminensis,Coutarea hexandra,Coutarea hexandra,67491-2,67491-2,Species
Coutarea hexandra var. hexandra,24.05,3433.3,466.0,54.0,Coutarea hexandra var. hexandra,Coutarea hexandra,Coutarea hexandra,67491-2,67491-2,Species
Coutarea hexandra var. pubescens,21.45,1326.5,302.5,54.5,Coutarea hexandra var. pubescens,Coutarea hexandra,Coutarea hexandra,67491-2,67491-2,Species
Cowiea borneensis,25.65,2782.4,449.5,51.5,Cowiea borneensis,Cowiea borneensis,Cowiea borneensis,747794-1,747794-1,Species
Cowiea philippinensis,25.55,2668.6499999999996,348.5,50.5,Cowiea philippinensis,Cowiea philippinensis,Cowiea philippinensis,747795-1,747795-1,Species
Craspidospermum verticillatum,18.35,1937.45,255.0,55.0,Craspidospermum verticillatum,Craspidospermum verticillatum,Craspidospermum verticillatum,78180-1,78180-1,Species
Craterispermum aristatum,24.85,3780.2,309.0,48.0,Craterispermum aristatum,Craterispermum aristatum,Craterispermum aristatum,747798-1,747798-1,Species
Craterispermum capitatum,24.85,2705.8,234.0,49.0,Craterispermum capitatum,Craterispermum capitatum,Craterispermum capitatum,77164218-1,77164218-1,Species
Craterispermum caudatum,25.05,1946.7,286.0,50.0,Craterispermum caudatum,Craterispermum caudatum,Craterispermum caudatum,747801-1,747801-1,Species
Craterispermum cerinanthum,24.95,1694.9,294.0,52.0,Craterispermum cerinanthum,Craterispermum cerinanthum,Craterispermum cerinanthum,747802-1,747802-1,Species
Craterispermum cervicorne,22.75,2446.4,316.0,52.0,Craterispermum cervicorne,Craterispermum cervicorne,Craterispermum cervicorne,77146989-1,77146989-1,Species
Craterispermum deblockianum,25.15,1971.4,267.0,49.0,Craterispermum deblockianum,Craterispermum deblockianum,Craterispermum deblockianum,77127262-1,77127262-1,Species
Craterispermum dewevrei,25.049999999999997,1827.05,175.0,47.0,Craterispermum dewevrei,Craterispermum dewevrei,Craterispermum dewevrei,747804-1,747804-1,Species
Craterispermum gabonicum,24.95,2317.1,235.5,50.0,Craterispermum gabonicum,Craterispermum gabonicum,Craterispermum gabonicum,77164219-1,77164219-1,Species
Craterispermum inquisitorium,23.85,2141.9,265.0,49.0,Craterispermum inquisitorium,Craterispermum inquisitorium,Craterispermum inquisitorium,747809-1,747809-1,Species
Craterispermum inquisitorium var. inquisitorium,24.75,1704.85,224.0,50.0,Craterispermum inquisitorium var. inquisitorium,Craterispermum inquisitorium var. inquisitorium,Craterispermum inquisitorium,747809-1,77168011-1,Variety
Craterispermum inquisitorium var. longipedunculatum,24.15,1625.3,231.0,50.0,Craterispermum inquisitorium var. longipedunculatum,Craterispermum inquisitorium var. longipedunculatum,Craterispermum inquisitorium,747809-1,77188955-1,Variety
Craterispermum laurinum,24.05,2437.0,369.0,53.0,Craterispermum laurinum,Craterispermum laurinum,Craterispermum laurinum,747810-1,747810-1,Species
Craterispermum ledermannii,25.0,2542.5,274.0,49.0,Craterispermum ledermannii,Craterispermum ledermannii,Craterispermum ledermannii,747811-1,747811-1,Species
Craterispermum longipedunculatum,16.85,1508.5,310.0,52.5,Craterispermum longipedunculatum,Craterispermum longipedunculatum,Craterispermum longipedunculatum,747812-1,747812-1,Species
Craterispermum microdon,25.2,2595.95,532.0,55.5,Craterispermum microdon,Craterispermum microdon,Craterispermum microdon,747813-1,747813-1,Species
Craterispermum montanum,21.85,1639.15,556.5,54.0,Craterispermum montanum,Craterispermum montanum,Craterispermum montanum,747814-1,747814-1,Species
Craterispermum motleyanum,18.35,2330.0,338.0,48.0,Craterispermum motleyanum,Craterispermum motleyanum,Craterispermum motleyanum,77146987-1,77146987-1,Species
Craterispermum parvifolium,24.85,2997.4,294.5,47.0,Craterispermum parvifolium,Craterispermum parvifolium,Craterispermum parvifolium,77117697-1,77117697-1,Species
Craterispermum puffianum,20.200000000000003,2618.6000000000004,341.5,50.5,Craterispermum puffianum,Craterispermum puffianum,Craterispermum puffianum,77146988-1,77146988-1,Species
Craterispermum reticulatum,25.35,1746.6,222.0,47.0,Craterispermum reticulatum,Craterispermum reticulatum,Craterispermum reticulatum,747817-1,747817-1,Species
Craterispermum robbrechtianum,24.35,2675.6000000000004,294.0,48.0,Craterispermum robbrechtianum,Craterispermum robbrechtianum,Craterispermum robbrechtianum,77117699-1,77117699-1,Species
Craterispermum schweinfurthii,23.65,1592.75,235.5,54.0,Craterispermum schweinfurthii,Craterispermum schweinfurthii,Craterispermum schweinfurthii,747818-1,747818-1,Species
Craterispermum sonkeanum,23.55,3461.0,358.0,48.0,Craterispermum sonkeanum,Craterispermum sonkeanum,Craterispermum sonkeanum,77127265-1,77127265-1,Species
Cremaspora thomsonii,24.75,3426.3500000000004,339.0,51.0,Cremaspora thomsonii,Cremaspora thomsonii,Cremaspora thomsonii,747836-1,747836-1,Species
Cremaspora triflora,26.65,1145.9,250.0,61.0,Cremaspora triflora,Cremaspora triflora,Cremaspora triflora,747837-1,747837-1,Species
Cremaspora triflora subsp. comorensis,25.85,1424.3,319.0,56.5,Cremaspora triflora subsp. comorensis,Cremaspora triflora subsp. comorensis,Cremaspora triflora,747837-1,890202-1,Subspecies
Cremaspora triflora subsp. confluens,24.55,1355.4,242.0,57.0,Cremaspora triflora subsp. confluens,Cremaspora triflora subsp. confluens,Cremaspora triflora,747837-1,890203-1,Subspecies
Cremaspora triflora subsp. triflora,22.25,1372.5,235.0,55.0,Cremaspora triflora subsp. triflora,Cremaspora triflora subsp. triflora,Cremaspora triflora,747837-1,77168017-1,Subspecies
Crioceras dipladeniiflorus,24.45,1767.5,256.5,49.5,Crioceras dipladeniiflorus,Crioceras dipladeniiflorus,Crioceras dipladeniiflorus,78181-1,78181-1,Species
Cristobalia hirsutissima,14.15,1278.15,280.5,66.5,Cristobalia hirsutissima,Cristobalia hirsutissima,Cristobalia hirsutissima,60473392-2,60473392-2,Species
Crobylanthe pellacalyx,26.45,4656.1,580.0,49.0,Crobylanthe pellacalyx,Crobylanthe pellacalyx,Crobylanthe pellacalyx,747852-1,747852-1,Species
Crossopteryx febrifuga,27.35,1074.6,129.0,62.0,Crossopteryx febrifuga,Crossopteryx febrifuga,Crossopteryx febrifuga,747858-1,747858-1,Species
Crucianella aegyptiaca,20.35,592.5,278.0,77.0,Crucianella aegyptiaca,Crucianella aegyptiaca,Crucianella aegyptiaca,747860-1,747860-1,Species
Crucianella angustifolia,13.55,673.1,434.0,70.0,Crucianella angustifolia,Crucianella angustifolia,Crucianella angustifolia,747863-1,747863-1,Species
Crucianella arabica,21.75,266.05,107.5,78.0,Crucianella arabica,Crucianella arabica,Crucianella arabica,930867-1,930867-1,Species
Crucianella bithynica,11.55,814.0,357.0,72.0,Crucianella bithynica,Crucianella bithynica,Crucianella bithynica,747867-1,747867-1,Species
Crucianella chlorostachys,13.25,362.65,234.0,76.5,Crucianella chlorostachys,Crucianella chlorostachys,Crucianella chlorostachys,747875-1,747875-1,Species
Crucianella ciliata,16.549999999999997,92.8,94.5,79.0,Crucianella ciliata,Crucianella ciliata,Crucianella ciliata,747877-1,747877-1,Species
Crucianella disticha,16.15,745.9,267.0,66.0,Crucianella disticha,Crucianella disticha,Crucianella disticha,747883-1,747883-1,Species
Crucianella exasperata,10.95,506.9,240.0,76.0,Crucianella exasperata,Crucianella exasperata,Crucianella exasperata,747885-1,747885-1,Species
Crucianella filifolia,17.25,242.0,188.0,78.0,Crucianella filifolia,Crucianella filifolia,Crucianella filifolia,747887-1,747887-1,Species
Crucianella gilanica,8.95,516.9,339.5,73.5,Crucianella gilanica,Crucianella gilanica,Crucianella gilanica,747890-1,747890-1,Species
Crucianella gilanica subsp. damghanensis,7.55,496.7,186.0,77.0,Crucianella gilanica subsp. damghanensis,Crucianella gilanica subsp. damghanensis,Crucianella gilanica,747890-1,951130-1,Subspecies
Crucianella gilanica subsp. elbursensis,8.05,541.9,297.0,76.0,Crucianella gilanica subsp. elbursensis,Crucianella gilanica subsp. elbursensis,Crucianella gilanica,747890-1,955473-1,Subspecies
Crucianella gilanica subsp. glauca,8.35,562.3,406.5,73.5,Crucianella gilanica subsp. glauca,Crucianella gilanica subsp. glauca,Crucianella gilanica,747890-1,890204-1,Subspecies
Crucianella gilanica subsp. nezvensis,6.75,876.0,327.0,76.0,Crucianella gilanica subsp. nezvensis,Crucianella gilanica subsp. nezvensis,Crucianella gilanica,747890-1,951128-1,Subspecies
Crucianella gilanica subsp. pontica,12.35,967.7,,,Crucianella gilanica subsp. pontica,Crucianella gilanica subsp. pontica,Crucianella gilanica,747890-1,890206-1,Subspecies
Crucianella gilanica subsp. transcaspica,8.0,394.8,367.0,72.0,Crucianella gilanica subsp. transcaspica,Crucianella gilanica subsp. transcaspica,Crucianella gilanica,747890-1,955474-1,Subspecies
Crucianella gilanica subsp. transcaucasica,10.1,433.1,299.5,73.0,Crucianella gilanica subsp. transcaucasica,Crucianella gilanica subsp. transcaucasica,Crucianella gilanica,747890-1,890208-1,Subspecies
Crucianella graeca,13.2,684.5,437.0,70.0,Crucianella graeca,Crucianella graeca,Crucianella graeca,747894-1,747894-1,Species
Crucianella hirta,19.15,149.5,165.0,76.0,Crucianella hirta,Crucianella hirta,Crucianella hirta,747896-1,747896-1,Species
Crucianella imbricata,15.95,636.1,336.5,69.0,Crucianella imbricata,Crucianella imbricata,Crucianella imbricata,747901-1,747901-1,Species
Crucianella kurdistanica,14.65,601.8,,,Crucianella kurdistanica,Crucianella kurdistanica,Crucianella kurdistanica,747905-1,747905-1,Species
Crucianella latifolia,15.85,687.8,369.0,73.0,Crucianella latifolia,Crucianella latifolia,Crucianella latifolia,747906-1,747906-1,Species
Crucianella macrostachya,19.15,637.0,291.5,76.0,Crucianella macrostachya,Crucianella macrostachya,Crucianella macrostachya,747907-1,747907-1,Species
Crucianella maritima,16.05,657.8,339.5,69.0,Crucianella maritima,Crucianella maritima,Crucianella maritima,747908-1,747908-1,Species
Crucianella membranacea,19.6,195.5,100.0,79.0,Crucianella membranacea,Crucianella membranacea,Crucianella membranacea,747909-1,747909-1,Species
Crucianella patula,15.05,422.2,282.0,76.0,Crucianella patula,Crucianella patula,Crucianella patula,747918-1,747918-1,Species
Crucianella platyphylla,5.25,491.4,232.0,77.0,Crucianella platyphylla,Crucianella platyphylla,Crucianella platyphylla,937716-1,937716-1,Species
Crucianella sintenisii,11.75,440.1,233.5,75.0,Crucianella sintenisii,Crucianella sintenisii,Crucianella sintenisii,747932-1,747932-1,Species
Crucianella transjordanica,21.95,421.0,99.0,77.0,Crucianella transjordanica,Crucianella transjordanica,Crucianella transjordanica,747943-1,747943-1,Species
Cruciata articulata,18.45,697.3,316.0,76.0,Cruciata articulata,Cruciata articulata,Cruciata articulata,747947-1,747947-1,Species
Cruciata glabra,9.15,1015.7,619.0,61.0,Cruciata glabra,Cruciata glabra,Cruciata glabra,60456820-2,60456820-2,Species
Cruciata glabra subsp. glabra,10.35,1036.5,544.5,65.0,Cruciata glabra subsp. glabra,Cruciata glabra subsp. glabra,Cruciata glabra,60456820-2,77168034-1,Subspecies
Cruciata glabra subsp. hirticaulis,11.15,1071.7,548.0,59.0,Cruciata glabra subsp. hirticaulis,Cruciata glabra subsp. hirticaulis,Cruciata glabra,60456820-2,1016669-1,Subspecies
Cruciata glabra subsp. krylovii,1.15,739.75,618.0,62.0,Cruciata glabra subsp. krylovii,Cruciata glabra subsp. krylovii,Cruciata glabra,60456820-2,1019613-1,Subspecies
Cruciata glabra var. hirticaulis,11.95,1022.9,509.0,66.0,Cruciata glabra var. hirticaulis,Cruciata glabra subsp. hirticaulis,Cruciata glabra,60456820-2,1016669-1,Subspecies
Cruciata laevipes,9.95,889.8,623.0,61.0,Cruciata laevipes,Cruciata laevipes,Cruciata laevipes,747959-1,747959-1,Species
Cruciata laevipes var. brutia,13.9,718.5,403.5,67.0,Cruciata laevipes var. brutia,Cruciata laevipes,Cruciata laevipes,747959-1,747959-1,Species
Cruciata pedemontana,11.85,672.0,570.0,63.0,Cruciata pedemontana,Cruciata pedemontana,Cruciata pedemontana,60453492-2,60453492-2,Species
Cruciata pedemontana var. longepilosum,12.15,745.6,,,Cruciata pedemontana var. longepilosum,Cruciata pedemontana,Cruciata pedemontana,60453492-2,60453492-2,Species
Cruciata pedemontana var. pedemontana,8.65,1004.8,549.0,68.0,Cruciata pedemontana var. pedemontana,Cruciata pedemontana var. pedemontana,Cruciata pedemontana,60453492-2,77168030-1,Variety
Cruciata taurica,11.05,811.7,517.0,68.0,Cruciata taurica,Cruciata taurica,Cruciata taurica,747968-1,747968-1,Species
Cruciata taurica subsp. armeniaca,5.55,674.85,441.0,68.0,Cruciata taurica subsp. armeniaca,Cruciata taurica subsp. armenica,Cruciata taurica,747968-1,77067773-1,Subspecies
Cruciata taurica subsp. euboea,11.2,769.95,420.0,70.0,Cruciata taurica subsp. euboea,Cruciata taurica subsp. euboea,Cruciata taurica,747968-1,890217-1,Subspecies
Cruciata taurica subsp. glaberrima,3.2,820.0,495.5,67.5,Cruciata taurica subsp. glaberrima,Cruciata taurica subsp. glaberrima,Cruciata taurica,747968-1,77067775-1,Subspecies
Cruciata taurica subsp. mesopotamica,14.75,725.1,,,Cruciata taurica subsp. mesopotamica,Cruciata taurica subsp. mesopotamica,Cruciata taurica,747968-1,890218-1,Subspecies
Cruciata taurica subsp. persica,8.45,786.55,336.5,75.5,Cruciata taurica subsp. persica,Cruciata taurica subsp. persica,Cruciata taurica,747968-1,919456-1,Subspecies
Cruciata taurica subsp. taurica,6.4,932.1,537.0,62.0,Cruciata taurica subsp. taurica,Cruciata taurica subsp. taurica,Cruciata taurica,747968-1,77168028-1,Subspecies
Cruciata taurica var. euboeum,9.15,774.6,442.0,67.0,Cruciata taurica var. euboeum,Cruciata taurica subsp. euboea,Cruciata taurica,747968-1,890217-1,Subspecies
Cruciata valentinae,-1.35,2187.2,698.0,54.0,Cruciata valentinae,Cruciata valentinae,Cruciata valentinae,747969-1,747969-1,Species
Cruckshanksia hymenodon,13.65,118.15,270.5,79.0,Cruckshanksia hymenodon,Cruckshanksia hymenodon,Cruckshanksia hymenodon,303317-2,303317-2,Species
Cruckshanksia macrantha,-1.6,611.55,194.5,75.0,Cruckshanksia macrantha,Cruckshanksia macrantha,Cruckshanksia macrantha,747979-1,747979-1,Species
Cruckshanksia montiana,15.2,45.1,195.0,77.0,Cruckshanksia montiana,Cruckshanksia montiana,Cruckshanksia montiana,747981-1,747981-1,Species
Cruckshanksia palmae,5.55,707.95,347.0,72.5,Cruckshanksia palmae,Cruckshanksia palmae,Cruckshanksia palmae,71143-2,71143-2,Species
Cruckshanksia pumila,15.85,48.0,165.0,79.0,Cruckshanksia pumila,Cruckshanksia pumila,Cruckshanksia pumila,747986-1,747986-1,Species
Cruckshanksia verticillata,15.149999999999999,37.1,198.0,77.5,Cruckshanksia verticillata,Cruckshanksia verticillata,Cruckshanksia verticillata,71146-2,71146-2,Species
Crusea andersoniorum,19.45,1509.5,356.0,53.0,Crusea andersoniorum,Crusea andersoniorum,Crusea andersoniorum,312820-2,312820-2,Species
Crusea calcicola,19.35,967.2,274.5,67.5,Crusea calcicola,Crusea calcicola,Crusea calcicola,71175-2,71175-2,Species
Crusea calocephala,19.65,1860.3,411.0,57.0,Crusea calocephala,Crusea calocephala,Crusea calocephala,747995-1,747995-1,Species
Crusea coccinea,15.15,1655.9499999999998,453.0,56.0,Crusea coccinea,Crusea coccinea,Crusea coccinea,317926-2,317926-2,Species
Crusea coccinea var. breviloba,15.95,1757.6,451.0,56.0,Crusea coccinea var. breviloba,Crusea coccinea var. breviloba,Crusea coccinea,317926-2,71177-2,Variety
Crusea coccinea var. chiriquensis,12.15,4395.7,583.0,52.0,Crusea coccinea var. chiriquensis,Crusea coccinea var. chiriquensis,Crusea coccinea,317926-2,71178-2,Variety
Crusea coccinea var. coccinea,15.25,1700.8,451.0,56.0,Crusea coccinea var. coccinea,Crusea coccinea var. coccinea,Crusea coccinea,317926-2,77168035-1,Variety
Crusea coronata,21.4,903.85,225.0,65.0,Crusea coronata,Crusea coronata,Crusea coronata,71180-2,71180-2,Species
Crusea hispida,20.95,1369.0,328.5,62.0,Crusea hispida,Crusea hispida,Crusea hispida,71188-2,71188-2,Species
Crusea hispida subsp. grandiflora,16.55,486.0,226.0,76.0,Crusea hispida subsp. grandiflora,Crusea hispida var. grandiflora,Crusea hispida,71188-2,71189-2,Variety
Crusea hispida var. grandiflora,21.35,1294.3,283.5,63.0,Crusea hispida var. grandiflora,Crusea hispida var. grandiflora,Crusea hispida,71188-2,71189-2,Variety
Crusea hispida var. hispida,21.35,1226.1,294.5,62.0,Crusea hispida var. hispida,Crusea hispida var. hispida,Crusea hispida,71188-2,77168046-1,Variety
Crusea longiflora,15.55,1146.25,351.0,60.0,Crusea longiflora,Crusea longiflora,Crusea longiflora,71190-2,71190-2,Species
Crusea lucida,19.1,1669.85,372.5,58.0,Crusea lucida,Crusea lucida,Crusea lucida,748014-1,748014-1,Species
Crusea megalocarpa,20.95,1082.5,278.0,63.0,Crusea megalocarpa,Crusea megalocarpa,Crusea megalocarpa,71191-2,71191-2,Species
Crusea parviflora,24.85,1363.4,338.0,61.0,Crusea parviflora,Crusea parviflora,Crusea parviflora,748018-1,748018-1,Species
Crusea psyllioides,22.549999999999997,924.5,246.0,66.0,Crusea psyllioides,Crusea psyllioides,Crusea psyllioides,71193-2,71193-2,Species
Crusea pulcherrima,17.05,1656.8,380.0,54.0,Crusea pulcherrima,Crusea pulcherrima,Crusea pulcherrima,77092335-1,77092335-1,Species
Crusea setosa,21.85,1246.1,280.0,64.0,Crusea setosa,Crusea setosa,Crusea setosa,71195-2,71195-2,Species
Crusea wrightii,19.950000000000003,1161.1999999999998,283.0,62.0,Crusea wrightii,Crusea wrightii,Crusea wrightii,748031-1,748031-1,Species
Crusea wrightii subsp. angustifolia,27.45,950.8,257.0,68.0,Crusea wrightii subsp. angustifolia,Crusea wrightii var. angustifolia,Crusea wrightii,748031-1,71199-2,Variety
Crusea wrightii var. angustifolia,20.65,1113.6,267.0,62.0,Crusea wrightii var. angustifolia,Crusea wrightii var. angustifolia,Crusea wrightii,748031-1,71199-2,Variety
Crusea wrightii var. wrightii,18.85,1024.1,259.0,61.0,Crusea wrightii var. wrightii,Crusea wrightii var. wrightii,Crusea wrightii,748031-1,77168043-1,Variety
Cryptolepis apiculata,24.5,1269.85,168.5,56.0,Cryptolepis apiculata,Cryptolepis apiculata,Cryptolepis apiculata,95909-1,95909-1,Species
Cryptolepis apiculata subsp. africana,22.65,650.5,91.0,62.0,Cryptolepis apiculata subsp. africana,Cryptolepis apiculata,Cryptolepis apiculata,95909-1,95909-1,Species
Cryptolepis arbuscula,24.75,239.7,265.0,76.0,Cryptolepis arbuscula,Cryptolepis arbuscula,Cryptolepis arbuscula,998080-1,998080-1,Species
Cryptolepis calophylla,26.85,1167.1,191.0,61.0,Cryptolepis calophylla,Cryptolepis calophylla,Cryptolepis calophylla,77158571-1,77158571-1,Species
Cryptolepis capensis,18.6,959.0,242.0,58.0,Cryptolepis capensis,Cryptolepis capensis,Cryptolepis capensis,95917-1,95917-1,Species
Cryptolepis cryptolepioides,18.1,659.3,164.0,60.0,Cryptolepis cryptolepioides,Cryptolepis cryptolepioides,Cryptolepis cryptolepioides,95918-1,95918-1,Species
Cryptolepis decidua,21.45,138.1,79.5,84.0,Cryptolepis decidua,Cryptolepis decidua,Cryptolepis decidua,95920-1,95920-1,Species
Cryptolepis delagoensis,17.95,866.0,199.0,56.0,Cryptolepis delagoensis,Cryptolepis delagoensis,Cryptolepis delagoensis,95921-1,95921-1,Species
Cryptolepis eburnea,25.75,1502.8,320.0,55.0,Cryptolepis eburnea,Cryptolepis eburnea,Cryptolepis eburnea,20003286-1,20003286-1,Species
Cryptolepis gillettii,18.95,628.2,232.0,78.0,Cryptolepis gillettii,Cryptolepis gillettii,Cryptolepis gillettii,95927-1,95927-1,Species
Cryptolepis gossweileri,20.95,1139.4,87.0,55.0,Cryptolepis gossweileri,Cryptolepis gossweileri,Cryptolepis gossweileri,95928-1,95928-1,Species
Cryptolepis grandiflora,25.05,718.5,239.0,66.0,Cryptolepis grandiflora,Cryptolepis grandiflora,Cryptolepis grandiflora,95929-1,95929-1,Species
Cryptolepis hypoglauca,25.45,1192.3,187.0,59.0,Cryptolepis hypoglauca,Cryptolepis hypoglauca,Cryptolepis hypoglauca,95931-1,95931-1,Species
Cryptolepis ibayana,19.95,941.9,134.5,61.0,Cryptolepis ibayana,Cryptolepis ibayana,Cryptolepis ibayana,77100371-1,77100371-1,Species
Cryptolepis intricata,23.15,271.2,250.0,74.5,Cryptolepis intricata,Cryptolepis intricata,Cryptolepis intricata,998079-1,998079-1,Species
Cryptolepis laurentii,25.95,1465.9,,,Cryptolepis laurentii,Cryptolepis laurentii,Cryptolepis laurentii,95933-1,95933-1,Species
Cryptolepis macrophylla,25.5,200.55,265.5,76.5,Cryptolepis macrophylla,Cryptolepis macrophylla,Cryptolepis macrophylla,998078-1,998078-1,Species
Cryptolepis microphylla,24.0,1711.35,168.0,52.0,Cryptolepis microphylla,Cryptolepis microphylla,Cryptolepis microphylla,95938-1,95938-1,Species
Cryptolepis migiurtina,26.55,237.5,165.0,79.0,Cryptolepis migiurtina,Cryptolepis migiurtina,Cryptolepis migiurtina,95939-1,95939-1,Species
Cryptolepis nigrescens,26.85,1137.0,250.0,61.0,Cryptolepis nigrescens,Cryptolepis nigrescens,Cryptolepis nigrescens,77158572-1,77158572-1,Species
Cryptolepis oblongifolia,24.45,1099.1,152.0,60.0,Cryptolepis oblongifolia,Cryptolepis oblongifolia,Cryptolepis oblongifolia,95943-1,95943-1,Species
Cryptolepis obtusa,22.85,906.65,161.0,62.0,Cryptolepis obtusa,Cryptolepis obtusa,Cryptolepis obtusa,95945-1,95945-1,Species
Cryptolepis sanguinolenta,26.35,1389.6,240.0,56.0,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta,95951-1,95951-1,Species
Cryptolepis sinensis,22.75,2074.75,322.0,55.0,Cryptolepis sinensis,Cryptolepis sinensis,Cryptolepis sinensis,95952-1,95952-1,Species
Cryptolepis socotrana,25.05,217.1,236.0,78.0,Cryptolepis socotrana,Cryptolepis socotrana,Cryptolepis socotrana,998081-1,998081-1,Species
Cryptolepis volubilis,25.05,244.5,263.0,77.0,Cryptolepis volubilis,Cryptolepis volubilis,Cryptolepis volubilis,95958-1,95958-1,Species
Cryptolepis yemenensis,25.15,101.2,244.0,80.0,Cryptolepis yemenensis,Cryptolepis yemenensis,Cryptolepis yemenensis,1012041-1,1012041-1,Species
Cryptostegia grandiflora,24.15,702.95,130.5,65.0,Cryptostegia grandiflora,Cryptostegia grandiflora,Cryptostegia grandiflora,95962-1,95962-1,Species
Cryptostegia madagascariensis,25.35,1256.65,187.0,62.0,Cryptostegia madagascariensis,Cryptostegia madagascariensis,Cryptostegia madagascariensis,95963-1,95963-1,Species
Cryptostegia madagascariensis var. glaberrima,25.25,1073.1,154.0,63.5,Cryptostegia madagascariensis var. glaberrima,Cryptostegia madagascariensis,Cryptostegia madagascariensis,95963-1,95963-1,Species
Cryptostegia madagascariensis var. septentrionalis,25.95,1459.7,189.0,60.0,Cryptostegia madagascariensis var. septentrionalis,Cryptostegia madagascariensis,Cryptostegia madagascariensis,95963-1,95963-1,Species
Cubanola daphnoides,25.0,1870.4,597.0,59.0,Cubanola daphnoides,Cubanola daphnoides,Cubanola daphnoides,72065-2,72065-2,Species
Cubanola domingensis,26.25,1188.2,561.0,66.5,Cubanola domingensis,Cubanola domingensis,Cubanola domingensis,72066-2,72066-2,Species
Cuphea heterophylla,17.55,1265.1,359.0,60.0,Cuphea heterophylla,,,,,
