"X","Symbol","Synonym.Symbol","Scientific.Name.with.Author","Common.Name","Family","Accepted_ID","Accepted_Name","Accepted_Rank","Accepted_Species","Accepted_Species_ID"
4321,"ANNE2",NA,"Anechites nerium (Aubl.) Urb.","Natal plum","Apocynaceae","13196-2","Anechites nerium","Species","Anechites nerium","13196-2"
4332,"ANOB2",NA,"Antirhea obtusifolia Urb.","quina roja","Rubiaceae","245033-2","Stenostomum obtusifolium","Species","Stenostomum obtusifolium","245033-2"
4437,"ANPO3",NA,"Antirhea portoricensis (Britton & P. Wilson) Standl.","Puerto Rico quina","Rubiaceae","245035-2","Stenostomum portoricense","Species","Stenostomum portoricense","245035-2"
4629,"ANSI",NA,"Antirhea sintenisii Urb.","Sintenis' quina","Rubiaceae","245039-2","Stenostomum sintenisii","Species","Stenostomum sintenisii","245039-2"
4693,"ANTIR",NA,"Antirhea Comm. ex Juss.","quina","Rubiaceae","327846-2","Antirhea","Genus",NA,NA
4774,"APAN2",NA,"Apocynum androsaemifolium L.","spreading dogbane","Apocynaceae","16503-2","Apocynum androsaemifolium","Species","Apocynum androsaemifolium","16503-2"
4796,"APCA",NA,"Apocynum cannabinum L.","Indianhemp","Apocynaceae","16527-2","Apocynum cannabinum","Species","Apocynum cannabinum","16527-2"
4864,"APOCY",NA,"Apocynum L.","dogbane","Apocynaceae","2211-1","Apocynum","Genus",NA,NA
7226,"ASAR2",NA,"Asperula arvensis L.","blue woodruff","Rubiaceae","743883-1","Asperula arvensis","Species","Asperula arvensis","743883-1"
8260,"ASOR6",NA,"Asperula orientalis Boiss. & Hohen.","Oriental asperula","Rubiaceae","744104-1","Asperula orientalis","Species","Asperula orientalis","744104-1"
8305,"ASPER2",NA,"Asperula L.","woodruff","Rubiaceae","331373-2","Asperula","Genus",NA,NA
9745,"BAPA8",NA,"Badusa palauensis Valeton","ralm","Rubiaceae","744302-1","Badusa palauensis","Species","Badusa palauensis","744302-1"
10495,"BIPA2",NA,"Bikkia palauensis Valeton","rur","Rubiaceae","744565-1","Bikkia palauensis","Species","Bikkia palauensis","744565-1"
10719,"BOBEA",NA,"Bobea Gaudich.","'ahakea","Rubiaceae","34237-1","Bobea","Genus",NA,NA
10734,"BOBR3",NA,"Bobea brevipes A. Gray","'akupa","Rubiaceae","744584-1","Bobea brevipes","Species","Bobea brevipes","744584-1"
10802,"BOEL3",NA,"Bobea elatior Gaudich.","'ahakea lau nui","Rubiaceae","744591-1","Bobea gaudichaudii","Species","Bobea gaudichaudii","744591-1"
11060,"BOSA2",NA,"Bobea sandwicensis (A. Gray) Hillebr.","Hawai'i dogweed","Rubiaceae","744601-1","Bobea sandwicensis","Species","Bobea sandwicensis","744601-1"
11096,"BOTE2",NA,"Bouvardia ternifolia (Cav.) Schltdl.","firecrackerbush","Rubiaceae","745109-1","Bouvardia ternifolia","Species","Bouvardia ternifolia","745109-1"
11101,"BOTI",NA,"Bobea timonioides (Hook. f.) Hillebr.","'ahakea","Rubiaceae","744604-1","Bobea timonioides","Species","Bobea timonioides","744604-1"
11115,"BOUVA",NA,"Bouvardia Salisb.","bouvardia","Rubiaceae","30000353-2","Bouvardia","Genus",NA,NA
