,taxa,knapsack_snippet,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
99,Ochrosia miana,"""['Ochrolifuanine A']""",KNApSAcK,Ochrosia miana,Ochrosia miana,80524-1,80524-1,Species
100,Ochrosia moorei,"""['(-)-Apparicine', 'Ellipticine', '9-Methoxyellipticine', 'Desoxycordifoline', 'Ochrosamine A', 'Ochrosamine B']""",KNApSAcK,Ochrosia moorei,Ochrosia moorei,80527-1,80527-1,Species
101,Ochrosia poweri,"""['Reserpiline', 'Poweridine', 'Powerine']""",KNApSAcK,Ochrosia poweri,Ochrosia poweri,80538-1,80538-1,Species
102,Parsonsia alboflavescens,"""['Homospermidine']""",KNApSAcK,Parsonsia alboflavescens,Parsonsia alboflavescens,80868-1,80868-1,Species
103,Parsonsia eucalyptophylla,"""['Lycopsamine']""",KNApSAcK,Parsonsia eucalyptophylla,Parsonsia eucalyptophylla,80910-1,80910-1,Species
104,Parsonsia heterophylla,"""['Parsonsine']""",KNApSAcK,Parsonsia heterophylla,Parsonsia heterophylla,80926-1,80926-1,Species
105,Parsonsia straminea,"""['Lycopsamine']""",KNApSAcK,Parsonsia straminea,Parsonsia straminea,50061-3,50061-3,Species
106,Petchia ceylanica,"""['Lochnericine', '19R-Hydroxypachysiphine', 'Petchicine']""",KNApSAcK,Petchia ceylanica,Petchia ceylanica,81104-1,81104-1,Species
107,Pleiocarpa mutica,"""['(-)-Kopsinine', '(+)-Eburnamenine', 'Pleiocarpamine', 'Pleiocarpine', 'Kopsinoline', '(-)-Pleiomutine']""",KNApSAcK,Pleiocarpa mutica,Pleiocarpa mutica,81143-1,81143-1,Species
108,Pleiocarpa pycnantha,"""['(-)-Eburnamine']""",KNApSAcK,Pleiocarpa pycnantha,Pleiocarpa pycnantha,81144-1,81144-1,Species
109,Prestonia amazonica,"""['N,N-Dimethyltryptamine']""",KNApSAcK,Prestonia amazonica,Prestonia amazonica,81326-1,81326-1,Species
110,Rauvolfia bahiensis,"""['Normacusine B', '10-O-Methylsarpagine', 'Picrinine', '(+)-Raucaffrinoline', '(-)-Vinorine', '(+)-Purpeline', '(+/-)-Norpurpeline', '(+)-Seredamine', '(+)-12-methoxyaffinisine', '12-Methoxy-Na-methylvellosimine', '12-Methoxy-vellosimine', 'Demethoxypurpeline']""",KNApSAcK,Rauvolfia bahiensis,Rauvolfia bahiensis,81511-1,81511-1,Species
111,Rauvolfia balansae,"""['(+)-Raucaffrinoline', '(+)-Perakine', '(-)-Vinorine', '(+)-Ajmaline', '19,20-Dihydrovomilenine', 'Vomilenine']""",KNApSAcK,Rauvolfia balansae,Rauvolfia balansae,909641-1,909641-1,Species
112,Rauvolfia biauriculata,"""['(+)-Perakine', '(+)-Ajmaline', 'Vomilenine']""",KNApSAcK,Rauvolfia biauriculata,Rauvolfia biauriculata,81513-1,81513-1,Species
113,Rauvolfia caffra,"""['Sarpagine', '(+)-Raucaffrinoline', '(+)-Perakine', '(-)-Vinorine', '(+)-Ajmaline', 'Vomilenine', '17,21-O,O-Diacetylajmaline', '17-O-Acetylajmaline', 'Raucaffricine', 'Raucaffriline']""",KNApSAcK,Rauvolfia caffra,Rauvolfia caffra,81519-1,81519-1,Species
114,Rauvolfia cambodiana,"""['(+)-Ajmaline']""",KNApSAcK,Rauvolfia cambodiana,Rauvolfia cambodiana,81520-1,81520-1,Species
115,Rauvolfia cubana,"""['(+)-Ajmaline', 'Deserpidine', '(+)-Sandwicine']""",KNApSAcK,Rauvolfia cubana,Rauvolfia cubana,81531-1,81531-1,Species
116,Rauvolfia grandiflora,"""['Darcyribeirine']""",KNApSAcK,Rauvolfia grandiflora,Rauvolfia grandiflora,81545-1,81545-1,Species
117,Rauvolfia ligustrina,"""['(+)-Ajmaline']""",KNApSAcK,Rauvolfia ligustrina,Rauvolfia ligustrina,81565-1,81565-1,Species
118,Rauvolfia littoralis,"""['(+)-Ajmaline', 'Deserpidine']""",KNApSAcK,Rauvolfia littoralis,Rauvolfia littoralis,217921-2,217921-2,Species
119,Rauvolfia mannii,"""['(-)-Vincamajine', 'Raucaffricine']""",KNApSAcK,Rauvolfia mannii,Rauvolfia mannii,81579-1,81579-1,Species
120,Rauvolfia media,"""['(+)-Mauiensine', '(+)-12-Hydroxymauiensine']""",KNApSAcK,Rauvolfia media,Rauvolfia media,81583-1,81583-1,Species
121,Rauvolfia mombasiana,"""['(+)-Ajmaline', '(+)-Purpeline', '(+/-)-Norpurpeline', 'Endolobine', 'Nortetraphyllicine', '(+)-Vomalidine']""",KNApSAcK,Rauvolfia mombasiana,Rauvolfia mombasiana,81591-1,81591-1,Species
122,Rauvolfia nitida,"""['(+)-Raucaffrinoline', 'Yohimbine', '(+)-Ajmaline', 'Reserpiline', 'Nortetraphyllicine', 'Rescinnamine', '(+)-Norajmaline', '(+)-17-O-Acetylnortetraphyllicine', 'Rauniticine']""",KNApSAcK,Rauvolfia nitida,Rauvolfia nitida,81598-1,81598-1,Species
123,Rauvolfia sandwicensis,"""['(+)-Sandwicine']""",KNApSAcK,Rauvolfia sandwicensis,Rauvolfia sandwicensis,81642-1,81642-1,Species
124,Rauvolfia sellowii,"""['(+)-Raucaffrinoline', '(+)-Perakine', '(+)-Ajmaline', 'Vomilenine']""",KNApSAcK,Rauvolfia sellowii,Rauvolfia sellowii,328979-2,328979-2,Species
125,Rauvolfia semperflorens,"""['(+)-Raucaffrinoline', '(-)-Vinorine', '(+)-Sandwicine', '(+)-Mauiensine', 'Nortetraphyllicine', '(+)-Isoajmaline', '(+)-Isosandwicine']""",KNApSAcK,Rauvolfia semperflorens,Rauvolfia semperflorens,81646-1,81646-1,Species
126,Rauvolfia serpentina,"""['Strictosidine', '4,21-Dehydrogeissoschizine', 'Sarpagine', 'Tetrahydroalstonine', '(+)-Raucaffrinoline', 'Reserpine', '(+)-Perakine', '(-)-Vinorine', 'Vellosimine', 'Ajmalicine', 'Serpentine', 'Cathenamine', 'Yohimbine', '(+)-Ajmaline', 'Reserpiline', 'Vomilenine', '17-O-Acetylajmaline', 'Raucaffricine', 'Rescinnamine', '(+)-Isoajmaline', 'Papaverine', 'Ajmalimine', '(+)-Sandwicolidine', 'Ajmalinimine', 'Rescinnamidine', '3,4,5,6-Tetradehydroyohimbine', '12-Hydroxyajmaline', 'Acetylnorajmaline', '16-Epivellosimine', 'Polyneuridine aldehyde', 'Norajamaline']""",KNApSAcK,Rauvolfia serpentina,Rauvolfia serpentina,81648-1,81648-1,Species
127,Rauvolfia sevenetii,"""['(+)-Raucaffrinoline', '(-)-Vinorine', '(+)-Ajmaline', '19,20-Dihydrovomilenine', 'Vomilenine']""",KNApSAcK,Rauvolfia sevenetii,Rauvolfia sevenetii,81499-1,81499-1,Species
128,Rauvolfia spathulata,"""['(+)-Raucaffrinoline', '(-)-Vinorine', '(+)-Ajmaline', '19,20-Dihydrovomilenine', 'Vomilenine']""",KNApSAcK,Rauvolfia spathulata,Rauvolfia spathulata,81500-1,81500-1,Species
129,Rauvolfia sprucei,"""['(+)-Perakine']""",KNApSAcK,Rauvolfia sprucei,Rauvolfia sprucei,81652-1,81652-1,Species
130,Rauvolfia sumatrana,"""['(+)-Perakine', '(+)-Norseredamine', '(-)-Flexicorine']""",KNApSAcK,Rauvolfia sumatrana,Rauvolfia sumatrana,81660-1,81660-1,Species
131,Rauvolfia tetraphylla,"""['(+)-Ajmaline']""",KNApSAcK,Rauvolfia tetraphylla,Rauvolfia tetraphylla,81663-1,81663-1,Species
132,Rauvolfia verticillata,"""['Reserpine', 'Vellosimine', '(+)-Ajmaline', 'Raucaffricine', 'Macrospegatrine', '7-Hydroxynoracronycine']""",KNApSAcK,Rauvolfia verticillata,Rauvolfia verticillata,81667-1,81667-1,Species
133,Rauvolfia viridis,"""['(+)-Quebrachidine', '(+)-Ajmaline']""",KNApSAcK,Rauvolfia viridis,Rauvolfia viridis,81670-1,81670-1,Species
134,Rauvolfia volkensii,"""['(+)-Raucaffrinoline', '(+)-Perakine', '(+)-Ajmaline', '17-O-Acetylajmaline', 'Nortetraphyllicine', '17-O-Acetyltetraphyllicine']""",KNApSAcK,Rauvolfia volkensii,Rauvolfia volkensii,81672-1,81672-1,Species
135,Rauvolfia vomitoria,"""['(+)-Quebrachidine', 'Alstonine', 'Quaternine', 'Sarpagine', 'Tetrahydroalstonine', '(+)-Raucaffrinoline', 'Reserpine', '(+)-Perakine', 'Yohimbine', '(+)-Ajmaline', '(+)-Purpeline', '(+/-)-Norpurpeline', '(+)-Seredamine', 'Vomilenine', '17-O-Acetylajmaline', '(+)-Sandwicine', 'Endolobine', 'Nortetraphyllicine', '(+)-Vomalidine', 'Rescinnamine', '(+)-Norajmaline', '(+)-Isoajmaline', '(+)-Isosandwicine', 'Ajmalimine', '(+)-Norseredamine', '(+)-Mitoridine', 'Vincamajoreine', '10-Hydroxynortetraphyllicine', 'Norrauvomitine', '(-)-Rauvomitine']""",KNApSAcK,Rauvolfia vomitoria,Rauvolfia vomitoria,81673-1,81673-1,Species
136,Rhazya stricta,"""['Strictamine', 'Strictosidine', 'Akuammidine', 'Deacetylakuammiline', '(-)-Quebrachamine', '(+)-Eburnamenine', 'Antirhine', 'Rhazidine', 'Rhazinaline', '(+)-Vincadifformine', '5alpha-Carboxystrictosidine']""",KNApSAcK,Rhazya stricta,Rhazya stricta,81712-1,81712-1,Species
137,Skytanthus acutus,"""['beta-Skytanthine']""",KNApSAcK,Skytanthus acutus,Skytanthus acutus,81785-1,81785-1,Species
138,Stapelia hirsuta,"""['Hordenine', 'Tyramine']""",KNApSAcK,Stapelia hirsuta,Stapelia hirsuta,101613-1,101613-1,Species
139,Strempeliopsis strempelioides,"""['Condylocarpine', 'Stemmadenine', 'Strictosidine', '4,21-Dehydrogeissoschizine', '(E)-Geissoschizine', '(-)-Aspidospermine', 'Pleiocarpamine', '(+)-Eburnamonine', 'Aspidosine', 'Vallesine', '(-)-Strempeliopine', '(-)-Vallesamidine', '(+)-Strempeliopidine']""",KNApSAcK,Strempeliopsis strempelioides,Strempeliopsis strempelioides,81849-1,81849-1,Species
140,Tabernaemontana amygdalifolia,"""['Cylindrocarpidine', 'Homocylindrocarpidine', 'O-Demethylpalosine']""",KNApSAcK,Tabernaemontana amygdalifolia,Tabernaemontana amygdalifolia,81996-1,81996-1,Species
141,Tabernaemontana apoda,"""['Voacangine', 'Apodine', 'Apodinine', 'Heyneanine', 'Voacangine hydroxyindolenine', 'Voacangine pseudoindoxyl', 'Voacristine', 'Voacristine hydroxyindolenine', 'Montanine', 'Ibogaine hydroxyindolenine', 'Isovoacangine']""",KNApSAcK,Tabernaemontana apoda,Tabernaemontana apoda,82007-1,82007-1,Species
142,Tabernaemontana arborea,"""['Voacangine', 'Isovoacangine', 'Voacamine', '19-Epivoacorine']""",KNApSAcK,Tabernaemontana arborea,Tabernaemontana arborea,248839-2,248839-2,Species
143,Tabernaemontana attenuata,"""['Tubotaiwine', 'Voacangine', 'Heyneanine', 'Isovoacangine', 'Coronaridine hydroxyindolenine', '10-Hydroxyheyneanine', '11-Hydroxycoronaridine', '11-Hydroxyheyneanine', '19-Epiheyneanine', 'Conopharyngine', 'Conopharyngine hydroxyindolenine', 'Ibophyllidine']""",KNApSAcK,Tabernaemontana attenuata,Tabernaemontana attenuata,248841-2,248841-2,Species
144,Tabernaemontana aurantiaca,"""['Voacangine', 'Voacangine pseudoindoxyl']""",KNApSAcK,Tabernaemontana aurantiaca,Tabernaemontana aurantiaca,82013-1,82013-1,Species
145,Tabernaemontana bovina,"""['Ibogaine', 'Ibogaline', 'Isovoacristine', '(-)-Mehranine', 'Tabernaebovine', '20-Hydroxyconopharyngine', '3-Oxomehranine', 'Hecubine', 'Pedunculine']""",KNApSAcK,Tabernaemontana bovina,Tabernaemontana bovina,82026-1,82026-1,Species
146,Tabernaemontana brachyantha,"""['Normacusine B', 'Voacorine']""",KNApSAcK,Tabernaemontana brachyantha,Tabernaemontana brachyantha,82027-1,82027-1,Species
147,Tabernaemontana bufalina,"""['Perivine', 'Heyneanine', 'Coronaridine hydroxyindolenine', '10-Hydroxyheyneanine', '3-Oxocoronaridine', 'Ervahanine A', 'Ervahanine B', 'Ervahanine C']""",KNApSAcK,Tabernaemontana bufalina,Tabernaemontana bufalina,82034-1,82034-1,Species
148,Tabernaemontana calcarea,"""['(-)-Apparicine', '(-)-Coronaridine', 'Ibogamine', 'Voacangine', 'Dregamine', 'Heyneanine', 'Voacristine', 'Isovoacangine', '11-Hydroxycoronaridine', 'Isovoacristine', '20-Epipandoline', 'Pandine', 'Pandoline', '(20R)-Pseudovincadifformine', '19-Epivoacristine', 'Silicine', '19-epi-Heyneanine']""",KNApSAcK,Tabernaemontana calcarea,Tabernaemontana calcarea,82035-1,82035-1,Species
149,Tabernaemontana capuronii,"""['14,15-Anhydrocapuronidine', 'Capuronidine', 'Capuronine', 'Capuvosine']""",KNApSAcK,Tabernaemontana capuronii,Tabernaemontana capuronii,907601-1,907601-1,Species
150,Tabernaemontana catharinensis,"""['(-)-Coronaridine', 'Voacangine', 'Heyneanine']""",KNApSAcK,Tabernaemontana catharinensis,Tabernaemontana catharinensis,82043-1,82043-1,Species
151,Tabernaemontana cerifera,"""['(-)-Apparicine', 'Voacangine', 'Voacangine hydroxyindolenine']""",KNApSAcK,Tabernaemontana cerifera,Tabernaemontana cerifera,82046-1,82046-1,Species
152,Tabernaemontana citrifolia,"""['Lochnericine', 'Vallesamine', '(-)-Apparicine', 'Voacangine', 'Voacangine hydroxyindolenine', 'Voacristine', '20-Epipandoline', 'Pandine', 'Pandoline', '3-Oxovoacangine']""",KNApSAcK,Tabernaemontana citrifolia,Tabernaemontana citrifolia,82055-1,82055-1,Species
153,Tabernaemontana coffeoides,"""['Normacusine B', 'Stemmadenine', 'Lochnericine', 'Vallesamine', '(-)-Hazuntine', '3-Oxotabersonine', 'Isoreserpiline', '(-)-Apparicine', 'Polyneuridine', 'Voacangine', 'Pericyclivine', 'Dregamine', 'Tabernaemontanine', 'Reserpiline', 'Heyneanine', 'Isovoacangine', '19-Epiheyneanine', 'Silicine', '14,15-Dihydroxyvincadifformine', 'Voaphylline', 'Voacarpine', '(19R)-19-Hydroxytabernaelegantine A', ""(20'S)-19',20'-Dihydrotabernamine"", '20-Episilicine', '3,14-Dihydroellipticine', '6-Oxo-16-episilicine', '6-Oxomethuenine', '6-Oxosilicine', 'Hazuntinine', 'Isomethuenine', 'Methuenine', 'Tabernaelegantine A', '(+)-Tetraphyllicine', 'Vincanidine']""",KNApSAcK,Tabernaemontana coffeoides,Tabernaemontana coffeoides,82059-1,82059-1,Species
154,Tabernaemontana contorta,"""['Voacangine', 'Voacristine', 'Conopharyngine']""",KNApSAcK,Tabernaemontana contorta,Tabernaemontana contorta,82065-1,82065-1,Species
155,Tabernaemontana corymbosa,"""['Ervahanine A', 'Jerantinine A', 'Jerantinine B', 'Jerantinine C', 'Jerantinine D', 'Jerantinine E', 'Jerantinine F', 'Jerantinine G', '19(S)-Hydroxyibogamine', '19-epi-Isovoacristine', 'Isovoacryptine', 'Jerantinine H', 'Jerantiphylline A', 'Jerantiphylline B']""",KNApSAcK,Tabernaemontana corymbosa,Tabernaemontana corymbosa,60466167-2,60466167-2,Species
156,Tabernaemontana crassa,"""['Akuammiline', 'Perivine', 'Heyneanine', 'Voacristine', 'Isovoacangine', 'Conopharyngine', 'Conopharyngine hydroxyindolenine', 'Ibogaine', '3-Oxocoronaridine', '19-Hydroxyconopharyngine', '5-Oxocoronaridine', 'Conoduramine', 'Crassanine']""",KNApSAcK,Tabernaemontana crassa,Tabernaemontana crassa,82072-1,82072-1,Species
157,Tabernaemontana debrayi,"""['Dregamine', 'Pandine', 'Pandoline']""",KNApSAcK,Tabernaemontana debrayi,Tabernaemontana debrayi,913394-1,913394-1,Species
158,Tabernaemontana dichotoma,"""['Stemmadenine', 'Vallesamine', '(-)-Apparicine', 'Voacangine', 'Perivine', 'Vobasine', 'Heyneanine', 'Voacristine hydroxyindolenine', '19-Epiheyneanine', '19-Epivoacristine', 'Voaphylline', 'Isomethuenine', '12-Methoxyvoaphylline', 'Voaphylline hydroxyindolenine', 'Dichomine', '19-Epiiboxygaine', 'O-Acetylvallesamine']""",KNApSAcK,Tabernaemontana dichotoma,Tabernaemontana dichotoma,60466169-2,60466169-2,Species
159,Tabernaemontana divaricata,"""['Lochnericine', '(-)-Apparicine', 'Voacangine', 'Dregamine', 'Tabernaemontanine', 'Voacristine', 'Isovoacangine', 'Coronaridine hydroxyindolenine', 'Isovoacristine', '3-Oxocoronaridine', 'Voaphylline', '5-Oxocoronaridine', 'Voaphylline hydroxyindolenine', 'Pachysiphine', 'Voaharine', '5-Hydroxy-6-oxocoronaridine', '6-Oxocoronaridine', 'Voafinine']""",KNApSAcK,Tabernaemontana divaricata,Tabernaemontana divaricata,82097-1,82097-1,Species
160,Tabernaemontana eglandulosa,"""['Norfluorocurarine', 'Voacangine pseudoindoxyl', 'Voacristine', 'Isovoacangine', '11-Hydroxycoronaridine', 'Conopharyngine', 'Dichomine', '(16R)-Descarbomethoxytacamine', '(16S)-Descarbomethoxytacamine', '(19S)-Hydroxytacamine', '16,17-Anhydrotacamine', '16-Epitacamine', 'Tacamine', 'Tacamonine', '(+)-20R-Pseudovincadifformine', '20S-Pseudovincadifformine', '(20R)-15,20-Dihydrocleavamine', '(20S)-Hydroxy-1,2-dehydropseudoaspidospermidine', '(20S)-15,20-Dihydrocleavamine', '17-Hydroxytacamonine', '3-Hydroxycoronaridine']""",KNApSAcK,Tabernaemontana eglandulosa,Tabernaemontana eglandulosa,82107-1,82107-1,Species
161,Tabernaemontana elegans,"""['Tubotaiwine', '(-)-Apparicine', 'Vobasine', 'Dregamine', 'Isovoacangine', 'Tabernaelegantine A', 'Tabernine A', 'Tabernine B', 'Tabernine C']""",KNApSAcK,Tabernaemontana elegans,Tabernaemontana elegans,82109-1,82109-1,Species
162,Tabernaemontana flavicans,"""['Ibophyllidine N-oxide']""",KNApSAcK,Tabernaemontana flavicans,Tabernaemontana flavicans,82121-1,82121-1,Species
163,Tabernaemontana glandulosa,"""['12-Demethoxytabernulosine']""",KNApSAcK,Tabernaemontana glandulosa,Tabernaemontana glandulosa,82129-1,82129-1,Species
164,Tabernaemontana humblotii,"""['Tubotaiwine', '(+)-14,15-Dehydro-16-epivincamine', '(-)-Apparicine', 'Voacangine', 'Voacristine', 'Ibogaline', '19-Epiiboxygaine', 'Iboluteine']""",KNApSAcK,Tabernaemontana humblotii,Tabernaemontana humblotii,82154-1,82154-1,Species
165,Tabernaemontana laeta,"""['Normacusine B']""",KNApSAcK,Tabernaemontana laeta,Tabernaemontana laeta,82175-1,82175-1,Species
166,Tabernaemontana litoralis,"""['Strictosidine', 'Tabersonine', '(-)-Coronaridine', 'Heyneanine']""",KNApSAcK,Tabernaemontana litoralis,Tabernaemontana litoralis,285810-2,285810-2,Species
167,Tabernaemontana longipes,"""['Voacangine']""",KNApSAcK,Tabernaemontana longipes,Tabernaemontana longipes,248876-2,248876-2,Species
168,Tabernaemontana macrocarpa,"""['Voacangine', 'Voacangine hydroxyindolenine', 'Voaphylline']""",KNApSAcK,Tabernaemontana macrocarpa,Tabernaemontana macrocarpa,82203-1,82203-1,Species
169,Tabernaemontana markgrafiana,"""['(-)-Coronaridine', 'Ibogamine', 'Voacangine']""",KNApSAcK,Tabernaemontana markgrafiana,Tabernaemontana markgrafiana,288916-2,288916-2,Species
170,Tabernaemontana mocquerysi,"""['Tubotaiwine', 'Voacangine', 'Heyneanine', 'Voacristine', '19-Epiheyneanine', '19-Epivoacristine', 'Methuenine', '(20R)-15,20-Dihydrocleavamine', '(20S)-15,20-Dihydrocleavamine', 'Ervitsine']""",KNApSAcK,Tabernaemontana mocquerysi,Tabernaemontana mocquerysi,82224-1,82224-1,Species
171,Tabernaemontana odoratissima,"""['Vobasine', 'Gabunine']""",KNApSAcK,Tabernaemontana odoratissima,Tabernaemontana odoratissima,20010230-1,20010230-1,Species
172,Tabernaemontana oppositifolia,"""['(-)-Coronaridine', 'Voacamine']""",KNApSAcK,Tabernaemontana oppositifolia,Tabernaemontana oppositifolia,248887-2,248887-2,Species
173,Tabernaemontana pachysiphon,"""['Normacusine B', '16R,19E-Isositsirikine', 'Lochnericine', 'Tubotaiwine', '(-)-Apparicine', 'Voacangine', 'Pericyclivine', 'Perivine', 'Isovoacangine', 'Voacamine', 'Conopharyngine', 'Conopharyngine hydroxyindolenine', 'Ibogaline', '3-Oxocoronaridine', 'Conoduramine', 'Pachysiphine', '11-Demethylconoduramine', '16-Epiaffinine', '16-Epiisositsirikine', 'Conopharyngine pseudoindoxyl', '19S-Hydroxyconopharyngine']""",KNApSAcK,Tabernaemontana pachysiphon,Tabernaemontana pachysiphon,82263-1,82263-1,Species
174,Tabernaemontana pandacaqui,"""['Tabernaemontanine', 'Isovoacangine', 'Isovoacristine', 'Pandine', 'Tacamine', '20-Epilochneridine', '3-Epiervafolidine', 'Ervafolidine', 'Ervafoline']""",KNApSAcK,Tabernaemontana pandacaqui,Tabernaemontana pandacaqui,82269-1,82269-1,Species
175,Tabernaemontana penduliflora,"""['(-)-Coronaridine', 'Voacangine', 'Conopharyngine']""",KNApSAcK,Tabernaemontana penduliflora,Tabernaemontana penduliflora,82282-1,82282-1,Species
176,Tabernaemontana psorocarpa,"""['Tetrahydroalstonine', 'Vallesiachotamine', 'Voacangine', '14,15-Dehydro-12-methoxyvincamine', '16-Epiisositsirikine', 'Isovallesiachotamine']""",KNApSAcK,Tabernaemontana psorocarpa,Tabernaemontana psorocarpa,82297-1,82297-1,Species
177,Tabernaemontana retusa,"""['Voacangine', 'Heyneanine', 'Voacristine', 'Coronaridine hydroxyindolenine', '3-Oxovoacangine', 'Voaphylline', 'Pachysiphine']""",KNApSAcK,Tabernaemontana retusa,Tabernaemontana retusa,82313-1,82313-1,Species
178,Tabernaemontana rupicola,"""['Voacangine pseudoindoxyl', 'Montanine']""",KNApSAcK,Tabernaemontana rupicola,Tabernaemontana rupicola,82322-1,82322-1,Species
179,Tabernaemontana sananho,"""['Voacangine', 'Heyneanine', '3-Hydroxycoronaridine']""",KNApSAcK,Tabernaemontana sananho,Tabernaemontana sananho,82327-1,82327-1,Species
180,Tabernaemontana sessilifolia,"""['(-)-Apparicine', 'Dregamine', 'Tabernaemontanine', 'Isovoacangine', '6-Hydroxy-3-oxoisovoacangine']""",KNApSAcK,Tabernaemontana sessilifolia,Tabernaemontana sessilifolia,82330-1,82330-1,Species
181,Tabernaemontana siphilitica,"""['Tetrahydroalstonine', 'Tubotaiwine', '(-)-Apparicine', '(-)-Vincadifformine', 'Voacangine', 'Pleiocarpamine', 'Isovoacangine', '(-)-12-Hydroxyvincadifformine', 'Bonafousine', 'Isobonafousine', 'Tetrastachynine']""",KNApSAcK,Tabernaemontana siphilitica,Tabernaemontana siphilitica,20001045-1,20001045-1,Species
182,Tabernaemontana sphaerocarpa,"""['Dregamine', 'Tabernaemontanine']""",KNApSAcK,Tabernaemontana sphaerocarpa,Tabernaemontana sphaerocarpa,82336-1,82336-1,Species
183,Tabernaemontana undulata,"""['(+)-Quebrachidine', 'Voacangine', '19-Epiheyneanine', 'Voaphylline']""",KNApSAcK,Tabernaemontana undulata,Tabernaemontana undulata,82371-1,82371-1,Species
184,Tabernanthe iboga,"""['(-)-Coronaridine', 'Ibogamine', 'Ibophyllidine', 'Ibogaine', 'Tabernanthine']""",KNApSAcK,Tabernanthe iboga,Tabernanthe iboga,56090-1,56090-1,Species
185,Trachelospermum jasminoides,"""['Voacangine', 'Vobasine', 'Ibogaine']""",KNApSAcK,Trachelospermum jasminoides,Trachelospermum jasminoides,82553-1,82553-1,Species
186,Vallesia glabra,"""['(-)-Aspidospermine', '(-)-Vincadifformine', 'Haplocidine', 'Vallesine', '1-Acetylaspidoalbidine', '18-Oxohaplocidine']""",KNApSAcK,Vallesia glabra,Vallesia glabra,82668-1,82668-1,Species
187,Vinca difformis,"""['(-)-Vincamajine', 'Normacusine B', '(-)-Vincamedine', '(+)-Vincadifformine']""",KNApSAcK,Vinca difformis,Vinca difformis,82683-1,82683-1,Species
188,Vinca erecta,"""['Normacusine B', 'Norfluorocurarine', 'Skimmianine', '(-)-Akuammicine:Akuammicine', 'Picrinine', '(-)-Kopsinine', '(-)-Eburnamine', 'Isoreserpiline', '(-)-Quebrachamine', 'Vincamine', '(+)-Minovincinine', 'Rauniticine', 'Vincanidine', 'Akuammine', 'Apovincamine', '(+)-Vincarine', '(-)-Majoridine', '(+)-10-Methoxyvinorine', 'Dihydrovindolinine']""",KNApSAcK,Vinca erecta,Vinca erecta,82686-1,82686-1,Species
189,Vinca herbacea,"""['(-)-Vincamajine', 'Skimmianine', '(-)-Akuammicine:Akuammicine', '(-)-Kopsinine', 'Tabersonine', 'Serpentine', 'Vincamine', 'Akuammine', '(+)-Vincarine', '11-Methoxyvincadifformine', 'Isomajdine']""",KNApSAcK,Vinca herbacea,Vinca herbacea,82691-1,82691-1,Species
190,Vinca major,"""['(-)-Vincamajine', '(-)-Vincamedine', 'Serpentine', 'Vincamine', 'Vincamajoreine', 'Akuammine', '(+)-Vincarine', '(-)-Majoridine', '(+)-10-Methoxyvinorine', 'Isomajdine', '10-Methoxyvomilenine', '(-)-Vincamajinine', '(-)-10-Methoxyperakine', '(-)-Vincawajine', 'Majdine']""",KNApSAcK,Vinca major,Vinca major,82697-1,82697-1,Species
191,Vinca minor,"""['Vincorine', 'Strictamine', 'Vincoridine', '(-)-Vinorine', 'Vincadine', '(+)-Eburnamenine', 'Vincamine', 'Vincristine', '(+)-Minovincinine', '(+)-Isoeburnamine', '11-Methoxyvincadifformine', 'Eburnamonine', '(-)-11-Methoxyeburnamonine', '(-)-16-Epivincamine', '(+)-Vincaminine', '(+)-Vincinine', 'Minovincine']""",KNApSAcK,Vinca minor,Vinca minor,82701-1,82701-1,Species
192,Voacanga africana,"""['Lochnericine', 'Tabersonine', '(+)-Perakine', '(+)-Minovincinine', 'Voacangine', 'Vobasine', 'Voacangine hydroxyindolenine', 'Voacangine pseudoindoxyl', 'Voacristine', 'Voacristine hydroxyindolenine', 'Voacamine', 'Voacorine', 'Voaphylline', 'Vobtusine', 'Voacamidine']""",KNApSAcK,Voacanga africana,Voacanga africana,82719-1,82719-1,Species
193,Voacanga chalotiana,"""['Voachalotine', 'Voacarpine', '(-)-Cuanzine', '(-)-Decarbomethoxycuanzine', '(+)-Dehydrovoachalotine']""",KNApSAcK,Voacanga chalotiana,Voacanga chalotiana,82727-1,82727-1,Species
194,Voacanga globosa,"""['Voacamine']""",KNApSAcK,Voacanga globosa,Voacanga globosa,82738-1,82738-1,Species
195,Voacanga thouarsii,"""['Voacamine', 'Ibogaine']""",KNApSAcK,Voacanga thouarsii,Voacanga thouarsii,82760-1,82760-1,Species
196,Adina cordifolia,"""['Adifoline', 'Cadambine', 'Cordifoline']""",KNApSAcK,Adina cordifolia,Adina cordifolia,742903-1,742903-1,Species
197,Carapichea affinis,"""['Dopamine', 'Cephaeline', 'Emetine', 'Protoemetine', ""7'-O-Demethylcephaeline""]""",KNApSAcK,Carapichea affinis,Carapichea affinis,1214821-2,1214821-2,Species
198,Chimarrhis turbinata,"""['Strictosidine', 'Vallesiachotamine', 'Desoxycordifoline', '5alpha-Carboxystrictosidine', 'Isovallesiachotamine', 'Cordifoline', 'Turbinatine']""",KNApSAcK,Chimarrhis turbinata,Chimarrhis turbinata,308173-2,308173-2,Species
199,Cinchona officinalis,"""['Strictosidine', 'Cinchonidine', 'Hydroquinidine', 'Quinine', 'Quinidine', 'Cinchonine']""",KNApSAcK,Cinchona officinalis,Cinchona officinalis,58723-2,58723-2,Species
