,taxa,AntiMal_Metabolites,AntiBac_Metabolites,antimal_snippet,antibac_snippet,Source
5340,Parsonsia wildensis,,,"""[]""","""[]""",KNApSAcK
5341,Parsonsia wongabelensis,,,"""[]""","""[]""",KNApSAcK
5342,Pattalias palmeri,,,"""[]""","""[]""",KNApSAcK
5343,Pattalias palmeri var. palmeri,,,"""[]""","""[]""",KNApSAcK
5344,Pattalias palmeri var. peninsularis,,,"""[]""","""[]""",KNApSAcK
5345,Pattalias palustris,,,"""[]""","""[]""",KNApSAcK
5346,Pectinaria articulata,,,"""[]""","""[]""",KNApSAcK
5347,Pectinaria articulata subsp. articulata,,,"""[]""","""[]""",KNApSAcK
5348,Pectinaria articulata subsp. asperiflora,,,"""[]""","""[]""",KNApSAcK
5349,Pectinaria articulata subsp. borealis,,,"""[]""","""[]""",KNApSAcK
5350,Pectinaria articulata subsp. namaquensis,,,"""[]""","""[]""",KNApSAcK
5351,Pectinaria erinacea,,,"""[]""","""[]""",KNApSAcK
5352,Pectinaria flavescens,,,"""[]""","""[]""",KNApSAcK
5353,Pectinaria longipes,,,"""[]""","""[]""",KNApSAcK
5354,Pectinaria longipes subsp. longipes,,,"""[]""","""[]""",KNApSAcK
5355,Pectinaria longipes subsp. villetii,,,"""[]""","""[]""",KNApSAcK
5356,Pectinaria maughanii,,,"""[]""","""[]""",KNApSAcK
5357,Pentacyphus andinus,,,"""[]""","""[]""",KNApSAcK
5358,Pentacyphus camargoi,,,"""[]""","""[]""",KNApSAcK
5359,Pentacyphus lehmannii,,,"""[]""","""[]""",KNApSAcK
5360,Pentacyphus lehmannii subsp. elongatus,,,"""[]""","""[]""",KNApSAcK
5361,Pentacyphus lehmannii subsp. lehmannii,,,"""[]""","""[]""",KNApSAcK
5362,Pentacyphus lehmannii subsp. tamanus,,,"""[]""","""[]""",KNApSAcK
5363,Pentalinon andrieuxii,,,"""[]""","""[]""",KNApSAcK
5364,Pentalinon luteum,,,"""[]""","""[]""",KNApSAcK
5365,Pentasacme caudatum,,,"""[]""","""[]""",KNApSAcK
5366,Pentasacme pulcherrima,,,"""[]""","""[]""",KNApSAcK
5367,Pentasacme shanense,,,"""[]""","""[]""",KNApSAcK
5368,Pentasacme wallichii,,,"""[]""","""[]""",KNApSAcK
5369,Pentatropis bentii,,,"""[]""","""[]""",KNApSAcK
5370,Pentatropis capensis,,,"""[]""","""[]""",KNApSAcK
5371,Pentatropis nivalis,,,"""[]""","""[]""",KNApSAcK
5372,Pentatropis pierrei,,,"""[]""","""[]""",KNApSAcK
5373,Pentopetia albicans,,,"""[]""","""[]""",KNApSAcK
5374,Pentopetia androsaemifolia,,,"""[]""","""[]""",KNApSAcK
5375,Pentopetia astephana,,,"""[]""","""[]""",KNApSAcK
5376,Pentopetia bidens,,,"""[]""","""[]""",KNApSAcK
5377,Pentopetia boivinii,,,"""[]""","""[]""",KNApSAcK
5378,Pentopetia bosseri,,,"""[]""","""[]""",KNApSAcK
5379,Pentopetia calycina,,,"""[]""","""[]""",KNApSAcK
5380,Pentopetia cotoneaster,,,"""[]""","""[]""",KNApSAcK
5381,Pentopetia dasynema,,,"""[]""","""[]""",KNApSAcK
5382,Pentopetia dolichopodia,,,"""[]""","""[]""",KNApSAcK
5383,Pentopetia ecoronata,,,"""[]""","""[]""",KNApSAcK
5384,Pentopetia elastica,,,"""[]""","""[]""",KNApSAcK
5385,Pentopetia glaberrima,,,"""[]""","""[]""",KNApSAcK
5386,Pentopetia grevei,,,"""[]""","""[]""",KNApSAcK
5387,Pentopetia intermedia,,,"""[]""","""[]""",KNApSAcK
5388,Pentopetia longipetala,,,"""[]""","""[]""",KNApSAcK
5389,Pentopetia lutea,,,"""[]""","""[]""",KNApSAcK
5390,Pentopetia mollis,,,"""[]""","""[]""",KNApSAcK
5391,Pentopetia ovalifolia,,,"""[]""","""[]""",KNApSAcK
5392,Pentopetia ovalifolia subsp. glabrata,,,"""[]""","""[]""",KNApSAcK
5393,Pentopetia ovalifolia subsp. ovalifolia,,,"""[]""","""[]""",KNApSAcK
5394,Pentopetia pinnata,,,"""[]""","""[]""",KNApSAcK
5395,Pentopetia suarezensis,,,"""[]""","""[]""",KNApSAcK
5396,Pentopetia urceolata,,,"""[]""","""[]""",KNApSAcK
5397,Pentopetia viridis,,,"""[]""","""[]""",KNApSAcK
5398,Peplonia adnata,,,"""[]""","""[]""",KNApSAcK
5399,Peplonia asteria,,,"""[]""","""[]""",KNApSAcK
5400,Peplonia axillaris,,,"""[]""","""[]""",KNApSAcK
5401,Peplonia bradeana,,,"""[]""","""[]""",KNApSAcK
5402,Peplonia hatschbachii,,,"""[]""","""[]""",KNApSAcK
5403,Peplonia hilariana,,,"""[]""","""[]""",KNApSAcK
5404,Peplonia macrophylla,,,"""[]""","""[]""",KNApSAcK
5405,Peplonia organensis,,,"""[]""","""[]""",KNApSAcK
5406,Peplonia riedelii,,,"""[]""","""[]""",KNApSAcK
5407,Pergularia daemia,,,"""[]""","""[]""",KNApSAcK
5408,Pergularia daemia subsp. barbata,,,"""[]""","""[]""",KNApSAcK
5409,Pergularia daemia subsp. daemia,,,"""[]""","""[]""",KNApSAcK
5410,Pergularia daemia subsp. garipensis,,,"""[]""","""[]""",KNApSAcK
5411,Pergularia tomentosa,,,"""[]""","""[]""",KNApSAcK
5412,Periglossum angustifolium,,,"""[]""","""[]""",KNApSAcK
5413,Periglossum mkenii,,,"""[]""","""[]""",KNApSAcK
5414,Periglossum podoptyches,,,"""[]""","""[]""",KNApSAcK
5415,Periploca angustifolia,,,"""[]""","""[]""",KNApSAcK
5416,Periploca aphylla,,,"""[]""","""[]""",KNApSAcK
5417,Periploca aphylla subsp. aphylla,,,"""[]""","""[]""",KNApSAcK
5418,Periploca aphylla subsp. laxiflora,,,"""[]""","""[]""",KNApSAcK
5419,Periploca calophylla,,,"""[]""","""[]""",KNApSAcK
5420,Periploca calophylla var. calophylla,,,"""[]""","""[]""",KNApSAcK
5421,Periploca calophylla var. mucronata,,,"""[]""","""[]""",KNApSAcK
5422,Periploca chevalieri,,,"""[]""","""[]""",KNApSAcK
5423,Periploca chrysantha,,,"""[]""","""[]""",KNApSAcK
5424,Periploca floribunda,,,"""[]""","""[]""",KNApSAcK
5425,Periploca forrestii,,,"""[]""","""[]""",KNApSAcK
5426,Periploca gracilis,,,"""[]""","""[]""",KNApSAcK
5427,Periploca graeca,,,"""[]""","""[]""",KNApSAcK
5428,Periploca hydaspidis,,,"""[]""","""[]""",KNApSAcK
5429,Periploca laevigata,,,"""[]""","""[]""",KNApSAcK
5430,Periploca linearifolia,,,"""[]""","""[]""",KNApSAcK
5431,Periploca purpurea,,,"""[]""","""[]""",KNApSAcK
5432,Periploca sepium,,,"""[]""","""[]""",KNApSAcK
5433,Periploca somaliensis,,,"""[]""","""[]""",KNApSAcK
5434,Periploca tsiangii,,,"""[]""","""[]""",KNApSAcK
5435,Periploca visciformis,,,"""[]""","""[]""",KNApSAcK
5436,Peruviasclepias aliciae,,,"""[]""","""[]""",KNApSAcK
5437,Pervillaea decaryi,,,"""[]""","""[]""",KNApSAcK
5438,Pervillaea lanata,,,"""[]""","""[]""",KNApSAcK
5439,Pervillaea phillipsonii,,,"""[]""","""[]""",KNApSAcK
5440,Pervillaea tomentosa,,,"""[]""","""[]""",KNApSAcK
5441,Pervillaea venenata,,,"""[]""","""[]""",KNApSAcK
5442,Pervillaea venenata subsp. macrantha,,,"""[]""","""[]""",KNApSAcK
5443,Pervillaea venenata subsp. venenata,,,"""[]""","""[]""",KNApSAcK
5444,Petalostelma andinum,,,"""[]""","""[]""",KNApSAcK
5445,Petalostelma auriculatum,,,"""[]""","""[]""",KNApSAcK
5446,Petalostelma bracteolatum,,,"""[]""","""[]""",KNApSAcK
5447,Petalostelma calcaratum,,,"""[]""","""[]""",KNApSAcK
5448,Petalostelma cearense,,,"""[]""","""[]""",KNApSAcK
5449,Petalostelma dardanoi,,,"""[]""","""[]""",KNApSAcK
5450,Petalostelma longipedunculatum,,,"""[]""","""[]""",KNApSAcK
5451,Petalostelma martianum,,,"""[]""","""[]""",KNApSAcK
5452,Petalostelma roberti,,,"""[]""","""[]""",KNApSAcK
5453,Petalostelma sarcostemma,,,"""[]""","""[]""",KNApSAcK
5454,Petchia africana,,,"""[]""","""[]""",KNApSAcK
5455,Petchia ceylanica,,,"""[]""","""[]""",KNApSAcK
5456,Petchia cryptophlebia,,,"""[]""","""[]""",KNApSAcK
5457,Petchia erythrocarpa,,,"""[]""","""[]""",KNApSAcK
5458,Petchia humbertii,,,"""[]""","""[]""",KNApSAcK
5459,Petchia madagascariensis,,,"""[]""","""[]""",KNApSAcK
5460,Petchia montana,,,"""[]""","""[]""",KNApSAcK
5461,Petchia plectaneiifolia,,,"""[]""","""[]""",KNApSAcK
5462,Phaeostemma brasiliensis,,,"""[]""","""[]""",KNApSAcK
5463,Phaeostemma fucata,,,"""[]""","""[]""",KNApSAcK
5464,Phaeostemma glaziovii,,,"""[]""","""[]""",KNApSAcK
5465,Phaeostemma hatschbachii,,,"""[]""","""[]""",KNApSAcK
5466,Phaeostemma kelleri,,,"""[]""","""[]""",KNApSAcK
5467,Phaeostemma riedelii,,,"""[]""","""[]""",KNApSAcK
5468,Phaeostemma surinamensis,,,"""[]""","""[]""",KNApSAcK
5469,Pherotrichis leptogenia,,,"""[]""","""[]""",KNApSAcK
5470,Pherotrichis mixtecana,,,"""[]""","""[]""",KNApSAcK
5471,Pherotrichis schaffneri,,,"""[]""","""[]""",KNApSAcK
5472,Pherotrichis villosa,,,"""[]""","""[]""",KNApSAcK
5473,Philibertia affinis,,,"""[]""","""[]""",KNApSAcK
5474,Philibertia alba,,,"""[]""","""[]""",KNApSAcK
5475,Philibertia amblystigma,,,"""[]""","""[]""",KNApSAcK
5476,Philibertia barbata,,,"""[]""","""[]""",KNApSAcK
5477,Philibertia bicornuta,,,"""[]""","""[]""",KNApSAcK
5478,Philibertia boliviana,,,"""[]""","""[]""",KNApSAcK
5479,Philibertia boliviensis,,,"""[]""","""[]""",KNApSAcK
5480,Philibertia campanulata,,,"""[]""","""[]""",KNApSAcK
5481,Philibertia candolleana,,,"""[]""","""[]""",KNApSAcK
5482,Philibertia castillonii,,,"""[]""","""[]""",KNApSAcK
5483,Philibertia cionophora,,,"""[]""","""[]""",KNApSAcK
5484,Philibertia coalita,,,"""[]""","""[]""",KNApSAcK
5485,Philibertia discolor,,,"""[]""","""[]""",KNApSAcK
5486,Philibertia fiebrigii,,,"""[]""","""[]""",KNApSAcK
5487,Philibertia fontellae,,,"""[]""","""[]""",KNApSAcK
5488,Philibertia gilliesii,,,"""[]""","""[]""",KNApSAcK
5489,Philibertia globiflora,,,"""[]""","""[]""",KNApSAcK
5490,Philibertia latiflora,,,"""[]""","""[]""",KNApSAcK
5491,Philibertia longistyla,,,"""[]""","""[]""",KNApSAcK
5492,Philibertia lysimachioides,,,"""[]""","""[]""",KNApSAcK
5493,Philibertia micrantha,,,"""[]""","""[]""",KNApSAcK
5494,Philibertia mitophora,,,"""[]""","""[]""",KNApSAcK
5495,Philibertia multiflora,,,"""[]""","""[]""",KNApSAcK
5496,Philibertia navarroana,,,"""[]""","""[]""",KNApSAcK
5497,Philibertia nivea,,,"""[]""","""[]""",KNApSAcK
5498,Philibertia parviflora,,,"""[]""","""[]""",KNApSAcK
5499,Philibertia peruviana,,,"""[]""","""[]""",KNApSAcK
5500,Philibertia picta,,,"""[]""","""[]""",KNApSAcK
5501,Philibertia religiosa,,,"""[]""","""[]""",KNApSAcK
5502,Philibertia solanoides,,,"""[]""","""[]""",KNApSAcK
5503,Philibertia speciosa,,,"""[]""","""[]""",KNApSAcK
5504,Philibertia stipitata,,,"""[]""","""[]""",KNApSAcK
5505,Philibertia suberecta,,,"""[]""","""[]""",KNApSAcK
5506,Philibertia subnivea,,,"""[]""","""[]""",KNApSAcK
5507,Philibertia tactila,,,"""[]""","""[]""",KNApSAcK
5508,Philibertia tomentosa,,,"""[]""","""[]""",KNApSAcK
5509,Philibertia tubata,,,"""[]""","""[]""",KNApSAcK
5510,Philibertia tucumanensis,,,"""[]""","""[]""",KNApSAcK
5511,Philibertia urceolata,,,"""[]""","""[]""",KNApSAcK
5512,Philibertia velutina,,,"""[]""","""[]""",KNApSAcK
5513,Philibertia volcanensis,,,"""[]""","""[]""",KNApSAcK
5514,Philibertia zongoensis,,,"""[]""","""[]""",KNApSAcK
5515,Phyllanthera bifida,,,"""[]""","""[]""",KNApSAcK
5516,Phyllanthera grayi,,,"""[]""","""[]""",KNApSAcK
5517,Phyllanthera lancifolia,,,"""[]""","""[]""",KNApSAcK
5518,Phyllanthera multinervosa,,,"""[]""","""[]""",KNApSAcK
5519,Phyllanthera nymanii,,,"""[]""","""[]""",KNApSAcK
5520,Phyllanthera papillata,,,"""[]""","""[]""",KNApSAcK
5521,Phyllanthera perakensis,,,"""[]""","""[]""",KNApSAcK
5522,Phyllanthera piforsteriana,,,"""[]""","""[]""",KNApSAcK
5523,Phyllanthera sumatrana,,,"""[]""","""[]""",KNApSAcK
5524,Phyllanthera takeuchiana,,,"""[]""","""[]""",KNApSAcK
5525,Piaranthus atrosanguineus,,,"""[]""","""[]""",KNApSAcK
5526,Piaranthus comptus,,,"""[]""","""[]""",KNApSAcK
5527,Piaranthus cornutus,,,"""[]""","""[]""",KNApSAcK
5528,Piaranthus cornutus var. cornutus,,,"""[]""","""[]""",KNApSAcK
5529,Piaranthus cornutus var. mennellii,,,"""[]""","""[]""",KNApSAcK
5530,Piaranthus cornutus var. ruschii,,,"""[]""","""[]""",KNApSAcK
5531,Piaranthus decipiens,,,"""[]""","""[]""",KNApSAcK
5532,Piaranthus erratus,,,"""[]""","""[]""",KNApSAcK
5533,Piaranthus fuscatus,,,"""[]""","""[]""",KNApSAcK
5534,Piaranthus geminatus,,,"""[]""","""[]""",KNApSAcK
5535,Piaranthus geminatus subsp. decorus,,,"""[]""","""[]""",KNApSAcK
5536,Piaranthus geminatus subsp. geminatus,,,"""[]""","""[]""",KNApSAcK
5537,Piaranthus parvulus,,,"""[]""","""[]""",KNApSAcK
5538,Piaranthus punctatus,,,"""[]""","""[]""",KNApSAcK
5539,Piaranthus punctatus var. framesii,,,"""[]""","""[]""",KNApSAcK
5540,Piaranthus punctatus var. punctatus,,,"""[]""","""[]""",KNApSAcK
5541,Picralima nitida,,,"""[]""","""[]""",KNApSAcK
5542,Pinochia corymbosa,,,"""[]""","""[]""",KNApSAcK
5543,Pinochia corymbosa subsp. corymbosa,,,"""[]""","""[]""",KNApSAcK
5544,Pinochia corymbosa subsp. portoricensis,,,"""[]""","""[]""",KNApSAcK
5545,Pinochia floribunda,,,"""[]""","""[]""",KNApSAcK
5546,Pinochia monteverdensis,,,"""[]""","""[]""",KNApSAcK
5547,Pinochia peninsularis,,,"""[]""","""[]""",KNApSAcK
5548,Plectaneia longisepala,,,"""[]""","""[]""",KNApSAcK
5549,Plectaneia stenophylla,,,"""[]""","""[]""",KNApSAcK
5550,Plectaneia thouarsii,,,"""[]""","""[]""",KNApSAcK
5551,Pleiocarpa bicarpellata,,,"""[]""","""[]""",KNApSAcK
5552,Pleiocarpa brevistyla,,,"""[]""","""[]""",KNApSAcK
5553,Pleiocarpa mutica,,,"""[]""","""[]""",KNApSAcK
5554,Pleiocarpa picralimoides,,,"""[]""","""[]""",KNApSAcK
5555,Pleiocarpa pycnantha,,,"""[]""","""[]""",KNApSAcK
5556,Pleiocarpa rostrata,,,"""[]""","""[]""",KNApSAcK
5557,Pleioceras afzelii,,,"""[]""","""[]""",KNApSAcK
5558,Pleioceras barteri,,,"""[]""","""[]""",KNApSAcK
5559,Pleioceras gilletii,,,"""[]""","""[]""",KNApSAcK
5560,Pleioceras orientale,,,"""[]""","""[]""",KNApSAcK
5561,Pleioceras zenkeri,,,"""[]""","""[]""",KNApSAcK
5562,Plumeria alba,,,"""[]""","""[]""",KNApSAcK
5563,Plumeria clusioides,,,"""[]""","""[]""",KNApSAcK
5564,Plumeria cubensis,,,"""[]""","""[]""",KNApSAcK
5565,Plumeria ekmanii,,,"""[]""","""[]""",KNApSAcK
5566,Plumeria emarginata,,,"""[]""","""[]""",KNApSAcK
5567,Plumeria filifolia,,,"""[]""","""[]""",KNApSAcK
5568,Plumeria inodora,,,"""[]""","""[]""",KNApSAcK
5569,Plumeria krugii,,,"""[]""","""[]""",KNApSAcK
5570,Plumeria lanata,,,"""[]""","""[]""",KNApSAcK
5571,Plumeria magna,,,"""[]""","""[]""",KNApSAcK
5572,Plumeria montana,,,"""[]""","""[]""",KNApSAcK
5573,Plumeria obtusa,,,"""[]""","""[]""",KNApSAcK
5574,Plumeria pudica,,,"""[]""","""[]""",KNApSAcK
5575,Plumeria rubra,,,"""[]""","""[]""",KNApSAcK
5576,Plumeria sericifolia,,,"""[]""","""[]""",KNApSAcK
5577,Plumeria subsessilis,,,"""[]""","""[]""",KNApSAcK
5578,Plumeria trinitensis,,,"""[]""","""[]""",KNApSAcK
5579,Plumeria tuberculata,,,"""[]""","""[]""",KNApSAcK
5580,Plumeria venosa,,,"""[]""","""[]""",KNApSAcK
5581,Polystemma canisferum,,,"""[]""","""[]""",KNApSAcK
5582,Polystemma cordifolium,,,"""[]""","""[]""",KNApSAcK
5583,Polystemma guatemalense,,,"""[]""","""[]""",KNApSAcK
5584,Polystemma mirandae,,,"""[]""","""[]""",KNApSAcK
5585,Polystemma scopulorum,,,"""[]""","""[]""",KNApSAcK
5586,Pottsia densiflora,,,"""[]""","""[]""",KNApSAcK
5587,Pottsia grandiflora,,,"""[]""","""[]""",KNApSAcK
5588,Pottsia laxiflora,,,"""[]""","""[]""",KNApSAcK
5589,Prestonia acrensis,,,"""[]""","""[]""",KNApSAcK
5590,Prestonia amabilis,,,"""[]""","""[]""",KNApSAcK
5591,Prestonia amazonica,,,"""[]""","""[]""",KNApSAcK
5592,Prestonia annularis,,,"""[]""","""[]""",KNApSAcK
5593,Prestonia antioquiana,,,"""[]""","""[]""",KNApSAcK
5594,Prestonia bahiensis,,,"""[]""","""[]""",KNApSAcK
5595,Prestonia boliviana,,,"""[]""","""[]""",KNApSAcK
5596,Prestonia brittonii,,,"""[]""","""[]""",KNApSAcK
5597,Prestonia calycina,,,"""[]""","""[]""",KNApSAcK
5598,Prestonia cayennensis,,,"""[]""","""[]""",KNApSAcK
5599,Prestonia clandestina,,,"""[]""","""[]""",KNApSAcK
5600,Prestonia coalita,,,"""[]""","""[]""",KNApSAcK
5601,Prestonia cogolloi,,,"""[]""","""[]""",KNApSAcK
5602,Prestonia cordifolia,,,"""[]""","""[]""",KNApSAcK
5603,Prestonia cyaniphylla,,,"""[]""","""[]""",KNApSAcK
5604,Prestonia denticulata,,,"""[]""","""[]""",KNApSAcK
5605,Prestonia didyma,,,"""[]""","""[]""",KNApSAcK
5606,Prestonia discolor,,,"""[]""","""[]""",KNApSAcK
5607,Prestonia dusenii,,,"""[]""","""[]""",KNApSAcK
5608,Prestonia erecta,,,"""[]""","""[]""",KNApSAcK
5609,Prestonia exserta,,,"""[]""","""[]""",KNApSAcK
5610,Prestonia falcatosepala,,,"""[]""","""[]""",KNApSAcK
5611,Prestonia folsomii,,,"""[]""","""[]""",KNApSAcK
5612,Prestonia guianensis,,,"""[]""","""[]""",KNApSAcK
5613,Prestonia hammelii,,,"""[]""","""[]""",KNApSAcK
5614,Prestonia haughtii,,,"""[]""","""[]""",KNApSAcK
5615,Prestonia ipomaeifolia,,,"""[]""","""[]""",KNApSAcK
5616,Prestonia lacerata,,,"""[]""","""[]""",KNApSAcK
5617,Prestonia lagoensis,,,"""[]""","""[]""",KNApSAcK
5618,Prestonia lauta,,,"""[]""","""[]""",KNApSAcK
5619,Prestonia leco,,,"""[]""","""[]""",KNApSAcK
5620,Prestonia lenticellata,,,"""[]""","""[]""",KNApSAcK
5621,Prestonia lindleyana,,,"""[]""","""[]""",KNApSAcK
5622,Prestonia longifolia,,,"""[]""","""[]""",KNApSAcK
5623,Prestonia megagros,,,"""[]""","""[]""",KNApSAcK
5624,Prestonia mexicana,,,"""[]""","""[]""",KNApSAcK
5625,Prestonia mollis,,,"""[]""","""[]""",KNApSAcK
5626,Prestonia morilloi,,,"""[]""","""[]""",KNApSAcK
5627,Prestonia mucronata,,,"""[]""","""[]""",KNApSAcK
5628,Prestonia occultata,,,"""[]""","""[]""",KNApSAcK
5629,Prestonia ornata,,,"""[]""","""[]""",KNApSAcK
5630,Prestonia papillosa,,,"""[]""","""[]""",KNApSAcK
5631,Prestonia parviflora,,,"""[]""","""[]""",KNApSAcK
5632,Prestonia parvifolia,,,"""[]""","""[]""",KNApSAcK
5633,Prestonia peregrina,,,"""[]""","""[]""",KNApSAcK
5634,Prestonia plumeriifolia,,,"""[]""","""[]""",KNApSAcK
5635,Prestonia portobellensis,,,"""[]""","""[]""",KNApSAcK
5636,Prestonia premontana,,,"""[]""","""[]""",KNApSAcK
5637,Prestonia quinquangularis,,,"""[]""","""[]""",KNApSAcK
5638,Prestonia racemosa,,,"""[]""","""[]""",KNApSAcK
5639,Prestonia riedelii,,,"""[]""","""[]""",KNApSAcK
5640,Prestonia riverae,,,"""[]""","""[]""",KNApSAcK
5641,Prestonia robusta,,,"""[]""","""[]""",KNApSAcK
5642,Prestonia rotundifolia,,,"""[]""","""[]""",KNApSAcK
5643,Prestonia schumanniana,,,"""[]""","""[]""",KNApSAcK
5644,Prestonia seemannii,,,"""[]""","""[]""",KNApSAcK
5645,Prestonia solanifolia,,,"""[]""","""[]""",KNApSAcK
5646,Prestonia speciosa,,,"""[]""","""[]""",KNApSAcK
5647,Prestonia succo,,,"""[]""","""[]""",KNApSAcK
5648,Prestonia surinamensis,,,"""[]""","""[]""",KNApSAcK
5649,Prestonia tomentosa,,,"""[]""","""[]""",KNApSAcK
5650,Prestonia trifida,,,"""[]""","""[]""",KNApSAcK
5651,Prestonia tysonii,,,"""[]""","""[]""",KNApSAcK
5652,Prestonia vana,,,"""[]""","""[]""",KNApSAcK
5653,Prestonia vaupesana,,,"""[]""","""[]""",KNApSAcK
5654,Pruskortizia dasytricha,,,"""[]""","""[]""",KNApSAcK
5655,Pruskortizia macrocarpa,,,"""[]""","""[]""",KNApSAcK
5656,Pseudolachnostoma bernardii,,,"""[]""","""[]""",KNApSAcK
5657,Pseudolachnostoma brasiliense,,,"""[]""","""[]""",KNApSAcK
5658,Pseudolachnostoma cynanchiflorum,,,"""[]""","""[]""",KNApSAcK
5659,Pseudolachnostoma parviflorum,,,"""[]""","""[]""",KNApSAcK
5660,Pseudolachnostoma reflexum,,,"""[]""","""[]""",KNApSAcK
5661,Pseudolachnostoma schunkei,,,"""[]""","""[]""",KNApSAcK
5662,Pseudolachnostoma sucrense,,,"""[]""","""[]""",KNApSAcK
5663,Pseudolachnostoma woytkowskii,,,"""[]""","""[]""",KNApSAcK
5664,Pseudolithos caput-viperae,,,"""[]""","""[]""",KNApSAcK
5665,Pseudolithos cubiformis,,,"""[]""","""[]""",KNApSAcK
5666,Pseudolithos dodsonianus,,,"""[]""","""[]""",KNApSAcK
5667,Pseudolithos gigas,,,"""[]""","""[]""",KNApSAcK
5668,Pseudolithos harardheranus,,,"""[]""","""[]""",KNApSAcK
5669,Pseudolithos horwoodii,,,"""[]""","""[]""",KNApSAcK
5670,Pseudolithos mccoyi,,,"""[]""","""[]""",KNApSAcK
5671,Pseudolithos migiurtinus,,,"""[]""","""[]""",KNApSAcK
5672,Pteralyxia kauaiensis,,,"""[]""","""[]""",KNApSAcK
5673,Pteralyxia laurifolia,,,"""[]""","""[]""",KNApSAcK
5674,Ptycanthera oblongata,,,"""[]""","""[]""",KNApSAcK
5675,Ptycanthera ovatifolia,,,"""[]""","""[]""",KNApSAcK
5676,Pycnobotrya nitida,,,"""[]""","""[]""",KNApSAcK
5677,Pycnorhachis maingayi,,,"""[]""","""[]""",KNApSAcK
5678,Quaqua acutiloba,,,"""[]""","""[]""",KNApSAcK
5679,Quaqua albersii,,,"""[]""","""[]""",KNApSAcK
5680,Quaqua arenicola,,,"""[]""","""[]""",KNApSAcK
5681,Quaqua arenicola subsp. arenicola,,,"""[]""","""[]""",KNApSAcK
5682,Quaqua arenicola subsp. pilifera,,,"""[]""","""[]""",KNApSAcK
5683,Quaqua arida,,,"""[]""","""[]""",KNApSAcK
5684,Quaqua armata,,,"""[]""","""[]""",KNApSAcK
5685,Quaqua armata subsp. armata,,,"""[]""","""[]""",KNApSAcK
5686,Quaqua armata subsp. maritima,,,"""[]""","""[]""",KNApSAcK
5687,Quaqua aurea,,,"""[]""","""[]""",KNApSAcK
5688,Quaqua bayeriana,,,"""[]""","""[]""",KNApSAcK
5689,Quaqua cincta,,,"""[]""","""[]""",KNApSAcK
5690,Quaqua framesii,,,"""[]""","""[]""",KNApSAcK
5691,Quaqua incarnata,,,"""[]""","""[]""",KNApSAcK
5692,Quaqua incarnata subsp. hottentotorum,,,"""[]""","""[]""",KNApSAcK
5693,Quaqua incarnata subsp. incarnata,,,"""[]""","""[]""",KNApSAcK
5694,Quaqua incarnata subsp. tentaculata,,,"""[]""","""[]""",KNApSAcK
5695,Quaqua inversa,,,"""[]""","""[]""",KNApSAcK
5696,Quaqua linearis,,,"""[]""","""[]""",KNApSAcK
5697,Quaqua mammillaris,,,"""[]""","""[]""",KNApSAcK
5698,Quaqua multiflora,,,"""[]""","""[]""",KNApSAcK
5699,Quaqua pallens,,,"""[]""","""[]""",KNApSAcK
5700,Quaqua parviflora,,,"""[]""","""[]""",KNApSAcK
5701,Quaqua parviflora subsp. confusa,,,"""[]""","""[]""",KNApSAcK
5702,Quaqua parviflora subsp. dependens,,,"""[]""","""[]""",KNApSAcK
5703,Quaqua parviflora subsp. gracilis,,,"""[]""","""[]""",KNApSAcK
5704,Quaqua parviflora subsp. parviflora,,,"""[]""","""[]""",KNApSAcK
5705,Quaqua parviflora subsp. swanepoelii,,,"""[]""","""[]""",KNApSAcK
5706,Quaqua pillansii,,,"""[]""","""[]""",KNApSAcK
5707,Quaqua pruinosa,,,"""[]""","""[]""",KNApSAcK
5708,Quaqua pulchra,,,"""[]""","""[]""",KNApSAcK
5709,Quaqua ramosa,,,"""[]""","""[]""",KNApSAcK
5710,Raphionacme angolensis,,,"""[]""","""[]""",KNApSAcK
5711,Raphionacme arabica,,,"""[]""","""[]""",KNApSAcK
5712,Raphionacme borenensis,,,"""[]""","""[]""",KNApSAcK
5713,Raphionacme brownii,,,"""[]""","""[]""",KNApSAcK
5714,Raphionacme caerulea,,,"""[]""","""[]""",KNApSAcK
5715,Raphionacme chimanimaniana,,,"""[]""","""[]""",KNApSAcK
5716,Raphionacme dyeri,,,"""[]""","""[]""",KNApSAcK
5717,Raphionacme elsana,,,"""[]""","""[]""",KNApSAcK
5718,Raphionacme flanaganii,,,"""[]""","""[]""",KNApSAcK
5719,Raphionacme galpinii,,,"""[]""","""[]""",KNApSAcK
5720,Raphionacme globosa,,,"""[]""","""[]""",KNApSAcK
5721,Raphionacme grandiflora,,,"""[]""","""[]""",KNApSAcK
5722,Raphionacme haeneliae,,,"""[]""","""[]""",KNApSAcK
5723,Raphionacme hirsuta,,,"""[]""","""[]""",KNApSAcK
5724,Raphionacme inconspicua,,,"""[]""","""[]""",KNApSAcK
5725,Raphionacme keayi,,,"""[]""","""[]""",KNApSAcK
5726,Raphionacme lanceolata,,,"""[]""","""[]""",KNApSAcK
5727,Raphionacme linearis,,,"""[]""","""[]""",KNApSAcK
5728,Raphionacme longifolia,,,"""[]""","""[]""",KNApSAcK
5729,Raphionacme longituba,,,"""[]""","""[]""",KNApSAcK
5730,Raphionacme lucens,,,"""[]""","""[]""",KNApSAcK
5731,Raphionacme madiensis,,,"""[]""","""[]""",KNApSAcK
