,Unnamed: 0.1,Unnamed: 0,Name,Language,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
435,435,435,Landolphia buchananii,['en'],Landolphia buchananii,Landolphia buchananii,79582-1,79582-1,Species
436,436,436,Landolphia dulcis,['en'],Landolphia dulcis,Landolphia dulcis,79607-1,79607-1,Species
437,437,437,Landolphia flavidiflora,['fr'],Landolphia flavidiflora,Landolphia flavidiflora,969157-1,969157-1,Species
438,438,438,Landolphia heudelotii,"['en', 'fr']",Landolphia heudelotii,Landolphia heudelotii,79629-1,79629-1,Species
439,439,439,Landolphia kirkii,['en'],Landolphia kirkii,Landolphia kirkii,79637-1,79637-1,Species
440,440,440,Landolphia lanceolata,['fr'],Landolphia lanceolata,Landolphia lanceolata,79639-1,79639-1,Species
441,441,441,Landolphia mannii,['en'],Landolphia mannii,Landolphia mannii,79656-1,79656-1,Species
442,442,442,Landolphia maxima,['fr'],Landolphia maxima,Landolphia maxima,79659-1,79659-1,Species
443,443,443,Landolphia owariensis,"['es', 'en', 'fr']",Landolphia owariensis,Landolphia owariensis,79672-1,79672-1,Species
444,444,444,Landolphia togolana,['fr'],Landolphia togolana,Landolphia togolana,79714-1,79714-1,Species
445,445,445,Landolphia uniflora,['fr'],Landolphia uniflora,Landolphia uniflora,79721-1,79721-1,Species
446,446,446,Larryleachia cactiformis,['en'],Larryleachia cactiformis,Larryleachia cactiformis,995319-1,995319-1,Species
447,447,447,Larryleachia marlothii,['en'],Larryleachia marlothii,Larryleachia marlothii,995322-1,995322-1,Species
448,448,448,Larryleachia perlata,['en'],Larryleachia perlata,Larryleachia perlata,995324-1,995324-1,Species
449,449,449,Larryleachia tirasmontana,['en'],Larryleachia tirasmontana,Larryleachia tirasmontana,995328-1,995328-1,Species
450,450,450,Lavrania haagnerae,['en'],Lavrania haagnerae,Lavrania haagnerae,930020-1,930020-1,Species
451,451,451,Lepinia taitensis,['en'],Lepinia taitensis,Lepinia taitensis,79762-1,79762-1,Species
452,452,452,Leptadenia lanceolata,['fr'],Leptadenia lanceolata,Leptadenia lanceolata,77143808-1,77143808-1,Species
453,453,453,Leptadenia madagascariensis,['en'],Leptadenia madagascariensis,Leptadenia madagascariensis,98978-1,98978-1,Species
454,454,454,Leptadenia pyrotechnica,"['en', 'fr']",Leptadenia pyrotechnica,Leptadenia pyrotechnica,98980-1,98980-1,Species
455,455,455,Maclaudia felixii,['en'],Maclaudia felixii,Maclaudia felixii,978017-1,978017-1,Species
456,456,456,Macoubea guianensis,['es'],Macoubea guianensis,Macoubea guianensis,79852-1,79852-1,Species
457,457,457,Mahawoa montana,"['es', 'en']",Mahawoa montana,Mahawoa montana,99049-1,99049-1,Species
458,458,458,Malouetia barbata,['fr'],Malouetia barbata,Malouetia barbata,904640-1,904640-1,Species
459,459,459,Malouetia tamaquarina,['fr'],Malouetia tamaquarina,Malouetia tamaquarina,79926-1,79926-1,Species
460,460,460,Mandevilla boliviensis,"['en', 'fr']",Mandevilla boliviensis,Mandevilla boliviensis,151935-2,151935-2,Species
461,461,461,Mandevilla brachysiphon,['en'],Mandevilla brachysiphon,Mandevilla brachysiphon,151937-2,151937-2,Species
462,462,462,Mandevilla caurensis,['fr'],Mandevilla caurensis,Mandevilla caurensis,151946-2,151946-2,Species
463,463,463,Mandevilla equatorialis,['en'],Mandevilla equatorialis,Mandevilla equatorialis,151964-2,151964-2,Species
464,464,464,Mandevilla jamesonii,['en'],Mandevilla jamesonii,Mandevilla jamesonii,151985-2,151985-2,Species
465,465,465,Mandevilla laxa,"['es', 'en', 'fr']",Mandevilla laxa,Mandevilla laxa,151995-2,151995-2,Species
466,466,466,Mandevilla sanderi,"['es', 'en', 'fr']",Mandevilla sanderi,Mandevilla sanderi,152049-2,152049-2,Species
467,467,467,Mandevilla splendens,['en'],Mandevilla splendens,Mandevilla splendens,152060-2,152060-2,Species
468,468,468,Margaretta rosea,['en'],Margaretta rosea,Margaretta rosea,99061-1,99061-1,Species
469,469,469,Marsdenia australis,"['es', 'en']",Marsdenia australis,Marsdenia australis,99083-1,99083-1,Species
470,470,470,Marsdenia cundurango,['en'],Marsdenia cundurango,Marsdenia cundurango,99126-1,99126-1,Species
471,471,471,Marsdenia elliptica,['en'],Marsdenia elliptica,Marsdenia elliptica,99143-1,99143-1,Species
472,472,472,Marsdenia flavescens,['en'],Marsdenia flavescens,Marsdenia flavescens,99150-1,99150-1,Species
473,473,473,Marsdenia geminata,['fr'],Marsdenia geminata,Marsdenia geminata,985218-1,985218-1,Species
474,474,474,Marsdenia lloydii,['en'],Marsdenia lloydii,Marsdenia lloydii,941087-1,941087-1,Species
475,475,475,Marsdenia mackeeorum,['en'],Marsdenia mackeeorum,Marsdenia mackeeorum,77164442-1,77164442-1,Species
476,476,476,Marsdenia oblanceolata,['en'],Marsdenia oblanceolata,Marsdenia oblanceolata,1004718-1,1004718-1,Species
477,477,477,Marsdenia robusta,['en'],Marsdenia robusta,Marsdenia robusta,99274-1,99274-1,Species
478,478,478,Marsdenia rostrata,['en'],Marsdenia rostrata,Marsdenia rostrata,99275-1,99275-1,Species
479,479,479,Marsdenia suaveolens,['en'],Marsdenia suaveolens,Marsdenia suaveolens,99309-1,99309-1,Species
480,480,480,Marsdenia tubulosa,['en'],Marsdenia tubulosa,Marsdenia tubulosa,99335-1,99335-1,Species
481,481,481,Matelea alabamensis,['en'],Matelea alabamensis,Matelea alabamensis,154475-2,154475-2,Species
482,482,482,Matelea baldwyniana,['en'],Matelea baldwyniana,Matelea baldwyniana,154488-2,154488-2,Species
483,483,483,Matelea carolinensis,['en'],Matelea carolinensis,Matelea carolinensis,154501-2,154501-2,Species
484,484,484,Matelea chimboracensis,['en'],Matelea chimboracensis,Matelea chimboracensis,280526-2,280526-2,Species
485,485,485,Matelea cynanchoides,['en'],Matelea cynanchoides,Matelea cynanchoides,154520-2,154520-2,Species
486,486,486,Matelea decipiens,['en'],Matelea decipiens,Matelea decipiens,154521-2,154521-2,Species
487,487,487,Matelea ecuadorensis,['en'],Matelea ecuadorensis,Matelea ecuadorensis,280534-2,280534-2,Species
488,488,488,Matelea floridana,['en'],Matelea floridana,Matelea floridana,154529-2,154529-2,Species
489,489,489,Matelea harlingii,['en'],Matelea harlingii,Matelea harlingii,280543-2,280543-2,Species
490,490,490,Matelea honorana,['en'],Matelea honorana,Matelea honorana,280547-2,280547-2,Species
491,491,491,Matelea jaramilloi,['en'],Matelea jaramilloi,Matelea jaramilloi,300496-2,300496-2,Species
492,492,492,Matelea lhotzkyana,['en'],Matelea lhotzkyana,Matelea lhotzkyana,962384-1,962384-1,Species
493,493,493,Matelea obliqua,['en'],Matelea obliqua,Matelea obliqua,154570-2,154570-2,Species
494,494,494,Matelea orthoneura,['en'],Matelea orthoneura,Matelea orthoneura,303813-2,303813-2,Species
495,495,495,Matelea parvifolia,['en'],Matelea parvifolia,Matelea parvifolia,154577-2,154577-2,Species
496,496,496,Matelea pastazana,['en'],Matelea pastazana,Matelea pastazana,301722-2,301722-2,Species
497,497,497,Matelea porphyrocephala,['en'],Matelea porphyrocephala,Matelea porphyrocephala,301338-2,301338-2,Species
498,498,498,Matelea reticulata,['en'],Matelea reticulata,Matelea reticulata,154604-2,154604-2,Species
499,499,499,Matelea sintenisii,['en'],Matelea sintenisii,Matelea sintenisii,154615-2,154615-2,Species
500,500,500,Matelea sprucei,['en'],Matelea sprucei,Matelea sprucei,280574-2,280574-2,Species
501,501,501,Melodinus acutiflorus,['en'],Melodinus acutiflorus,Melodinus acutiflorus,80158-1,80158-1,Species
502,502,502,Melodinus axillaris,['en'],Melodinus axillaris,Melodinus axillaris,80166-1,80166-1,Species
503,503,503,Melodinus fusiformis,['en'],Melodinus fusiformis,Melodinus fusiformis,80201-1,80201-1,Species
504,504,504,Metastelma anegadense,['en'],Metastelma anegadense,Metastelma anegadense,158481-2,158481-2,Species
505,505,505,Metastelma arizonicum,['en'],Metastelma arizonicum,Metastelma arizonicum,99596-1,99596-1,Species
506,506,506,Metastelma purpurascens,['en'],Metastelma purpurascens,Metastelma purpurascens,99718-1,99718-1,Species
507,507,507,Microloma calycinum,['en'],Microloma calycinum,Microloma calycinum,99761-1,99761-1,Species
508,508,508,Microloma sagittatum,['en'],Microloma sagittatum,Microloma sagittatum,99778-1,99778-1,Species
509,509,509,Microloma tenuifolium,['en'],Microloma tenuifolium,Microloma tenuifolium,99781-1,99781-1,Species
510,510,510,Microplumeria anomala,['en'],Microplumeria anomala,Microplumeria anomala,80344-1,80344-1,Species
511,511,511,Minaria hemipogonoides,['pt'],Minaria hemipogonoides,Minaria hemipogonoides,77074592-1,77074592-1,Species
512,512,512,Mondia whitei,['en'],Mondia whitei,Mondia whitei,99812-1,99812-1,Species
513,513,513,Monolluma quadrangula,['en'],Monolluma quadrangula,Monolluma quadrangula,986817-1,986817-1,Species
514,514,514,Mortoniella pittieri,"['es', 'en']",Mortoniella pittieri,Mortoniella pittieri,164460-2,164460-2,Species
515,515,515,Myriopteron extensum,['en'],Myriopteron extensum,Myriopteron extensum,99829-1,99829-1,Species
516,516,516,Nautonia nummularia,"['es', 'en']",Nautonia nummularia,Nautonia nummularia,99833-1,99833-1,Species
517,517,517,Neobracea bahamensis,['en'],Neobracea bahamensis,Neobracea bahamensis,168417-2,168417-2,Species
518,518,518,Neoschumannia cardinea,['es'],Neoschumannia cardinea,Neoschumannia cardinea,985629-1,985629-1,Species
519,519,519,Neoschumannia kamerunensis,"['en', 'fr']",Neoschumannia kamerunensis,Neoschumannia kamerunensis,99837-1,99837-1,Species
520,520,520,Nerium oleander,"['es', 'en', 'fr', 'it', 'pt']",Nerium oleander,Nerium oleander,80460-1,80460-1,Species
521,521,521,Notechidnopsis tessellata,"['es', 'en']",Notechidnopsis tessellata,Notechidnopsis tessellata,915313-1,915313-1,Species
522,522,522,Ochrosia ackeringae,['en'],Ochrosia ackeringae,Ochrosia ackeringae,80486-1,80486-1,Species
523,523,523,Ochrosia borbonica,"['en', 'fr']",Ochrosia borbonica,Ochrosia borbonica,80491-1,80491-1,Species
524,524,524,Ochrosia elliptica,"['en', 'fr']",Ochrosia elliptica,Ochrosia elliptica,80500-1,80500-1,Species
525,525,525,Ochrosia fatuhivensis,['en'],Ochrosia fatuhivensis,Ochrosia fatuhivensis,80501-1,80501-1,Species
526,526,526,Ochrosia glomerata,['en'],Ochrosia glomerata,Ochrosia glomerata,77177054-1,77177054-1,Species
527,527,527,Ochrosia grandiflora,['en'],Ochrosia grandiflora,Ochrosia grandiflora,80505-1,80505-1,Species
528,528,528,Ochrosia haleakalae,['en'],Ochrosia haleakalae,Ochrosia haleakalae,80507-1,80507-1,Species
529,529,529,Ochrosia hexandra,['en'],Ochrosia hexandra,Ochrosia hexandra,80509-1,80509-1,Species
530,530,530,Ochrosia inventorum,['fr'],Ochrosia inventorum,Ochrosia inventorum,904759-1,904759-1,Species
531,531,531,Ochrosia kauaiensis,['en'],Ochrosia kauaiensis,Ochrosia kauaiensis,80513-1,80513-1,Species
532,532,532,Ochrosia kilaueaensis,['en'],Ochrosia kilaueaensis,Ochrosia kilaueaensis,80514-1,80514-1,Species
533,533,533,Ochrosia moorei,['en'],Ochrosia moorei,Ochrosia moorei,80527-1,80527-1,Species
534,534,534,Ochrosia oppositifolia,"['en', 'fr']",Ochrosia oppositifolia,Ochrosia oppositifolia,80534-1,80534-1,Species
535,535,535,Ochrosia poweri,['en'],Ochrosia poweri,Ochrosia poweri,80538-1,80538-1,Species
536,536,536,Odontadenia geminata,['en'],Odontadenia geminata,Odontadenia geminata,80574-1,80574-1,Species
537,537,537,Oncinema lineare,['en'],Oncinema lineare,Oncinema lineare,99883-1,99883-1,Species
538,538,538,Oncinotis glabrata,['en'],Oncinotis glabrata,Oncinotis glabrata,80624-1,80624-1,Species
539,539,539,Oncinotis tenuiloba,['en'],Oncinotis tenuiloba,Oncinotis tenuiloba,80641-1,80641-1,Species
540,540,540,Ophionella arcuata,['en'],Ophionella arcuata,Ophionella arcuata,909285-1,909285-1,Species
541,541,541,Orbea ciliata,['en'],Orbea ciliata,Orbea ciliata,99889-1,99889-1,Species
542,542,542,Orbea decaisneana,['fr'],Orbea decaisneana,Orbea decaisneana,1019339-1,1019339-1,Species
543,543,543,Orbea lutea subsp. vaga,['es'],Orbea lutea subsp. vaga,Orbea lutea,1019357-1,1019358-1,Subspecies
544,544,544,Orbea paradoxa,['es'],Orbea paradoxa,Orbea paradoxa,99910-1,99910-1,Species
545,545,545,Orbea schweinfurthii,['es'],Orbea schweinfurthii,Orbea schweinfurthii,1019364-1,1019364-1,Species
546,546,546,Orbea variegata,"['es', 'en', 'fr']",Orbea variegata,Orbea variegata,99924-1,99924-1,Species
547,547,547,Oreosparte celebica,"['es', 'en']",Oreosparte celebica,Oreosparte celebica,99941-1,99941-1,Species
548,548,548,Orthosia mollis,['en'],Orthosia mollis,Orthosia mollis,176865-2,176865-2,Species
549,549,549,Oxypetalum coeruleum,['en'],Oxypetalum coeruleum,Oxypetalum coeruleum,100033-1,100033-1,Species
550,550,550,Oxystelma esculentum,['en'],Oxystelma esculentum,Oxystelma esculentum,60458242-2,60458242-2,Species
551,551,551,Pachycarpus medusonema,['fr'],Pachycarpus medusonema,Pachycarpus medusonema,100245-1,100245-1,Species
552,552,552,Pachypodium ambongense,"['en', 'it']",Pachypodium ambongense,Pachypodium ambongense,80690-1,80690-1,Species
553,553,553,Pachypodium baronii,"['es', 'en', 'it']",Pachypodium baronii,Pachypodium baronii,80691-1,80691-1,Species
554,554,554,Pachypodium bispinosum,"['en', 'it']",Pachypodium bispinosum,Pachypodium bispinosum,80692-1,80692-1,Species
555,555,555,Pachypodium brevicaule,"['en', 'it']",Pachypodium brevicaule,Pachypodium brevicaule,80694-1,80694-1,Species
556,556,556,Pachypodium decaryi,['en'],Pachypodium decaryi,Pachypodium decaryi,77177339-1,77177339-1,Species
557,557,557,Pachypodium densiflorum,"['en', 'it']",Pachypodium densiflorum,Pachypodium densiflorum,80697-1,80697-1,Species
558,558,558,Pachypodium geayi,"['en', 'it']",Pachypodium geayi,Pachypodium geayi,80699-1,80699-1,Species
559,559,559,Pachypodium horombense,"['en', 'it']",Pachypodium horombense,Pachypodium horombense,80703-1,80703-1,Species
560,560,560,Pachypodium lamerei,"['es', 'en', 'fr', 'it']",Pachypodium lamerei,Pachypodium lamerei,80705-1,80705-1,Species
561,561,561,Pachypodium lealii,"['es', 'en', 'fr', 'it']",Pachypodium lealii,Pachypodium lealii,80706-1,80706-1,Species
562,562,562,Pachypodium namaquanum,"['es', 'en', 'fr', 'it']",Pachypodium namaquanum,Pachypodium namaquanum,80709-1,80709-1,Species
563,563,563,Pachypodium rosulatum,"['es', 'en', 'fr', 'it']",Pachypodium rosulatum,Pachypodium rosulatum,80712-1,80712-1,Species
564,564,564,Pachypodium rutenbergianum,"['en', 'it']",Pachypodium rutenbergianum,Pachypodium rutenbergianum,80713-1,80713-1,Species
565,565,565,Pachypodium saundersii,"['en', 'it']",Pachypodium saundersii,Pachypodium saundersii,80714-1,80714-1,Species
566,566,566,Pachypodium succulentum,"['en', 'it']",Pachypodium succulentum,Pachypodium succulentum,80716-1,80716-1,Species
567,567,567,Papuechites aambe,"['es', 'en']",Papuechites aambe,Papuechites aambe,80797-1,80797-1,Species
568,568,568,Parahancornia fasciculata,"['es', 'en']",Parahancornia fasciculata,Parahancornia fasciculata,182946-2,182946-2,Species
569,569,569,Parahancornia peruviana,['en'],Parahancornia peruviana,Parahancornia peruviana,182950-2,182950-2,Species
570,570,570,Parepigynum funingense,"['es', 'en']",Parepigynum funingense,Parepigynum funingense,80864-1,80864-1,Species
571,571,571,Parsonsia alboflavescens,['en'],Parsonsia alboflavescens,Parsonsia alboflavescens,80868-1,80868-1,Species
572,572,572,Parsonsia brownii,['en'],Parsonsia brownii,Parsonsia brownii,80881-1,80881-1,Species
573,573,573,Parsonsia capsularis,['en'],Parsonsia capsularis,Parsonsia capsularis,80887-1,80887-1,Species
574,574,574,Parsonsia curvisepala,['en'],Parsonsia curvisepala,Parsonsia curvisepala,80898-1,80898-1,Species
575,575,575,Parsonsia diaphanophlebia,['en'],Parsonsia diaphanophlebia,Parsonsia diaphanophlebia,80903-1,80903-1,Species
576,576,576,Parsonsia eucalyptophylla,['en'],Parsonsia eucalyptophylla,Parsonsia eucalyptophylla,80910-1,80910-1,Species
577,577,577,Parsonsia heterophylla,['en'],Parsonsia heterophylla,Parsonsia heterophylla,80926-1,80926-1,Species
578,578,578,Parsonsia howeana,['en'],Parsonsia howeana,Parsonsia howeana,979124-1,979124-1,Species
579,579,579,Parsonsia straminea,['en'],Parsonsia straminea,Parsonsia straminea,50061-3,50061-3,Species
580,580,580,Parsonsia velutina,['en'],Parsonsia velutina,Parsonsia velutina,81017-1,81017-1,Species
581,581,581,Pentalinon luteum,['en'],Pentalinon luteum,Pentalinon luteum,942487-1,942487-1,Species
582,582,582,Pergularia daemia,"['es', 'en']",Pergularia daemia,Pergularia daemia,100371-1,100371-1,Species
583,583,583,Periploca angustifolia,['es'],Periploca angustifolia,Periploca angustifolia,100427-1,100427-1,Species
584,584,584,Periploca aphylla,['it'],Periploca aphylla,Periploca aphylla,100428-1,100428-1,Species
585,585,585,Periploca graeca,"['es', 'en', 'fr', 'it']",Periploca graeca,Periploca graeca,100459-1,100459-1,Species
586,586,586,Periploca laevigata,"['en', 'pt']",Periploca laevigata,Periploca laevigata,100468-1,100468-1,Species
587,587,587,Periploca sepium,['fr'],Periploca sepium,Periploca sepium,100502-1,100502-1,Species
588,588,588,Petchia africana,['fr'],Petchia africana,Petchia africana,997250-1,997250-1,Species
589,589,589,Petchia madagascariensis,['en'],Petchia madagascariensis,Petchia madagascariensis,997254-1,997254-1,Species
590,590,590,Picralima nitida,"['es', 'en', 'fr']",Picralima nitida,Picralima nitida,81115-1,81115-1,Species
591,591,591,Pinochia monteverdensis,['en'],Pinochia monteverdensis,Pinochia monteverdensis,77084118-1,77084118-1,Species
592,592,592,Pleiocarpa mutica,['en'],Pleiocarpa mutica,Pleiocarpa mutica,81143-1,81143-1,Species
593,593,593,Pleiocarpa pycnantha,['en'],Pleiocarpa pycnantha,Pleiocarpa pycnantha,81144-1,81144-1,Species
594,594,594,Pleioceras barteri,['en'],Pleioceras barteri,Pleioceras barteri,81155-1,81155-1,Species
595,595,595,Pleioceras orientale,"['en', 'fr']",Pleioceras orientale,Pleioceras orientale,81159-1,81159-1,Species
596,596,596,Plumeria alba,"['es', 'en', 'fr', 'it', 'pt']",Plumeria alba,Plumeria alba,81171-1,81171-1,Species
597,597,597,Plumeria clusioides,['en'],Plumeria clusioides,Plumeria clusioides,81196-1,81196-1,Species
598,598,598,Plumeria obtusa,"['es', 'en', 'fr', 'pt']",Plumeria obtusa,Plumeria obtusa,81256-1,81256-1,Species
599,599,599,Plumeria pudica,"['en', 'fr', 'pt']",Plumeria pudica,Plumeria pudica,81268-1,81268-1,Species
600,600,600,Plumeria rubra,"['es', 'en', 'fr', 'it', 'pt']",Plumeria rubra,Plumeria rubra,81275-1,81275-1,Species
601,601,601,Prestonia amazonica,['en'],Prestonia amazonica,Prestonia amazonica,81326-1,81326-1,Species
602,602,602,Prestonia parvifolia,['en'],Prestonia parvifolia,Prestonia parvifolia,210129-2,210129-2,Species
603,603,603,Prestonia peregrina,['en'],Prestonia peregrina,Prestonia peregrina,210130-2,210130-2,Species
604,604,604,Prestonia rotundifolia,['en'],Prestonia rotundifolia,Prestonia rotundifolia,210140-2,210140-2,Species
605,605,605,Prestonia schumanniana,['en'],Prestonia schumanniana,Prestonia schumanniana,210142-2,210142-2,Species
606,606,606,Pseudolithos cubiformis,"['es', 'en']",Pseudolithos cubiformis,Pseudolithos cubiformis,100735-1,100735-1,Species
607,607,607,Pseudolithos horwoodii,['es'],Pseudolithos horwoodii,Pseudolithos horwoodii,100736-1,100736-1,Species
608,608,608,Pteralyxia kauaiensis,['en'],Pteralyxia kauaiensis,Pteralyxia kauaiensis,81442-1,81442-1,Species
609,609,609,Pteralyxia laurifolia,['en'],Pteralyxia laurifolia,Pteralyxia laurifolia,1007058-1,1007058-1,Species
610,610,610,Pycnobotrya nitida,"['es', 'en']",Pycnobotrya nitida,Pycnobotrya nitida,81488-1,81488-1,Species
611,611,611,Pycnorhachis maingayi,['en'],Pycnorhachis maingayi,Pycnorhachis maingayi,100761-1,100761-1,Species
612,612,612,Raphionacme madiensis,['es'],Raphionacme madiensis,Raphionacme madiensis,100804-1,100804-1,Species
613,613,613,Rauvolfia caffra,"['es', 'en']",Rauvolfia caffra,Rauvolfia caffra,81519-1,81519-1,Species
614,614,614,Rauvolfia cambodiana,"['es', 'en']",Rauvolfia cambodiana,Rauvolfia cambodiana,81520-1,81520-1,Species
615,615,615,Rauvolfia mannii,"['en', 'fr']",Rauvolfia mannii,Rauvolfia mannii,81579-1,81579-1,Species
616,616,616,Rauvolfia media,['en'],Rauvolfia media,Rauvolfia media,81583-1,81583-1,Species
617,617,617,Rauvolfia micrantha,['en'],Rauvolfia micrantha,Rauvolfia micrantha,81586-1,81586-1,Species
618,618,618,Rauvolfia nukuhivensis,['en'],Rauvolfia nukuhivensis,Rauvolfia nukuhivensis,77112735-1,77112735-1,Species
619,619,619,Rauvolfia sachetiae,"['es', 'en']",Rauvolfia sachetiae,Rauvolfia sachetiae,898593-1,898593-1,Species
620,620,620,Rauvolfia sandwicensis,"['es', 'en']",Rauvolfia sandwicensis,Rauvolfia sandwicensis,81642-1,81642-1,Species
621,621,621,Rauvolfia serpentina,"['es', 'en', 'fr', 'it']",Rauvolfia serpentina,Rauvolfia serpentina,81648-1,81648-1,Species
622,622,622,Rauvolfia sumatrana,['en'],Rauvolfia sumatrana,Rauvolfia sumatrana,81660-1,81660-1,Species
623,623,623,Rauvolfia tetraphylla,"['es', 'en']",Rauvolfia tetraphylla,Rauvolfia tetraphylla,81663-1,81663-1,Species
624,624,624,Rauvolfia verticillata,"['es', 'en']",Rauvolfia verticillata,Rauvolfia verticillata,81667-1,81667-1,Species
625,625,625,Rauvolfia viridis,['fr'],Rauvolfia viridis,Rauvolfia viridis,81670-1,81670-1,Species
626,626,626,Rauvolfia vomitoria,"['en', 'fr']",Rauvolfia vomitoria,Rauvolfia vomitoria,81673-1,81673-1,Species
627,627,627,Rhazya stricta,['en'],Rhazya stricta,Rhazya stricta,81712-1,81712-1,Species
628,628,628,Rhigospira quadrangularis,"['es', 'en']",Rhigospira quadrangularis,Rhigospira quadrangularis,81716-1,81716-1,Species
629,629,629,Rhyssolobium dumosum,"['es', 'en']",Rhyssolobium dumosum,Rhyssolobium dumosum,100843-1,100843-1,Species
630,630,630,Richtersveldia columnaris,['es'],Richtersveldia columnaris,Richtersveldia columnaris,20009970-1,20009970-1,Species
631,631,631,Rojasia gracilis,['en'],Rojasia gracilis,Rojasia gracilis,221671-2,221671-2,Species
632,632,632,Saba comorensis,"['es', 'en', 'fr']",Saba comorensis,Saba comorensis,81757-1,81757-1,Species
633,633,633,Saba senegalensis,"['en', 'fr', 'it']",Saba senegalensis,Saba senegalensis,81759-1,81759-1,Species
634,634,634,Sarcolobus globosus,"['es', 'en']",Sarcolobus globosus,Sarcolobus globosus,100926-1,100926-1,Species
635,635,635,Schistonema weberbaueri,['en'],Schistonema weberbaueri,Schistonema weberbaueri,229294-2,229294-2,Species
636,636,636,Schubertia grandiflora,['es'],Schubertia grandiflora,Schubertia grandiflora,101279-1,101279-1,Species
637,637,637,Secamone alpini,['en'],Secamone alpini,Secamone alpini,101298-1,101298-1,Species
638,638,638,Secamone cuneifolia,['en'],Secamone cuneifolia,Secamone cuneifolia,77063619-1,77063619-1,Species
639,639,639,Secamone elliptica,['en'],Secamone elliptica,Secamone elliptica,101324-1,101324-1,Species
640,640,640,Secamone racemosa,['en'],Secamone racemosa,Secamone racemosa,20003328-1,20003328-1,Species
641,641,641,Secamone schatzii,['en'],Secamone schatzii,Secamone schatzii,320437-2,320437-2,Species
642,642,642,Secamone socotrana,"['es', 'en']",Secamone socotrana,Secamone socotrana,101391-1,101391-1,Species
643,643,643,Secamone volubilis,['en'],Secamone volubilis,Secamone volubilis,915483-1,915483-1,Species
644,644,644,Secamonopsis madagascariensis,['en'],Secamonopsis madagascariensis,Secamonopsis madagascariensis,101410-1,101410-1,Species
645,645,645,Secamonopsis microphylla,['en'],Secamonopsis microphylla,Secamonopsis microphylla,989633-1,989633-1,Species
646,646,646,Skytanthus acutus,['es'],Skytanthus acutus,Skytanthus acutus,81785-1,81785-1,Species
647,647,647,Socotrella dolichocnema,['en'],Socotrella dolichocnema,Socotrella dolichocnema,20008734-1,20008734-1,Species
648,648,648,Spirolobium cambodianum,"['es', 'en']",Spirolobium cambodianum,Spirolobium cambodianum,81791-1,81791-1,Species
649,649,649,Spongiosperma macrophyllum,['en'],Spongiosperma macrophyllum,Spongiosperma macrophyllum,945265-1,945265-1,Species
650,650,650,Stapelia flavopurpurea,['en'],Stapelia flavopurpurea,Stapelia flavopurpurea,101581-1,101581-1,Species
651,651,651,Stapelia gigantea,"['es', 'en', 'pt']",Stapelia gigantea,Stapelia gigantea,101594-1,101594-1,Species
652,652,652,Stapelia grandiflora,['en'],Stapelia grandiflora,Stapelia grandiflora,101605-1,101605-1,Species
653,653,653,Stapelia hirsuta,"['en', 'fr']",Stapelia hirsuta,Stapelia hirsuta,101613-1,101613-1,Species
654,654,654,Stapelia leendertziae,['en'],Stapelia leendertziae,Stapelia leendertziae,101642-1,101642-1,Species
655,655,655,Stapelia pearsonii,['en'],Stapelia pearsonii,Stapelia pearsonii,101727-1,101727-1,Species
656,656,656,Stapelianthus decaryi,['fr'],Stapelianthus decaryi,Stapelianthus decaryi,101852-1,101852-1,Species
657,657,657,Stelmagonum hahnianum,['en'],Stelmagonum hahnianum,Stelmagonum hahnianum,244334-2,244334-2,Species
658,658,658,Stephanostegia capuronii,['en'],Stephanostegia capuronii,Stephanostegia capuronii,81833-1,81833-1,Species
659,659,659,Stephanostema stenocarpum,"['es', 'en']",Stephanostema stenocarpum,Stephanostema stenocarpum,81838-1,81838-1,Species
660,660,660,Stephanotis floribunda,"['en', 'fr', 'it']",Stephanotis floribunda,Stephanotis floribunda,77204413-1,77204413-1,Species
661,661,661,Stipecoma peltigera,"['es', 'en']",Stipecoma peltigera,Stipecoma peltigera,81843-1,81843-1,Species
662,662,662,Strempeliopsis arborea,['en'],Strempeliopsis arborea,Strempeliopsis arborea,246425-2,246425-2,Species
663,663,663,Strophanthus amboensis,['en'],Strophanthus amboensis,Strophanthus amboensis,81853-1,81853-1,Species
664,664,664,Strophanthus boivinii,"['es', 'en']",Strophanthus boivinii,Strophanthus boivinii,81862-1,81862-1,Species
665,665,665,Strophanthus caudatus,"['es', 'en']",Strophanthus caudatus,Strophanthus caudatus,81867-1,81867-1,Species
666,666,666,Strophanthus courmontii,['en'],Strophanthus courmontii,Strophanthus courmontii,81871-1,81871-1,Species
667,667,667,Strophanthus divaricatus,['en'],Strophanthus divaricatus,Strophanthus divaricatus,81877-1,81877-1,Species
668,668,668,Strophanthus eminii,['en'],Strophanthus eminii,Strophanthus eminii,81881-1,81881-1,Species
669,669,669,Strophanthus gratus,"['es', 'en', 'fr', 'it']",Strophanthus gratus,Strophanthus gratus,81895-1,81895-1,Species
670,670,670,Strophanthus hispidus,"['es', 'en', 'fr', 'it']",Strophanthus hispidus,Strophanthus hispidus,81900-1,81900-1,Species
671,671,671,Strophanthus kombe,"['es', 'en', 'fr']",Strophanthus kombe,Strophanthus kombe,81909-1,81909-1,Species
672,672,672,Strophanthus nicholsonii,['en'],Strophanthus nicholsonii,Strophanthus nicholsonii,81924-1,81924-1,Species
