,taxa,knapsack_snippet,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
37,Coffea stenophylla,"""['beta-Sitosterol']""",KNApSAcK,Coffea stenophylla,Coffea stenophylla,747266-1,747266-1,Species
38,Coussarea brevicaulis,"""['beta-Sitosterol']""",KNApSAcK,Coussarea brevicaulis,Coussarea brevicaulis,747645-1,747645-1,Species
39,Lasianthus gardneri,"""['beta-Sitosterol']""",KNApSAcK,Lasianthus gardneri,Lasianthus gardneri,754968-1,754968-1,Species
40,Mitragyna inermis,"""['Stigmasterol', 'beta-Sitosterol']""",KNApSAcK,Mitragyna inermis,Mitragyna inermis,756296-1,756296-1,Species
41,Mitragyna rotundifolia,"""['Stigmasterol', 'beta-Sitosterol']""",KNApSAcK,Mitragyna rotundifolia,Mitragyna rotundifolia,756301-1,756301-1,Species
42,Mitragyna speciosa,"""['Stigmasterol', 'beta-Sitosterol']""",KNApSAcK,Mitragyna speciosa,Mitragyna speciosa,756303-1,756303-1,Species
43,Mitragyna stipulosa,"""['Stigmasterol', 'beta-Sitosterol']""",KNApSAcK,Mitragyna stipulosa,Mitragyna stipulosa,756304-1,756304-1,Species
44,Morinda citrifolia,"""['beta-Sitosterol']""",KNApSAcK,Morinda citrifolia,Morinda citrifolia,756359-1,756359-1,Species
45,Mussaenda macrophylla,"""['beta-Sitosterol']""",KNApSAcK,Mussaenda macrophylla,Mussaenda macrophylla,756718-1,756718-1,Species
46,Mussaenda pubescens,"""['Stigmasterol']""",KNApSAcK,Mussaenda pubescens,Mussaenda pubescens,756781-1,756781-1,Species
47,Nauclea orientalis,"""['beta-Sitosterol']""",KNApSAcK,Nauclea orientalis,Nauclea orientalis,757181-1,757181-1,Species
48,Paederia foetida,"""['Stigmasterol', 'beta-Sitosterol', 'Campesterol']""",KNApSAcK,Paederia foetida,Paederia foetida,758897-1,758897-1,Species
49,Psychotria adenophylla,"""['beta-Sitosterol']""",KNApSAcK,Psychotria adenophylla,Psychotria adenophylla,761257-1,761257-1,Species
50,Psychotria serpens,"""['Stigmasterol']""",KNApSAcK,Psychotria serpens,Psychotria serpens,763361-1,763361-1,Species
51,Rubia cordifolia,"""['beta-Sitosterol']""",KNApSAcK,Rubia cordifolia,Rubia cordifolia,765218-1,765218-1,Species
52,Rubia wallichiana,"""['Stigmasterol', 'beta-Sitosterol']""",KNApSAcK,Rubia wallichiana,Rubia wallichiana,765383-1,765383-1,Species
53,Rubia yunnanensis,"""['Stigmasterol', 'beta-Sitosterol']""",KNApSAcK,Rubia yunnanensis,Rubia yunnanensis,765385-1,765385-1,Species
