,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,MPNS_Snippet,USDA_Snippet,POWO_Snippet,Wiki_Snippet,PPA_Snippet,SPP_Snippet,WEP_snippet,Sources
9795,469605-1,Abrus precatorius,Abrus precatorius,469605-1,Species,,,,,,,gidee-gidee,:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke)::WEP (Wiersema 2013)
9796,469605-1,Abrus precatorius,Abrus precatorius,469605-1,Species,,,,,,,jequiriti,:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke)::WEP (Wiersema 2013)
9797,469605-1,Abrus precatorius,Abrus precatorius,469605-1,Species,,,,,,,love-bean,:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke)::WEP (Wiersema 2013)
9798,469605-1,Abrus precatorius,Abrus precatorius,469605-1,Species,,,,,,,weathervine,:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke)::WEP (Wiersema 2013)
9883,326013-2,Aconitum,nan,nan,Genus,,,,,,,havestormhat:hybrid monkshood:hybrid monkshood:trädgårdsstormhatt,:Cornell CALS:::UCANR Toxic::::WEP (Wiersema 2013)
9884,33043-1,Actaea,nan,nan,Genus,,,,,,,,:Cornell CALS:::::::
9885,36263-1,Aesculus,nan,nan,Genus,,,,,,,flowering horse-chestnut:red horse-chestnut:flowering horse-chestnut:flowering horse-chestnut:red horse-chestnut:red horse-chestnut:rote Rosskastanie:rote Rosskastanie,:Cornell CALS::CPCS toxic:UCANR Toxic::::WEP (Wiersema 2013)
9886,36263-1,Aesculus,nan,nan,Genus,,,,,,,marronnier rouge,:Cornell CALS::CPCS toxic:UCANR Toxic::::WEP (Wiersema 2013)
9889,150316-1,Agrostemma githago,Agrostemma githago,150316-1,Species,,,,,,,"almindelig klinte:corn-campion:cockle:corn cockle:corn-campion:corn cockle:corn-pink:gewöhnliche Kornrade:joio-venenoso:klätt:klinte, almindelig klinte:Kornrade, gewöhnliche Kornrade:nielle:nigela-dos-trigais:corn-pink",:Cornell CALS:::::USDA(Duke):TPPT:WEP (Wiersema 2013)
9890,358198-1,Vernicia fordii,Vernicia fordii,358198-1,Species,,,,,,,"aleurita:arbre à l'huile de tung:árvore-de-óleo-da-china:Chineesche olieboom:gewöhnlicher Tungölbaum:Holzölbaum:noix d'abrasin:tung-oil-tree:olieboom, Chineesche olieboom:tung-oil-tree:tung-oil-tree:tung-yu:gewöhnlicher Tungölbaum:Tungölbaum:tungträd:tungue:桐油 (tung yu):桐油树 (tung you shu):油桐 (you tong)",:Cornell CALS::CPCS toxic:::USDA(Duke)::WEP (Wiersema 2013)
9891,358198-1,Vernicia fordii,Vernicia fordii,358198-1,Species,,,,,,,Chinese wood-oil-tree:Chinese wood-oil-tree:Chinese wood-oil-tree:Chinese wood-oil-tree,:Cornell CALS::CPCS toxic:::USDA(Duke)::WEP (Wiersema 2013)
9892,30000901-2,Allium,nan,nan,Genus,,,,,,,"Beltsville bunching onion:Beltsville bunching onion:Catawissa onion:Catawissazwiebel:Egyptian onion:etageløg:Luftzwiebel:oignon d'Égypte:Beltsville bunching onion:Catawissa onion:Egyptian onion:top onion:tree onion:Wakegi onion:top onion:tree onion:Zwiebel, ägyptische Zwiebel:楼子葱 (lou zi cong):ワケギ (wakegi):лук многоярусный  (luk mnogoârusnyj)",:Cornell CALS::CPCS toxic:UCANR Toxic::::WEP (Wiersema 2013)
9893,30000901-2,Allium,nan,nan,Genus,,,,,,,ciboule de la Drôme:ciboule de Saint-Jacques:ciboule vivace:cive du Poitou:cive rouge antillaise:Johannislauch:Johanniszwiebel:oignon de Saint-Jean:perennial onion:St. John's onion:triploid onion:perennial onion:triploid onion,:Cornell CALS::CPCS toxic:UCANR Toxic::::WEP (Wiersema 2013)
9894,30000901-2,Allium,nan,nan,Genus,,,,,,,"John's onion, St. John's onion",:Cornell CALS::CPCS toxic:UCANR Toxic::::WEP (Wiersema 2013)
9895,30000901-2,Allium,nan,nan,Genus,,,,,,,St. John's onion,:Cornell CALS::CPCS toxic:UCANR Toxic::::WEP (Wiersema 2013)
9896,30000901-2,Allium,nan,nan,Genus,,,,,,,Wakegi onion,:Cornell CALS::CPCS toxic:UCANR Toxic::::WEP (Wiersema 2013)
9902,327362-2,Amaranthus,nan,nan,Genus,,,,,,,,:Cornell CALS:::::USDA(Duke)::
9903,60470267-2,Amsinckia menziesii var. intermedia,Amsinckia menziesii,11839-2,Variety,,,,,,,common fiddleneck:common fiddleneck,:Cornell CALS:::::::WEP (Wiersema 2013)
9904,18816-2,Argemone mexicana,Argemone mexicana,18816-2,Species,,,,,,,adormidera espinosa:amapolas del campo:argémone du Mexique:Bermuda thistle:geelblom-bloudissel:chardon béni:chardon du pays:fico infernale:yellow-flower Mexican-poppy:geelblom-bloudissel:gemeiner Stachelmohn:gul taggvallmo:yellow-flower Mexican-poppy:Mexican prickly-poppy:mexicansk pigvalmue:papoila-mexicana:papoula-de-espinho:papoula-do-México:pavot épineux:Mexican prickly-poppy:yellow-flower Mexican-poppy:Mexican prickly-poppy:gemeiner Stachelmohn:gul taggvallmo:Bermuda thistle:yellow thistle:yellow-flower Mexican-poppy:yellow thistle:蓟罂粟 (ji ying su),:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9905,18816-2,Argemone mexicana,Argemone mexicana,18816-2,Species,,,,,,,cardo-santo,:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9906,18816-2,Argemone mexicana,Argemone mexicana,18816-2,Species,,,,,,,chicalote:Mexican-poppy:Mexican-poppy:prickly-poppy:prickly-poppy,:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9907,18816-2,Argemone mexicana,Argemone mexicana,18816-2,Species,,,,,,,Mexican thistle:Mexican thistle,:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9908,18816-2,Argemone mexicana,Argemone mexicana,18816-2,Species,,,,,,,papavero del Messico,:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9909,18816-2,Argemone mexicana,Argemone mexicana,18816-2,Species,,,,,,,"pigvalmue, mexicansk pigvalmue",:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9910,18816-2,Argemone mexicana,Argemone mexicana,18816-2,Species,,,,,,,Stachelmohn,:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9925,328148-2,Arisaema,nan,nan,Genus,,,,,,,,:Cornell CALS::CPCS toxic:::::
9926,30005968-2,Asclepias,nan,nan,Genus,,,,,,,,:Cornell CALS::CPCS toxic:UCANR Toxic::::
9928,330028-2,Astragalus,nan,nan,Genus,,,,,,,,:Cornell CALS::CPCS toxic:::::
9929,814358-1,Atropa bella-donna,Atropa bella-donna,814358-1,Species,,,,,,,beladama:belladona:belladonna:galnebær:morelle furieuse:deadly-nightshade:Tollkirsche:ベラドンナ (beradonna):벨라돈나풀 (belradonnapul):белладонна красавка  (belladonna krasavka),:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke):TPPT:WEP (Wiersema 2013)
9930,814358-1,Atropa bella-donna,Atropa bella-donna,814358-1,Species,,,,,,,deadly-nightshade,:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke):TPPT:WEP (Wiersema 2013)
9933,30043511-2,Brassica,nan,nan,Genus,,,,,,,,:Cornell CALS:CPCS nontoxic::::::
9934,42867-2,Caltha palustris,Caltha palustris,42867-2,Species,,,,,,,"bright, meadow-bright:cowflock:engkabbeleje:kabbleka:kingcup:marsh-marigold:marsh-marigold:meadow-bright",:Cornell CALS::CPCS toxic:UCANR Toxic:::TPPT:WEP (Wiersema 2013)
9935,42867-2,Caltha palustris,Caltha palustris,42867-2,Species,,,,,,,cowslip,:Cornell CALS::CPCS toxic:UCANR Toxic:::TPPT:WEP (Wiersema 2013)
9938,306087-2,Cannabis sativa,Cannabis sativa,306087-2,Species,,,,,,,almindelig hamp:canapa:chènevis chanvre:almindelig hamp:hamp:hampa:hennep:kender:kenevir:konope setà:(al-qnab al-handy) القنب الهند:大麻 (dama):κάνναβις (kánnavis):(cannabus) ַקנַּבֹו:(cannabus tarbuti) ַקנַּבֹוסַתרבות:アサ (asa):삼 (sam):конопля посевная  (konoplâ posevnaâ),:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9939,306087-2,Cannabis sativa,Cannabis sativa,306087-2,Species,,,,,,,bhang:chanvre d'Inde:chanvre indien:ganja:grifa:hachís:indisk hamp:indisk hampa:Indian hemp:indischer Hanf:indisk hamp:indisk hampa:maconha:mariguana:marihuana:marijuana,:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9940,306087-2,Cannabis sativa,Cannabis sativa,306087-2,Species,,,,,,,cáñamo:cânhamo:chanvre:Hanf,:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9941,306087-2,Cannabis sativa,Cannabis sativa,306087-2,Species,,,,,,,indischer Hanf,:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9942,306087-2,Cannabis sativa,Cannabis sativa,306087-2,Species,,,,,,,Haschisch,:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9943,306087-2,Cannabis sativa,Cannabis sativa,306087-2,Species,,,,,,,hemp,:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9944,306087-2,Cannabis sativa,Cannabis sativa,306087-2,Species,,,,,,,konopie siewne,:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9945,191626-1,Centaurea solstitialis,Centaurea solstitialis,191626-1,Species,,,,,,,"Barnaby's thistle, St. Barnaby's thistle:Barneby star thistle:centáurea-amarela-estrelado:centaurée du solstice:yellow centaury:Sonnwend-Flockenblume:geeldissel:tornet knopurt:Sonnwend-Flockenblume:St. Barnaby's thistle:Barneby star thistle:golden star thistle:stjärnklint:Barneby star thistle:golden star thistle:St. Barnaby's thistle:tornet knopurt:yellow centaury",:Cornell CALS::CPCS toxic:::::WEP (Wiersema 2013)
9946,191626-1,Centaurea solstitialis,Centaurea solstitialis,191626-1,Species,,,,,,,golden star thistle,:Cornell CALS::CPCS toxic:::::WEP (Wiersema 2013)
9947,303589-2,Chelidonium majus,Chelidonium majus,303589-2,Species,,,,,,,celandine:great celandine:greater celandine:great celandine:greater celandine:Schöllkraut:skelört:svaleurt:白屈菜 (bai qu cai):クサノオウ (kusanoō):чистотел большой  (čistotel bol'šoj),:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9948,303589-2,Chelidonium majus,Chelidonium majus,303589-2,Species,,,,,,,nipplewort,:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9949,55993-2,Chenopodium album,Chenopodium album,55993-2,Species,,,,,,,ançarinha-branca:anserina-branca:ansérine blanche:armuelle:cenizo blanco:erva-formigueira-branca:falsa-erva-de-Santa-Maria:giant fat-hen:hvidmelet gæsefod:weißer Gänsefuß:white goosefoot:giant fat-hen:hvidmelet gæsefod:lamb's-quarters:svinmålla:weißer Gänsefuß:white goosefoot:(dhinab al-kab) ذنب الكل:(rukab al-gamal) ركب الجم:(shawlah) شول:藜 (li):イワアカザ (iwa-akaza):ヤマアカザ (yamā-akaza),:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9950,55993-2,Chenopodium album,Chenopodium album,55993-2,Species,,,,,,,giant fat-hen,:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9951,55993-2,Chenopodium album,Chenopodium album,55993-2,Species,,,,,,,"quarters, lamb's-quarters",:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
9952,39823-1,Cicuta,nan,nan,Genus,,,,,,,,:Cornell CALS:::UCANR Toxic::::
9953,840668-1,Conium maculatum,Conium maculatum,840668-1,Species,,,,,,,"almindelig skarntyde:cicuta:cigüe maculée:encaje cimarrón:carrot-fern:funcho-selvagem:grande ciguë:poison-hemlock:spotted-hemlock:odört:panalillo:spotted-parsley:perejil de chucho:perejil de monte:skarntyde, almindelig skarntyde:spotted-hemlock:spotted-parsley:zanahoria silvestre",:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke):TPPT:WEP (Wiersema 2013)
9954,840668-1,Conium maculatum,Conium maculatum,840668-1,Species,,,,,,,carrot-fern,:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke):TPPT:WEP (Wiersema 2013)
9955,840668-1,Conium maculatum,Conium maculatum,840668-1,Species,,,,,,,hemlock,:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke):TPPT:WEP (Wiersema 2013)
9956,840668-1,Conium maculatum,Conium maculatum,840668-1,Species,,,,,,,poison-hemlock,:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke):TPPT:WEP (Wiersema 2013)
9977,487281-1,Coronilla varia,Coronilla varia,487281-1,Species,,,,,,,"arvejilla morada:axseed:bunte Kronwicke:coronilla morada:coronille bigarrée:coronille variée:crown-vetch:giftig kronvikke:giftig kronvikke:Kronwicke, bunte Kronwicke:rosenkronill:trailing crown-vetch:crown-vetch:trailing crown-vetch",:Cornell CALS::CPCS toxic::::TPPT:WEP (Wiersema 2013)
9978,487281-1,Coronilla varia,Coronilla varia,487281-1,Species,,,,,,,trailing crown-vetch,:Cornell CALS::CPCS toxic::::TPPT:WEP (Wiersema 2013)
9979,487281-1,Coronilla varia,Coronilla varia,487281-1,Species,,,,,,,ruda inglesa,:Cornell CALS::CPCS toxic::::TPPT:WEP (Wiersema 2013)
9980,487281-1,Coronilla varia,Coronilla varia,487281-1,Species,,,,,,,вязель пестрый  (vâzel' pestryj),:Cornell CALS::CPCS toxic::::TPPT:WEP (Wiersema 2013)
9981,533487-1,Convallaria majalis,Convallaria majalis,533487-1,Species,,,,,,,liljekonval:liljekonvalj:lily-of-the-valley:muguet:lily-of-the-valley:铃兰 (ling lan),:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke):TPPT:WEP (Wiersema 2013)
9982,30024583-2,Daphne,nan,nan,Genus,,,,,,,,:Cornell CALS::CPCS toxic:UCANR Toxic::::
9983,30002853-2,Datura,nan,nan,Genus,,,,,,,,:Cornell CALS::CPCS toxic:::::
9986,328251-2,Delphinium,nan,nan,Genus,,,,,,,,:Cornell CALS::CPCS toxic:UCANR Toxic::::
9989,331552-2,Dicentra,nan,nan,Genus,,,,,,,,:Cornell CALS:::UCANR Toxic::::
9990,300073-2,Equisetum arvense,Equisetum arvense,300073-2,Species,,,,,,,agerpadderok:åkerfräken:Akerschachtelhalm:cola de caballo:common horsetail:field horsetail:common horsetail:field horsetail:prêle des champs:スギナ (sugi-na):ツクシ (tsukushi),:Cornell CALS:::::USDA(Duke):TPPT:WEP (Wiersema 2013)
9991,69621-2,Cronquistianthus bulliferus,Cronquistianthus bulliferus,69621-2,Species,,,,,,,,:Cornell CALS:::::::
9992,327729-2,Euphorbia,nan,nan,Genus,,,,,,,,:Cornell CALS::CPCS toxic:UCANR Toxic::::
9994,30010036-2,Festuca rubra,Festuca rubra,30010036-2,Species,,,,,,,ängssvingel:beemdlangbloem:English-bluegrass:cañuela de los prados:çayır yumağı:réti csenkesz:English-bluegrass:engsvingel:meadow fescue:festuca-dos-prados:festuca pratense:fétuque des prés:kostřava lučni:kostrzewa łąkowa:meadow fescue:réti csenkesz:Wiesenschwingel:çayır yumağı:草甸羊茅 (cao dian yang mao):ヒロハウシノケグサ (hirohaushinokegusa):ヒロハノウシノケグサ (hiroha-nō-shi-no-kegusa):넓은김의털 (neoleungimuiteol):овсяница луговая  (ovsânica lugovaâ),:Cornell CALS:::::::WEP (Wiersema 2013)
9995,30010036-2,Festuca rubra,Festuca rubra,30010036-2,Species,,,,,,,cañuela roja:veres csenkesz:red fescue:festuca-encarnada:festuca rossa:fétuque rouge:fétuque rouge traçante:kırmızı yumak:kostřava červenà:kostrzewa czerwona:rød svingel:rödsvingel:rødsvingel:roodzwenkgras:Rotschwingel:rød svingel:veres csenkesz:kırmızı yumak:紫羊茅 (zi yang mao):オオウシノケグサ (ōushinokegusa):왕김의털 (wanggimuiteol):овсяница красная  (ovsânica krasnaâ),:Cornell CALS:::::::WEP (Wiersema 2013)
9996,30010036-2,Festuca rubra,Festuca rubra,30010036-2,Species,,,,,,,Chewing's fescue,:Cornell CALS:::::::WEP (Wiersema 2013)
9998,30010036-2,Festuca rubra,Festuca rubra,30010036-2,Species,,,,,,,red fescue,:Cornell CALS:::::::WEP (Wiersema 2013)
9999,60448812-2,Gelsemium sempervirens,Gelsemium sempervirens,60448812-2,Species,,,,,,,"Carolina-jasmine:evening trumpet-flower:evening trumpet-flower:gelsemium:giftjasmin:Carolina-jasmine:jasminrod, vellugtende jasminrod:yellow-jessamine:evening trumpet-flower:vellugtende jasminrod:yellow-jessamine",:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke)::WEP (Wiersema 2013)
10000,60448812-2,Gelsemium sempervirens,Gelsemium sempervirens,60448812-2,Species,,,,,,,woodbine,:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke)::WEP (Wiersema 2013)
10019,331625-2,Glechoma,nan,nan,Genus,,,,,,,,:Cornell CALS:::::::
10020,60448682-2,Halogeton glomeratus,Halogeton glomeratus,60448682-2,Species,,,,,,,halogeton:salt-lover:nøglehalogeton:salt-lover:盐生草 (yan sheng cao),:Cornell CALS:::::::WEP (Wiersema 2013)
10021,711348-1,Helleborus niger,Helleborus niger,711348-1,Species,,,,,,,"almindelig julerose:black helleborus:Christmas-rose:Christrose:hellébore noire:julerose, almindelig julerose:julros:schwarze Nieswurz:Christmas-rose:rose de Noël:schwarze Nieswurz",:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
10022,711348-1,Helleborus niger,Helleborus niger,711348-1,Species,,,,,,,"helleborus, black helleborus",:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
10027,433719-1,Hypericum perforatum,Hypericum perforatum,433719-1,Species,,,,,,,äkta johannesört:Johanneskruid:Tüpfel-Johanniskraut:perforate St. John's-wort:St. John's-wort:Klamathweed:perforate St. John's-wort:prikbladet perikon:prikbladet perikon:racecourseweed:perforate St. John's-wort:St. John's-wort:Tiptonweed:Tüpfel-Hartheu:Tüpfel-Johanniskraut:perforate St. John's-wort:St. John's-wort:贯叶连翘 (guan ye lian qiao):セイヨウオトギリ (seiyō-otogiri):зверобой обыкновенный  (zveroboj obyknovennyj):зверобой продырявленный  (zveroboj prodyrâvlennyj),:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
10028,433719-1,Hypericum perforatum,Hypericum perforatum,433719-1,Species,,,,,,,"Hartheu, Tüpfel-Hartheu",:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
10029,433719-1,Hypericum perforatum,Hypericum perforatum,433719-1,Species,,,,,,,"johannesört, äkta johannesört",:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
10036,326330-2,Iris,nan,nan,Genus,,,,,,,common iris:deutsche Schwertlilie:German iris:haveiris:common iris:German iris:deutsche Schwertlilie,:Cornell CALS::CPCS toxic:UCANR Toxic::::WEP (Wiersema 2013)
10037,326330-2,Iris,nan,nan,Genus,,,,,,,Florentine iris:florentinische Schwertlilie:Florentine iris:iris de Florence:iris-florentino:lirio blanco:lirio de Florencia:lírio-florentino:lírio-germânico:lírio-teutônico:orris-root:orris-root:florentinische Schwertlilie:violrod,:Cornell CALS::CPCS toxic:UCANR Toxic::::WEP (Wiersema 2013)
10042,501428-1,Laburnum anagyroides,Laburnum anagyroides,501428-1,Species,,,,,,,"abanoz, yalancı abanoz:almindelig guldregn:aranyeső:aubour:golden-chain:common laburnum:cytise faux ébénier:gewöhnlicher Goldregen:golden-chain:gewöhnlicher Goldregen:goudenregen:almindelig guldregn:guldregn:kystgullregen:common laburnum:maggiociondolo:štědřenec zlatý déšť:sydgullregn:yalancı abanoz:Złotokap zwyczajny:(ābanuz kadhb) أبنوز كاذ:(laburnum tzachnani) לבורנוםַצחננ:キングサリ (kingusari):эолотой дождь обыкновенный  (èolotoj dožd' obyknovennyj)",:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke):TPPT:WEP (Wiersema 2013)
10043,501428-1,Laburnum anagyroides,Laburnum anagyroides,501428-1,Species,,,,,,,"chaintree, golden-chaintree:golden-chaintree",:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke):TPPT:WEP (Wiersema 2013)
10044,501428-1,Laburnum anagyroides,Laburnum anagyroides,501428-1,Species,,,,,,,laburnum,:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke):TPPT:WEP (Wiersema 2013)
10045,501428-1,Laburnum anagyroides,Laburnum anagyroides,501428-1,Species,,,,,,,peatree,:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke):TPPT:WEP (Wiersema 2013)
10046,325686-2,Lantana camara,Lantana camara,325686-2,Species,,,,,,,common lantana:kamara lantana:common lantana:kamara lantana,:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke):TPPT:WEP (Wiersema 2013)
10047,30005985-2,Lathyrus,nan,nan,Genus,,,,,,,,:Cornell CALS::CPCS toxic:::::
10050,331004-1,Leucothoe axillaris,Leucothoe axillaris,331004-1,Species,,,,,,,,:Cornell CALS:::::::
10051,544772-1,Linum usitatissimum,Linum usitatissimum,544772-1,Species,,,,,,,almindelig hør:Flachs:flax:almindelig hør:hør:keten:len:len pospolity:len užitkový:len zwyczajny:lijnzaad:lin:linhaça:linho:lino:linseed:Saatlein:vlas:(kitan) كتا:亚麻 (ya ma):διναρόσπορος (dinarósporos):λιναρι (linari):(pishta) פשת:(pishta tarbutit) פשתהַַתְרּבּוִתי:アマ (ama):아마 (ama):лен культурный  (len kul'turnyj):лен обыкновенный  (len obyknovennyj),:Cornell CALS:::UCANR Toxic::USDA(Duke):TPPT:WEP (Wiersema 2013)
10052,30001605-2,Lobelia,nan,nan,Genus,,,,,,,,:Cornell CALS::CPCS toxic:UCANR Toxic::::
10053,30179739-2,Lotus corniculatus,Lotus corniculatus,30179739-2,Species,,,,,,,"almindelig kællingetand:bird's-foot trefoil:common bird's-foot trefoil:sarı çiçekli gazal boynuzu:çiçekli gazal boynuzu, sarı çiçekli gazal boynuzu:common bird's-foot trefoil:cornichão:cuernecillo:cuernecillo del campo:bird's-foot trefoil:common bird's-foot trefoil:sarı çiçekli gazal boynuzu:ginestrino:almindelig kællingetand:käringtand:komonica zwyczajna:lotier corniculé:rolklaver:sarı çiçekli gazal boynuzu:szarvaskerep:tiriltunge:bird's-foot trefoil:common bird's-foot trefoil:百脉根 (bai mai gen):λωτός ο κερατιοφόρος (lotós o keratiofóros):ミヤコグサ (miyakogusa):лядвенец рогатый  (lâdvenec rogatyj)",:Cornell CALS:::::::WEP (Wiersema 2013)
10054,30179739-2,Lotus corniculatus,Lotus corniculatus,30179739-2,Species,,,,,,,cornette,:Cornell CALS:::::::WEP (Wiersema 2013)
10055,30179739-2,Lotus corniculatus,Lotus corniculatus,30179739-2,Species,,,,,,,Hornklee,:Cornell CALS:::::::WEP (Wiersema 2013)
10056,30179739-2,Lotus corniculatus,Lotus corniculatus,30179739-2,Species,,,,,,,štírovnik ružkatý,:Cornell CALS:::::::WEP (Wiersema 2013)
10057,60436956-2,Lupinus,nan,nan,Genus,,,,,,,regnbue lupin:Russell lupin:regnbågslupin:regnbue lupin:Russell lupin,:Cornell CALS::CPCS toxic:UCANR Toxic::::WEP (Wiersema 2013)
10059,30429323-2,Melilotus officinalis,Melilotus officinalis,30429323-2,Species,,,,,,,akkerhonigklaver:yellow sweet-clover:common melilot:cornilla real:echter Steinklee:field melilot:gelber Steinklee:gul sötväppling:komonice lékařskà:legesteinkløver:markstenkløver:common melilot:field melilot:ribbed melilot:yellow melilot:mélilot jaune:mélilot officinal:meliloto amarillo:meliloto giallo:nostrzyk zółty:orvosi somkóró:ribbed melilot:sarı taş yoncası:orvosi somkóró:gul sötväppling:echter Steinklee:gelber Steinklee:sarı taş yoncası:trébol de olor:trevo-cheiroso:yellow melilot:yellow sweet-clover:sarı taş yoncası:草木犀 (cao mu xi):セイヨウエビラハギ (seiyō-ebira-hagi):달콤한클로버 (dalkomhankeulrobeo):донник желтый  (donnik želtyj):донник лекарственный  (donnik lekarstvennyj),:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
10060,30429323-2,Melilotus officinalis,Melilotus officinalis,30429323-2,Species,,,,,,,yellow sweet-clover,:Cornell CALS::CPCS toxic:::USDA(Duke):TPPT:WEP (Wiersema 2013)
10061,581040-1,Menispermum canadense,Menispermum canadense,581040-1,Species,,,,,,,"amerikansk månfröranka:canadisk månefrø:månefrø, canadisk månefrø:månfröranka, amerikansk månfröranka:moonseed:parilla, yellow parilla:yellow parilla",:Cornell CALS:::::USDA(Duke)::WEP (Wiersema 2013)
10062,325974-2,Nicotiana,nan,nan,Genus,,,,,,,"blomstertobak:niederer Zier-Tabak:purpur tobak:tabac d'ornement:niederer Zier-Tabak:Sander-Tabak:purpur tobak:Zier-Tabak, niederer Zier-Tabak",:Cornell CALS::CPCS toxic:::::WEP (Wiersema 2013)
10063,325974-2,Nicotiana,nan,nan,Genus,,,,,,,Sander-Tabak,:Cornell CALS::CPCS toxic:::::WEP (Wiersema 2013)
10066,281589-2,Onoclea sensibilis,Onoclea sensibilis,281589-2,Species,,,,,,,druebregne,:Cornell CALS:CPCS nontoxic::::::WEP (Wiersema 2013)
10067,281589-2,Onoclea sensibilis,Onoclea sensibilis,281589-2,Species,,,,,,,sensitive fern:onoclée sensible:pärlbräken:sensitive fern,:Cornell CALS:CPCS nontoxic::::::WEP (Wiersema 2013)
10068,539600-1,Ornithogalum umbellatum,Ornithogalum umbellatum,539600-1,Species,,,,,,,garden star-of-Bethlehem:Stern von Bethlehem:dame de onze heures:Dolden-Milchstern:garden star-of-Bethlehem:kostfuglemælk:Dolden-Milchstern:morgonstjärna:nap-at-noon:nap-at-noon:sleepy-Dick:garden star-of-Bethlehem,:Cornell CALS:::::USDA(Duke):TPPT:WEP (Wiersema 2013)
10069,539600-1,Ornithogalum umbellatum,Ornithogalum umbellatum,539600-1,Species,,,,,,,"Dick, sleepy-Dick",:Cornell CALS:::::USDA(Duke):TPPT:WEP (Wiersema 2013)
10070,539600-1,Ornithogalum umbellatum,Ornithogalum umbellatum,539600-1,Species,,,,,,,Stern von Bethlehem,:Cornell CALS:::::USDA(Duke):TPPT:WEP (Wiersema 2013)
10071,30000445-2,Papaver,nan,nan,Genus,,,,,,,stor bergvallmo:stor bergvallmo,:Cornell CALS:::UCANR Toxic::::WEP (Wiersema 2013)
10072,323290-2,Phytolacca americana,Phytolacca americana,323290-2,Species,,,,,,,amerikansk kermesbær:amerikanskt kermesbär:fitolaca:hierba carmín:amerikansk kermesbær:amerikanskt kermesbär:Kermesbeere:poke:Virginia poke:pokeberry:pokeroot:pokeweed:raisin d'Amérique:Virginia poke:垂序商陆 (chui xu shang lu),:Cornell CALS::CPCS toxic:UCANR Toxic::USDA(Duke):TPPT:WEP (Wiersema 2013)
