Plant_number,Latin_plant_name,German_plant_name,English_plant_name,Plant_genus,Plant_family,Global_spatial_distribution,Swiss_frequency,Swiss_appearance,Vegetation_type,Blooming_period,Toxic_plant_part,Human_toxicity,Animal_toxicity,Invasive_foreign,Garden_plant,Agricultural_plant
P127,"Papaver alpinum aggr. (P. aurantacum Loisel., P. ocidentale (Markgr.) H. E. Hess & Landolt and P. sendtneri Hayek)",Alpen-Mohn,Dwarf poppy,Papaver,Papaveraceae,Alps,2,domestic,Mountain plant,Jul.,"Whole plant, highest concentrations in capsule, latex (without seed)",toxic (unknown strength),,,,
P128,Glaucium flavum Crantz,Gelber Hornmohn,Yellow hornet poppy,Glaucium,Papaveraceae,Western Europe,0.3,domestic,Pioneer plant,Jun.-Aug.,Whole plant,toxic,,,,
P129,Chelidonium majus L.,Schoellkraut,Greater celandine,Chelidonium,Papaveraceae,Europe and Asia,54,domestic,Weed and ruderal plant,Apr.-Sep.,Whole plant,strong toxic,strong toxic,,,
P130,Corydalis cava (L.) Schweigg & Koerte,Hohlknolliger Lerchensporn,Hollow root,Corydalis,Papaveraceae,Central Europe,35,domestic,Forest plant,Mar.-Apr.,"Whole plant, highest concentrations in bulb",toxic,,,,
P131,Corydalis intermedia (L.) Merat,Mittlerer Lerchensporn,Fumewort,Corydalis,Papaveraceae,Europe,12,domestic,Forest plant,Mar.-May,"Whole plant, highest concentrations in bulb",toxic,,,,
P132,Corydalis solida (L.) Clairv.,Festknolliger Lerchensporn,Fumewort,Corydalis,Papaveraceae,Europe,6,domestic,Forest plant,Mar.-May,"Whole plant, highest concentrations in bulb",toxic,,,,
P133,Corydalis lutea (L.) DC.,Gelber Lerchensporn,Common corydalis,Corydalis,Papaveraceae,Alps,21,domestic,Pioneer plant,Mar.-Sep.,"Whole plant, highest concentrations in bulb",toxic,,,,
P134,Corydalis alba (Mill.) Mansf.,Blassgelber Lerchensporn,White common corydalis,Corydalis,Papaveraceae,Alps,occasionally introduced ,alien,Ornamental garden plant,Jun.-Sep.,"Whole plant, highest concentrations in bulb",toxic,,,yes,
P135,Fumaria officinalis L. s.l.,Echter Erdrauch,Common fumatory,Fumaria,Papaveraceae,Europe and Asia,48,domestic,Weed and ruderal plant,May-Sep.,Aerial part (or whole plant),toxic,,,,
P136,Fumaria capreolata L.,Klimmender Erdrauch,White ramping fumitory,Fumaria,Papaveraceae,Mediterranean,3,domestic,Weed and ruderal plant,May-Sep.,Aerial part (or whole plant),toxic,,,,
P137,Fumaria schleicheri Soy.-Will.,Schleichers Erdrauch,,Fumaria,Papaveraceae,Eastern Europe and Western Asia,4,domestic,Weed and ruderal plant,May-Sep.,Aerial part (or whole plant),toxic,,,,
P138,Argemone mexicana L.,Stachelmohn,Prickly poppy,Argemone,Papaveraceae,America,0,alien,Ornamental garden plant,Jul.-Sep.,Whole plant,toxic,,,yes,
P139,Eschscholzia californica Cham.,Goldmohn (Schlafmuetzchen),California poppy,Eschscholzia,Papaveraceae,North America,0,alien,Ornamental garden plant,Jun.-Sep.,Aerial part (or whole plant),toxic,,,yes,
P140,Lamprocapnos spectabilitis (L.) Fukuhara,Traenendes Herz,Show dicentra,Lamprocapnos,Papaveraceae,Eastern Asia,0,alien,Ornamental garden plant,Apr.-May,"Whole plant, highest concentrations in root",toxic,,,yes,
P141,Buxus sempervirens L.,Buchs,Common box tree,Buxus,Buxaceae,Southern Europe and Western Asia,18,domestic,Forest plant,Mar.-Apr.,Whole plant,strong toxic,strong toxic,,,
P142,Pachysandra terminalis Sieb. et Zucc.,Ysander (Dickmaennchen),Japanese Spurge,Pachysandre,Buxaceae,Japan,0,alien,Ornamental garden plant,Apr.-May,Whole plant,toxic,,,yes,
P143,Paeonia officinalis L.,Pfingstrose,Garden Peony,Paeonia,Paeoniaceae,Southern Europe,0.7,domestic,Forest plant,May-Jun.,Whole plant,toxic,,,yes,
P144,Crassula helmsii (Kirk) Cockayne,Nadelkraut,Swamp stonecrop,Crassula,Crassulaceae,Australia,rarely introduced,alien,Fresh water plant,Jul.-Sep.,,nontoxic,,yes (forbidden CH),,
P145,Sedum acre L.,Scharfer Mauerpfeffer,Goldmoss stonecrop,Sedum,Crassulaceae,Europe,49,domestic,Pioneer plant,Jun.-Jul.,"Fruit, leaf (or whole plant)",toxic,toxic,,,
P146,Sedum album L.,Weisser Mauerpfeffer,White stonecrop,Sedum,Crassulaceae,Mediterranean,69,domestic,Pioneer plant,Jun.-Sep.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,
P147,Sedum alpestre Vill.,Alpen-Mauerpfeffer,Alpine stonecrop,Sedum,Crassulaceae,Southern and Central Europe,41,domestic,Mountain plant,Jul.-Aug.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,
P148,Sedum anacampseros L.,Rundblaettriges Fettkraut,Love-restorer,Sedum,Crassulaceae,Southern Europe,4,domestic,Mountain plant,Jul.-Sep.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,
P149,Sedum annuum L.,Einjaehriger Mauerpfeffer,Annual stonecrop,Sedum,Crassulaceae,Alps,24,domestic,Mountain plant,Jul.-Aug.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,
P150,Sedum atratum L.,Dunkler Mauerpfeffer,Dark stonecrop,Sedum,Crassulaceae,Southern and Central Europe,48,domestic,Mountain plant,Jul.-Aug.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,
P151,Sedum cepaea L.,Rispiges Fettkraut,Pink stonecrop,Sedum,Crassulaceae,Southern Europe,3,domestic,Pioneer plant,Jun.-Jul.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,
P152,Sedum dasyphyllum L.,Dickblaettriger Mauerpfeffer,Thick-leaved stonecrop,Sedum,Crassulaceae,Mediterranean,47,domestic,Pioneer plant,May-Aug.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,
P153,Sedum hispanicum L.,Spanischer Mauerpfeffer,Spanish stonecrop,Sedum,Crassulaceae,Mediterranean,18,domestic,Pioneer plant,Jul.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,
P154,Sedum rubens L.,Roetlicher Mauerpfeffer,Red stonecrop,Sedum,Crassulaceae,Mediterranean,1.5,domestic,Pioneer plant,Jun.-Jul.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,
P155,"Sedum rupestre aggr. (S. montanum Songeon & E. Perrier, S. rupestre L., S. anopetalum DC. and S. sediforme (Jacq.) Pau)",Felsen-Mauerpfeffer,Blue stonecrop,Sedum,Crassulaceae,Mediterranean,20,domestic,Xerophyte,Jul.-Sep.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,
P156,Sedum sarmentosum Bunge,Kriechender Mauerpfeffer,Sringy stonecrop,Sedum,Crassulaceae,Eastern Asia,2,alien,Ornamental garden plant,Jun.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,yes,
P157,Sedum sexangulare L.,Milder Mauerpfeffer,Tasteless stonecrop,Sedum,Crassulaceae,Europe,52,domestic,Pioneer plant,Jun.-Aug.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,
P158,"Sedum telephium L. s.l. (S. telephium L. s.str., S. telephium subsp. fabaria Kirschl. and S. telephium subsp. maximum (L.) Kirschl.)",Riesen-Fettkraut,Orpine,Sedum,Crassulaceae,Europe,35,domestic,Pioneer plant,Jun.-Sep.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,
P159,Sedum villosum L.,Moor-Mauerpfeffer,Hairy stonecrop,Sedum,Crassulaceae,Europe,9,domestic,Shore- and marsh plant,Jun.-Jul.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,
P160,Sedum spurium M. Bieb.,Kaukasus-Fettkraut,Caucasian stonecrop,Sedum,Crassulaceae,Western Asia,21,alien,Weed and ruderal plant,Jun.-Jul.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,yes,,
P161,Sedum stoloniferum S. G. Gmel,Auslaeuferbildendes Fettkraut,Stolon stonecrop,Sedum,Crassulaceae,Asia,occasionally introduced ,alien,Ornamental garden plant,,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,yes,yes,
P162,Myriophyllum aquaticum (Vell.) Verdc.,Brasilianisches Tausendblatt,Parrot's feather,Myriophyllum,Haloragaceae,South America,rarely introduced,alien,Fresh water plant,Jul.-Sep.,,unknown,,yes (forbidden EU),,
P163,Fagus sylvatica L.,Rot-Buche,Common Beech,Fagus,Fagaceae,Europe,55,domestic,Forest plant,Apr.-May,"Fruit, wood",weak toxic,weak toxic,,,
P164,Bryonia dioica Jacq.,Zweihaeusige Zaunruebe,White or red bryony,Bryonia,Cucurbitaceae,Western Europe,12,domestic,Forest plant,Jun.-Jul.,"Whole plant, highest concentrations in fruit, root",strong toxic,very strong toxic,,,
P165,Bryonia alba L.,Weisse Zaunruebe,White bryony,Bryonia,Cucurbitaceae,Eastern Europe and Western Asia,0.5,domestic,Weed and ruderal plant,Jun.-Jul.,"Whole plant, highest concentrations in fruit, root",strong toxic,very strong toxic,,,
P166,Cucurbita pepo L.,"Zucchini, Kuerbis",Squash,Cucurbita,Cucurbitaceae,global,agriculture,alien,Agricultural plant,Jun.-Sep.,Fruit (or whole plant),very strong toxic (only wild growing plants),,,,yes
P167,Cucurbita maxima Duchesne,Hokkaidokuerbise,Squash,Cucurbita,Cucurbitaceae,global,agriculture,domestic,Agricultural plant,Jun.-Sep.,Whole plant,strong toxic (only wild growing plants),,,,yes
P168,Sicyos angulatus L.,Haargurke,Star-cucumber,Sicyos,Cucurbitaceae,North America,rarely introduced,alien,Ornamental garden plant,Jul.-Sep.,,unknown,,yes,yes,
P169,Echinocystis lobata (Michx.) Torr. & A. Gray,Stachelgurke,Wild cucumber,Echinocystis,Cucurbitaceae,North America,rarely introduced,alien,Ornamental garden plant,,"Fruit, root",toxic (unknown strength),,yes,yes,
P170,Cucumis sativus L.,Salatgurke,Cucumber,Cucumis,Cucurbitaceae,Europe,agriculture,domestic,Agricultural plant,Jun.-Aug.,Whole plant,toxic (only wild growing plants),,,,yes
P171,Ecballium elaterium (L.) A. Rich.,Spritzgurke,Squirting cucumber,Ecballium,Cucurbitaceae,Mediterranean,0,domestic,Xerophyte,,Aerial part (or whole plant),strong toxic,,,,
P172,Juglans regia L.,Walnussbaum,Walnut,Juglans,Juglandaceae,South-eastern Europe and Asia,50,domestic,Ornamental garden plant,May,Whole plant,allergenic,weak toxic,,yes,
P173,Juglans nigra L.,Schwarznussbaum,Black walnut,Juglans,Juglandaceae,North America,rarely introduced,alien,Ornamental garden plant,Jun.,Whole plant,allergenic,strong toxic (horses),,yes,
P174,Quercus ilex L.,Stein-Eiche,Evergreen oak,Quercus,Fagaceae,Mediterranean,1.5,domestic,Ornamental garden plant,Apr.-May,"Bark, fruit, leaf",weak toxic,toxic,,yes,
P175,Quercus cerris L.,Zerr-Eiche,Turkey oak,Quercus,Fagaceae,South-eastern Europe,2,domestic,Forest plant,May,"Bark, fruit, leaf",weak toxic,toxic,,,
P176,Quercus pubescens Willd.,Flaum-Eiche,Northern red oak,Quercus,Fagaceae,Southern Europe,19,domestic,Forest plant,Apr.-May,"Bark, fruit, leaf",weak toxic,toxic,,,
P177,Quercus robur L.,Stiel-Eiche,English oak,Quercus,Fagaceae,Europe,46,domestic,Forest plant,Apr.-May,"Bark, fruit, leaf",weak toxic,toxic,,,
P178,Quercus petraea Liebl.,Trauben-Eiche,Sessile oak,Quercus,Fagaceae,Europe,42,domestic,Forest plant,Apr.-May,"Bark, fruit, leaf",weak toxic,toxic,,,
P179,Quercus rubra L.,Rot-Eiche,Champion oak,Quercus,Fagaceae,North America,occasionally introduced ,alien,Ornamental garden plant,May,"Bark, fruit, leaf",weak toxic,toxic,,yes,
P180,Quercus palustris Muencch.,Sumpf-Eiche,Pin oak,Quercus,Fagaceae,North America,rarely introduced,alien,Ornamental garden plant,May,"Bark, fruit, leaf",weak toxic,toxic,,yes,
P181,Humulus lupulus L.,Hopfen,Hop,Humulus,Cannabaceae,global,46,domestic,Forest plant,Jul.-Aug.,Fruit,weak toxic,,,,
P182,Cannabis sativa L. ,Hanf,Hemp,Cannabis,Cannabaceae,Asia,11,domestic,Ornamental garden plant,Jul.-Aug.,Flowering top of female plant,toxic,toxic,,yes,
P183,Ficus carica L.,Feigenbaum,Common fig,Ficus,Moraceae,Mediterranean,13,alien,Ornamental garden plant,May-Aug.,Leaf (or whole plant),weak toxic,weak toxic,,yes,
P184,Ficus elastica Roxb.,Gummibaum,Rubber fig,Ficus,Moraceae,Asia,rarely introduced,alien,Ornamental garden plant,,Leaf (or whole plant),weak toxic,weak toxic,,yes,
P185,Urtica dioica L.,Grosse Brennessel,Common nettle,Urtica,Urticaceae,global,92,domestic,Weed and ruderal plant,Jun.-Sep.,Leaf,"allergenic, skin-irritating",,,,
P186,Urtica urens L.,Kleine Brennessel,Annual nettle,Urtica,Urticaceae,global,26,domestic,Weed and ruderal plant,Jun.-Sep.,Leaf,allergenic,,,,
P187,Rubus armeniacus Focke,Armenische Brombeere,Himalayan blackberry,Rubus,Rosaceae,Western Asia,occasionally introduced ,alien,Ornamental garden plant,Jun.-Jul.,,nontoxic,,yes,yes,
P188,Cydonia oblonga Mill.,Quittenbaum,Quince,Cydonia,Rosaceae,Western Asia,agriculture,domestic,Agricultural plant,May,Whole plant,weak toxic,,,,yes
P189,Malus sylvestris (L.) Mill.,Holz-Apfelbaum,European crab apple,Malus,Rosaceae,Europe and Western Asia,20,domestic,Forest plant,May,Seed,weak toxic,,,,
P190,Malus domestica Borkh.,Kultur-Apfelbaum,Apple tree,Malus,Rosaceae,Europe and Western Asia,agriculture,domestic,Agricultural plant,May,Seed,weak toxic,,,,yes
P191,Sorbus aucuparia L.,Vogelbeerbaum,Rowan,Sorbus,Rosaceae,Europe and Siberia,80,domestic,Forest plant,May-Jun.,Seed,weak toxic,weak toxic,,,
P192,Cotoneaster integerrimus Medik.,Kahle Steinmispel,Common cotoneaster,Cotoneaster,Rosaceae,Europe and Western Asia,61,domestic,Forest plant,Apr.-May,Whole plant,weak toxic,,,,
P193,Cotoneaster tomentosus Lindl.,Filzige Steinmispel,Woolly cotoneaster,Cotoneaster,Rosaceae,Europe,37,domestic,Forest plant,May-Jul.,Whole plant,weak toxic,,,,
P194,Prunus armeniaca L.,Aprikosenbaum,Apricot tree,Prunus,Rosaceae,Asia,agriculture,domestic,Agricultural plant,Mar.-Apr.,"Fruit, leaf, seed",weak toxic,,,,yes
P195,Prunus dulcis (Mill.) D. A. Webb,Mandelbaum,Almond tree,Prunus,Rosaceae,Asia,agriculture,alien,Agricultural plant,Mar.,"Fruit, leaf, seed",weak toxic,,,,yes
P196,Prunus persica (L.) Batsch,Pfirsichbaum,Peach tree,Prunus,Rosaceae,Asia,agriculture,domestic,Agricultural plant,Mar.-Apr.,"Fruit, leaf, seed",weak toxic,,,,yes
P197,Prunus insititia L.,Pflaumenbaum,Damson plum tree,Prunus,Rosaceae,Asia,agriculture,domestic,Agricultural plant,Apr.,"Fruit, leaf, seed",weak toxic,,,,yes
P198,Prunus domestica L.,Zweitschgenbaum,Plum tree,Prunus,Rosaceae,Asia,agriculture,domestic,Agricultural plant,Apr.,"Fruit, leaf, seed",weak toxic,,,,yes
P199,Prunus avium L.,Suesskirsche,Sweet cherry tree,Prunus,Rosaceae,Europe and Western Asia,agriculture,domestic,Agricultural plant,Apr.-May,"Fruit, leaf, seed",weak toxic,,,,yes
P200,Prunus serotina Ehrh.,Herbst-Traubenkirsche,Black cherry tree,Prunus,Rosaceae,North America,2,alien,Ornamental garden plant,May-Jun.,"Fruit, leaf, seed",toxic,,yes,yes,
P201,Prunus laurocerasus L.,Kirschlorbeer,Common laurel,Prunus,Rosaceae,Southern Europe and Western Asia,14,alien,Ornamental garden plant,Apr.-May,"Fruit, leaf, seed",toxic,strong toxic,yes,yes,
P202,Prunus padus L.,Traubenkirsche,Bird cherry,Prunus,Rosaceae,Europe and Asie,40,domestic,Forest plant,Apr.-Jun.,"Fruit, leaf, seed",weak toxic,,,,
P203,Prunus mahaleb L.,Felsenkirsche,Mahaleb cherr,Prunus,Rosaceae,Mediterranean and Western Asia,18,domestic,Forest plant,Apr.-May,"Fruit, leaf, seed",weak toxic,,,,
P204,Prunus spinosa L.,Schwarzdorn,Blackthorn,Prunus,Rosaceae,Europe and Western Asia,56,domestic,Forest plant,Apr.,"Fruit, leaf, seed",weak toxic,,,,
P205,Amelanchier ovalis Medik.,Gewoehnliche Felsenbirne,Snowy mespilus,Amelanchier,Rosaceae,Europe and Western Asia,20,domestic,Mountain plant,Apr.-May,Whole plant ,weak toxic,,,,
P206,Amelanchier lamarckii F. G. Schroed.,Kupfer-Felsenbirne,Juneberry,Amelanchier,Rosaceae,North America,rarely introduced,alien,Ornamental garden plant,Apr.-May,Whole plant,weak toxic,,,,
P207,Eriobotrya japonica (Thunb.) Lindl.,Japanische Wollmispel,,Eriobotrya,Rosaceae,Asia,rarely introduced,alien,Forest plant,,"Leaf, seed",weak toxic,,,,
P208,Rhamnus saxarilis Jacq.,Felsen-Kreuzdorn,Rock buckthorn,Rhamnus,Rhamnaceae,Southern Europe,2,domestic,Mountain plant,Apr.-May,"Bark, fruit",toxic,,,,
P209,Rhamnus cathartica L.,Purgier-Kreuzdorn,Common buckthorn,Rhamnus,Rhamnaceae,Europe and Asia,53,domestic,Forest plant,May,"Bark, fruit",toxic,,,,
P210,Rhamnus alpina L.,Alpen-Kreuzdorn,Alpine buckthorn,Rhamnus,Rhamnaceae,Southern and Central Europe,24,domestic,Mountain plant,May-Jun.,"Bark, fruit",toxic,,,,
P211,Rhamnus pumila Turra,Zwerg-Kreuzdorn,Dwarf buckthorn,Rhamnus,Rhamnaceae,Southern and Central Europe,43,domestic,Mountain plant,Jun.-Jul.,"Bark, fruit",toxic,,,,
P212,Frangula alnus Mill.,Faulbaum,Alder buckthorn,Frangula,Rhamnaceae,Europe and Siberia,51,domestic,Forest plant,May-Jun.,"Bark, fruit, leaf",toxic,strong toxic,,,
P213,Acacia dealbata Link,Falsche Mimose,Silver wattle,Acacia,Fabaceae,Australia,occasionally introduced ,alien,Ornamental garden plant,Feb.-Mar.,"Bark, leaf, seed",strong toxic,,yes,yes,
P214,Laburnum anagyroides Medik.,Gemeiner Goldregen,Common laburnum,Laburnum,Fabaceae,Southern and Central Europe,11,domestic,Forest plant,May-Jun.,Whole plant,very strong toxic,very strong toxic,,,
P215,Laburnum alpinum (Mill.) Bercht. & J. Presl,Alpen-Goldregen,Alpine laburnum,Laburnum,Fabaceae,Southern and Central Europe,11,domestic,Forest plant,May-Jul.,Whole plant,very strong toxic,,,,
P216,Cytisus scoparius (L.) Link,Besenginster,Scotch broom,Cytisus,Fabaceae,Western Europe,11,domestic,Forest plant,May-Jun.,Whole plant,toxic,toxic,,,
P217,Cytisus nigricans L.,Schwarzwerdender Geissklee,Black broom,Cytisus,Fabaceae,Eastern Europe,7,domestic,Forest plant,Jun.-Jul.,Whole plant,toxic,toxic,,,
P218,Chamaecytisus hirsutus (L.) Link,Behaarter Zwerggingster,Hairy broom,Chamaecytisus,Fabaceae,Southern Europe and Western Asia,2,domestic,Forest plant,Apr.-Jun.,Whole plant,toxic,,,,
P219,Chamaecytisus supinus (L.) Link,Niedriger Zwerggingster,Small broom,Chamaecytisus,Fabaceae,Europe and Western Asia,1.5,domestic,Forest plant,Apr.-Jun.,Whole plant,toxic,,,,
P220,Spartium junceum L.,Binsenginster,Rush broom,Spartium,Fabaceae,Mediterranean,rarely introduced,alien,Ornamental garden plant,May-Sep.,Whole plant,strong toxic,,,yes,
P221,Genista tinctoria L.,Faerber-Ginster,Dyer's greenweed,Genista,Fabaceae,Southern Europe and Western Asia,27,domestic,Xerophyte,Jun.-Aug.,Aerial part (or whole plant),strong toxic,strong toxic,,,
P222,Genista germanica L.,Deutscher Ginster,Cat-whin,Genista,Fabaceae,Europe,17,domestic,Xerophyte,May-Jun.,Whole plant,toxic,toxic,,,
P223,Genista pilosa L.,Behaarter Ginster,,Genista,Fabaceae,Western Europe,3,domestic,Forest plant,Apr.-Jun.,Aerial part (or whole plant),toxic,,,,
P224,Genista radiata (L.) Scop.,Kugel-Ginster,,Genista,Fabaceae,Central Europe,0.7,domestic,Xerophyte,May-Jul.,Aerial part (or whole plant),toxic,,,,
P225,Genista sagittalis L.,Fluegel-Ginster,Winged broom,Genista,Fabaceae,Southern Europe,21,domestic,Xerophyte,May-Jul.,Aerial part (or whole plant),toxic,weak toxic,,,
P226,Ulex europaeus L.,Europaeischer Stechginster,Gorse,Ulex,Fabaceae,Western Europe,1.5,alien,Forest plant,Apr.-May,Fruit,strong toxic,,,,
P227,Lupinus angustifolius L.,Schmalblaettrige Lupine,Narrow-leafed lupin,Lupinus,Fabaceae,Mediterranean,rarely introduced,alien,Weed and ruderal plant,May-Jul.,"Whole plant, highest concentrations in seed",toxic,toxic,,yes,
P228,Lupinus albus L.,Weisse Lupine,White lupin,Lupinus,Fabaceae,Mediterranean,rarely introduced,domestic,Ornamental garden plant,May-Jul.,"Whole plant, highest concentrations in seed",toxic,toxic,,yes,
P229,Lupinus luteus L.,Gelbe Lupine,European yellow lupin,Lupinus,Fabaceae,Mediterranean,0,alien,Ornamental garden plant,Jun.-Sep.,"Whole plant, highest concentrations in seed",toxic,toxic,,yes,
P230,Lupinus polyphyllus Lindl.,Vielblaettrige Lupine,Larg-leafed lupin,Lupinus,Fabaceae,North America,7,alien,Ornamental garden plant,Jun.-Sep.,"Whole plant, highest concentrations in seed",strong toxic,strong toxic,yes,yes,
P231,Robinia pseudoacacia L.,Robinie,False acacia,Robinia,Fabaceae,North America,42,alien,Ornamental garden plant,May-Jun.,"Whole plant, highest concentrations in bark, fruit",strong toxic,strong toxic,yes,yes,
P232,Wisteria sinensis (Sims) Sweet,Glycine (Blauregen),Chineses wisteria,Wisteria,Fabaceae,Asia,rarely introduced,domestic,Ornamental garden plant,Apr.-May,Whole plant,toxic,toxic,,yes,
P233,Wisteria floribunda (Willd.) DC.,Japanische Wisteria,Japanese wisteria,Wisteria,Fabaceae,Japan,0,alien,Ornamental garden plant,Mar.-May,Whole plant,toxic,toxic,,yes,
P234,Galega officinalis L.,Geisskraut,Goat's rue,Galega,Fabaceae,Mediterranean,occasionally introduced ,alien,Meadow plant,Jun.-Jul.,Whole plant,toxic,toxic,yes,yes,
P235,Colutea arborescens L.,Blasenstrauch,Bladder senna,Colutea,Fabaceae,Southern Europe,7,domestic,Forest plant,May,"Leaf, seed",toxic,,,,
P236,Amorpha fruticosa L.,Bastardindigo,False indigo-bush,Amorpha,Fabaceae,North America,occasionally introduced ,alien,Ornamental garden plant,May-Jun.,,cytotoxic,,yes,yes,
P237,Phaseolus vulgaris L.,Garten-Bohne,Common bean,Phaseolus,Fabaceae,Southern and Central Europe,agriculture,domestic,Agricultural plant,Jul.-Aug.,"Fruit, seed",strong toxic,strong toxic,,,yes
P238,Phaseolus coccineus L.,Feuer-Bohne,Runner bean,Phaseolus,Fabaceae,Southern and Central Europe,agriculture,domestic,Agricultural plant,Jul.-Aug.,"Fruit, seed",strong toxic,strong toxic,,,yes
P239,Glycine max (L.) Merr.,Sojabohne,Soybean,Glycine,Fabaceae,Asia,agriculture,domestic,Agricultural plant,Jul.-Aug.,Seed (or whole plant),strong toxic,strong toxic,,,yes
P240,Vicia faba L.,Ackerbohne,Broad bean,Vicia,Fabaceae,Mediterranean,agriculture,domestic,Agricultural plant,Jun.-Jul.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),"strong toxic (cow, pig)",,,yes
P241,"Vicia cracca L. s.l. (V. cracca L. s.l., V. cracca subsp. incana (Gouan) Rouy and V. cracca subsp. tenuifolia (Roth) Bonnier & Layens)",Vogel-Wicke,Tufted vetch,Vicia,Fabaceae,Europe and Asia,65,domestic,Weed and ruderal plant,Jun.-Aug.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,
P242,Vicia pisiformis L.,Erbsen-Wicke,,Vicia,Fabaceae,Eastern Europe,1,domestic,Meadow plant,Jun.-Aug.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,
P243,Vicia dumetorum L. ,Hecken-Wicke,,Vicia,Fabaceae,Central Europe,21,domestic,Meadow plant,Jun.-Aug.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,
P244,Vicia hirsuta (L.) Gray,Rauhaarige Wicke,Hairy vetch,Vicia,Fabaceae,Europe and Asia,39,domestic,Weed and ruderal plant,May-Jul.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,
P245,Vicia lathyroides L.,Platterbsen-Wicke,Spring vetch,Vicia,Fabaceae,Mediterranean,2,domestic,Xerophyte,Apr.-May,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,
P246,Vicia lutea L.,Gelbe Wicke,Yellow vetch,Vicia,Fabaceae,Mediterranea,5,alien,Weed and ruderal plant,May,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,
P247,Vicia onobrychioides L.,Esparsetten-Wicke,,Vicia,Fabaceae,Mediterranean,4,domestic,Weed and ruderal plant,May-Jul.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,
P248,"Vicia sativa L. s.l. (V. sativa L. s.str., V. sativa subsp. cordata (Hoppe) Batt. and V. sativa subsp. nigra (L.) Ehrh.)",Futter-Wicke,Common vetch,Vicia,Fabaceae,Mediterranean,45,alien,Weed and ruderal plant,May-Oct.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,
P249,Vicia sepium L.,Zaun-Wicke,Bush vetch,Vicia,Fabaceae,Europe and Siberia,72,domestic,Meadow plant,Apr.-Jul.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,
P250,Vicia sylvativa L.,Wald-Wicke,Wood vetch,Vicia,Fabaceae,Europe and Siberia,31,domestic,Forest plant,Jun.-Aug.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,
P251,Vicia tetrasperma (L.) Schreb.,Viersamige Wicke,Smooth vetch,Vicia,Fabaceae,Europe and Asia,24,domestic,Weed and ruderal plant,May-Jul.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,
P252,Vicia villosa Roth,Zottige Wicke,Fodder vetch,Vicia,Fabaceae,Mediterranean,10,domestic,Weed and ruderal plant,Jun.-Aug.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,
P253,Vicia parviflora Cav.,Zarte Wicke,,Vicia,Fabaceae,Mediterranean,1.5,domestic,Weed and ruderal plant,Jun.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,
P254,Vicia pannonica Crantz,Ungarische Wicke,Hungarian vetch,Vicia,Fabaceae,Mediterranean,5,alien,Weed and ruderal plant,May-Jul.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,
P255,Lens culinaris Medik.,Linse,Lentil,Lens,Fabaceae,Mediterranean,agriculture,domestic,Agricultural plant,Jun.-Jul.,Young herb,weak toxic,,,,yes
P256,Lathyrus tuberosus L.,Knollige Platterbse,Tuberous pea,Lathyrus,Fabaceae,Europe and Asia,11,domestic,Weed and ruderal plant,Jun.-Jul.,Seed,weak toxic,toxic,,,
P257,Lathyrus sylvestris L.,Wald-Platterbse,Flat pea,Lathyrus,Fabaceae,Europe,45,domestic,Forest plant,Jul.-Aug.,Seed,weak toxic,toxic,,,
P258,Lathyrus latifolius L.,Breitblaettrige Platterbse,Perennial pea,Lathyrus,Fabaceae,Southern Europe,20,alien,Ornamental garden plant,Jun.-Aug.,Seed,weak toxic,toxic,,yes,
