"Plants with Activity Synergy","Chemical Count","Total PPM"
"Phaseolus lunatus","2","6.0"
"Phaseolus coccineus","1",
"Phellodendron amurense","1",
"Phoenix dactylifera","1",
"Physalis alkekingi","1",
"Pimenta racemosa","1",
"Pimenta dioica","1","0.4"
"Pimpinella anisum","1","400.0"
"Pinus echinata","1","2.52"
"Piper cubeba","1",
"Pistacia vera","1","0.02"
"Pisum sativum","2",
"Plectranthus incanus","1",
"Polygonum multiflorum","1",
"Polygonum hydropiper","1",
"Prunus spinosa","1",
"Prunus serotina","2","12.8"
"Prunus persica","2","140000.0"
"Prunus dulcis","2","93000.04"
"Prunus domestica","2","50000.0"
"Prunus cerasus","1",
"Prunus armeniaca","1","160000.0"
"Prunus africana","1",
"Pulsatilla chinensis","1",
"Punica granatum","2",
"Pycnanthemum virginianum","1","406.0"
"Pycnanthemum verticillatum","1",
"Pycnanthemum torreyi","1","124.0"
"Pycnanthemum tenuifolium","1","380.0"
"Pycnanthemum setosum","1","124.0"
"Pycnanthemum pycnanthemoides","1","928.0"
"Pycnanthemum pilosum","1","420.0"
"Pycnanthemum incanum","1","38.0"
"Pycnanthemum clinopodioides","1","7172.0"
"Pycnanthemum californicum","1","216.0"
"Pycnanthemum beadlei","1","3066.0"
"Pyrus communis","2","1.11"
"Quercus velutina","1","1.86"
"Quercus rubra","1","2.68"
"Quercus alba","1","3.04"
"Ranunculus bulbosus","1",
"Rheum palmatum","1",
"Rheum officinale","1","100000.0"
"Rhus copallina","1","13.26"
"Ribes uva-crispa","1",
"Ribes nigrum","1",
"Robinia pseudoacacia","1",
"Rosmarinus officinalis","2",
"Rubia cordifolia","1",
"Rubus sp.","1",
"Rubus idaeus","1",
"Rumex crispus","1",
"Rumex acetosella","1",
"Salvia triloba","1","3240.0"
"Salvia officinalis","2","52224.0"
"Sassafras albidum","2","11.98"
"Satureja montana","1",
"Satureja hortensis","1",
"Satureja douglasii","1","754.0"
"Scopolia carniolica","3",
"Senna occidentalis","1","38000.0"
"Senna obtusifolia","1","40000.0"
"Sideritis scardica","1",
"Sinomenium acutum","1",
"Solanum tuberosum","3",
"Solanum melongena","1",
"Solanum mammosum","1",
"Solanum dulcamara","1",
"Sophora secundiflora","1",
"Sophora japonica","1",
"Sophora angustifolia","1",
"Sorbus aucubaria","1","1234.0"
"Spartium junceum","1","12600.0"
"Spinacia oleracea","1",
"Stellaria media","1",
"Stephania glabra","1",
"Stevia rebaudiana","1",
"Strophanthus kombe","1","200000.0"
"Strophanthus gratus","2",
"Strophanthus divaricatus","2",
"Symphoricarpos orbiculatus","1","8.8"
"Tagetes lucida","1",
"Tanacetum vulgare","1",
"Taxus baccata","1",
"Terminalia chebula","2",
"Terminalia catappa","2",
"Terminalia arjuna","2",
"Teucrium polium","1",
"Teucrium gnaphalodes","1",
"Theobroma cacao","2",
"Thespesia populnea","1",
"Thevetia peruviana","2",
"Thevetia neriifolia","2",
"Thuja occidentalis","1",
"Thymus orospedanus","1","2.0"
"Trifolium pratense","1",
"Triticum aestivum","1",
"Tsuga canadensis","1",
"Ulex europaeus","1",
"Umbellularia californica","2","31200.0"
"Uncaria tomentosa","1",
"Uncaria guianensis","1",
"Urtica dioica","1",
"Vaccinium myrtillus","1",
"Vaccinium macrocarpon","1",
"Vaccinium corymbosum","1","330.0"
"Valeriana officinalis","1",
"Valeriana jatamansi","1",
"Vanilla planifolia","1",
"Veratrum album","1",
"Viburnum prunifolium","1",
"Viburnum opulus","1",
"Vicia faba","1",
"Vigna unguiculata","1","4.8"
"Vitis vinifera","2",
"Withania somnifera","1",
"Xanthorhiza simplicissima","1",
"Zanthoxylum clava-herculis","1",
"Zanthoxylum americanum","1",
"Zea mays","4","2.7"
