,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,knapsack_snippet,Sources
110,81511-1,Rauvolfia bahiensis,Rauvolfia bahiensis,81511-1,Species,,"""['Normacusine B', '10-O-Methylsarpagine', 'Picrinine', '(+)-Raucaffrinoline', '(-)-Vinorine', '(+)-Purpeline', '(+/-)-Norpurpeline', '(+)-Seredamine', '(+)-12-methoxyaffinisine', '12-Methoxy-Na-methylvellosimine', '12-Methoxy-vellosimine', 'Demethoxypurpeline']""",:KNApSAcK
111,909641-1,Rauvolfia balansae,Rauvolfia balansae,909641-1,Species,,"""['(+)-Raucaffrinoline', '(+)-Perakine', '(-)-Vinorine', '(+)-Ajmaline', '19,20-Dihydrovomilenine', 'Vomilenine']""",:KNApSAcK
112,81513-1,Rauvolfia biauriculata,Rauvolfia biauriculata,81513-1,Species,,"""['(+)-Perakine', '(+)-Ajmaline', 'Vomilenine']""",:KNApSAcK
113,81519-1,Rauvolfia caffra,Rauvolfia caffra,81519-1,Species,,"""['Sarpagine', '(+)-Raucaffrinoline', '(+)-Perakine', '(-)-Vinorine', '(+)-Ajmaline', 'Vomilenine', '17,21-O,O-Diacetylajmaline', '17-O-Acetylajmaline', 'Raucaffricine', 'Raucaffriline']""",:KNApSAcK
114,81520-1,Rauvolfia cambodiana,Rauvolfia cambodiana,81520-1,Species,,"""['(+)-Ajmaline']""",:KNApSAcK
115,81531-1,Rauvolfia cubana,Rauvolfia cubana,81531-1,Species,,"""['(+)-Ajmaline', 'Deserpidine', '(+)-Sandwicine']""",:KNApSAcK
116,81545-1,Rauvolfia grandiflora,Rauvolfia grandiflora,81545-1,Species,,"""['Darcyribeirine']""",:KNApSAcK
117,81565-1,Rauvolfia ligustrina,Rauvolfia ligustrina,81565-1,Species,,"""['(+)-Ajmaline']""",:KNApSAcK
118,217921-2,Rauvolfia littoralis,Rauvolfia littoralis,217921-2,Species,,"""['(+)-Ajmaline', 'Deserpidine']""",:KNApSAcK
119,81579-1,Rauvolfia mannii,Rauvolfia mannii,81579-1,Species,,"""['(-)-Vincamajine', 'Raucaffricine']""",:KNApSAcK
120,81583-1,Rauvolfia media,Rauvolfia media,81583-1,Species,,"""['(+)-Mauiensine', '(+)-12-Hydroxymauiensine']""",:KNApSAcK
121,81591-1,Rauvolfia mombasiana,Rauvolfia mombasiana,81591-1,Species,,"""['(+)-Ajmaline', '(+)-Purpeline', '(+/-)-Norpurpeline', 'Endolobine', 'Nortetraphyllicine', '(+)-Vomalidine']""",:KNApSAcK
122,81598-1,Rauvolfia nitida,Rauvolfia nitida,81598-1,Species,,"""['(+)-Raucaffrinoline', 'Yohimbine', '(+)-Ajmaline', 'Reserpiline', 'Nortetraphyllicine', 'Rescinnamine', '(+)-Norajmaline', '(+)-17-O-Acetylnortetraphyllicine', 'Rauniticine']""",:KNApSAcK
123,81642-1,Rauvolfia sandwicensis,Rauvolfia sandwicensis,81642-1,Species,,"""['(+)-Sandwicine']""",:KNApSAcK
124,328979-2,Rauvolfia sellowii,Rauvolfia sellowii,328979-2,Species,,"""['(+)-Raucaffrinoline', '(+)-Perakine', '(+)-Ajmaline', 'Vomilenine']""",:KNApSAcK
125,81646-1,Rauvolfia semperflorens,Rauvolfia semperflorens,81646-1,Species,,"""['(+)-Raucaffrinoline', '(-)-Vinorine', '(+)-Sandwicine', '(+)-Mauiensine', 'Nortetraphyllicine', '(+)-Isoajmaline', '(+)-Isosandwicine']""",:KNApSAcK
126,81648-1,Rauvolfia serpentina,Rauvolfia serpentina,81648-1,Species,,"""['Strictosidine', '4,21-Dehydrogeissoschizine', 'Sarpagine', 'Tetrahydroalstonine', '(+)-Raucaffrinoline', 'Reserpine', '(+)-Perakine', '(-)-Vinorine', 'Vellosimine', 'Ajmalicine', 'Serpentine', 'Cathenamine', 'Yohimbine', '(+)-Ajmaline', 'Reserpiline', 'Vomilenine', '17-O-Acetylajmaline', 'Raucaffricine', 'Rescinnamine', '(+)-Isoajmaline', 'Papaverine', 'Ajmalimine', '(+)-Sandwicolidine', 'Ajmalinimine', 'Rescinnamidine', '3,4,5,6-Tetradehydroyohimbine', '12-Hydroxyajmaline', 'Acetylnorajmaline', '16-Epivellosimine', 'Polyneuridine aldehyde', 'Norajamaline']""",:KNApSAcK
127,81499-1,Rauvolfia sevenetii,Rauvolfia sevenetii,81499-1,Species,,"""['(+)-Raucaffrinoline', '(-)-Vinorine', '(+)-Ajmaline', '19,20-Dihydrovomilenine', 'Vomilenine']""",:KNApSAcK
128,81500-1,Rauvolfia spathulata,Rauvolfia spathulata,81500-1,Species,,"""['(+)-Raucaffrinoline', '(-)-Vinorine', '(+)-Ajmaline', '19,20-Dihydrovomilenine', 'Vomilenine']""",:KNApSAcK
129,81652-1,Rauvolfia sprucei,Rauvolfia sprucei,81652-1,Species,,"""['(+)-Perakine']""",:KNApSAcK
130,81660-1,Rauvolfia sumatrana,Rauvolfia sumatrana,81660-1,Species,,"""['(+)-Perakine', '(+)-Norseredamine', '(-)-Flexicorine']""",:KNApSAcK
131,81663-1,Rauvolfia tetraphylla,Rauvolfia tetraphylla,81663-1,Species,,"""['(+)-Ajmaline']""",:KNApSAcK
132,81667-1,Rauvolfia verticillata,Rauvolfia verticillata,81667-1,Species,,"""['Reserpine', 'Vellosimine', '(+)-Ajmaline', 'Raucaffricine', 'Macrospegatrine', '7-Hydroxynoracronycine']""",:KNApSAcK
133,81670-1,Rauvolfia viridis,Rauvolfia viridis,81670-1,Species,,"""['(+)-Quebrachidine', '(+)-Ajmaline']""",:KNApSAcK
134,81672-1,Rauvolfia volkensii,Rauvolfia volkensii,81672-1,Species,,"""['(+)-Raucaffrinoline', '(+)-Perakine', '(+)-Ajmaline', '17-O-Acetylajmaline', 'Nortetraphyllicine', '17-O-Acetyltetraphyllicine']""",:KNApSAcK
135,81673-1,Rauvolfia vomitoria,Rauvolfia vomitoria,81673-1,Species,,"""['(+)-Quebrachidine', 'Alstonine', 'Quaternine', 'Sarpagine', 'Tetrahydroalstonine', '(+)-Raucaffrinoline', 'Reserpine', '(+)-Perakine', 'Yohimbine', '(+)-Ajmaline', '(+)-Purpeline', '(+/-)-Norpurpeline', '(+)-Seredamine', 'Vomilenine', '17-O-Acetylajmaline', '(+)-Sandwicine', 'Endolobine', 'Nortetraphyllicine', '(+)-Vomalidine', 'Rescinnamine', '(+)-Norajmaline', '(+)-Isoajmaline', '(+)-Isosandwicine', 'Ajmalimine', '(+)-Norseredamine', '(+)-Mitoridine', 'Vincamajoreine', '10-Hydroxynortetraphyllicine', 'Norrauvomitine', '(-)-Rauvomitine']""",:KNApSAcK
136,81712-1,Rhazya stricta,Rhazya stricta,81712-1,Species,,"""['Strictamine', 'Strictosidine', 'Akuammidine', 'Deacetylakuammiline', '(-)-Quebrachamine', '(+)-Eburnamenine', 'Antirhine', 'Rhazidine', 'Rhazinaline', '(+)-Vincadifformine', '5alpha-Carboxystrictosidine']""",:KNApSAcK
137,81785-1,Skytanthus acutus,Skytanthus acutus,81785-1,Species,,"""['beta-Skytanthine']""",:KNApSAcK
138,101613-1,Stapelia hirsuta,Stapelia hirsuta,101613-1,Species,,"""['Hordenine', 'Tyramine']""",:KNApSAcK
139,81849-1,Strempeliopsis strempelioides,Strempeliopsis strempelioides,81849-1,Species,,"""['Condylocarpine', 'Stemmadenine', 'Strictosidine', '4,21-Dehydrogeissoschizine', '(E)-Geissoschizine', '(-)-Aspidospermine', 'Pleiocarpamine', '(+)-Eburnamonine', 'Aspidosine', 'Vallesine', '(-)-Strempeliopine', '(-)-Vallesamidine', '(+)-Strempeliopidine']""",:KNApSAcK
140,81996-1,Tabernaemontana amygdalifolia,Tabernaemontana amygdalifolia,81996-1,Species,,"""['Cylindrocarpidine', 'Homocylindrocarpidine', 'O-Demethylpalosine']""",:KNApSAcK
141,82007-1,Tabernaemontana apoda,Tabernaemontana apoda,82007-1,Species,,"""['Voacangine', 'Apodine', 'Apodinine', 'Heyneanine', 'Voacangine hydroxyindolenine', 'Voacangine pseudoindoxyl', 'Voacristine', 'Voacristine hydroxyindolenine', 'Montanine', 'Ibogaine hydroxyindolenine', 'Isovoacangine']""",:KNApSAcK
142,248839-2,Tabernaemontana arborea,Tabernaemontana arborea,248839-2,Species,,"""['Voacangine', 'Isovoacangine', 'Voacamine', '19-Epivoacorine']""",:KNApSAcK
143,248841-2,Tabernaemontana attenuata,Tabernaemontana attenuata,248841-2,Species,,"""['Tubotaiwine', 'Voacangine', 'Heyneanine', 'Isovoacangine', 'Coronaridine hydroxyindolenine', '10-Hydroxyheyneanine', '11-Hydroxycoronaridine', '11-Hydroxyheyneanine', '19-Epiheyneanine', 'Conopharyngine', 'Conopharyngine hydroxyindolenine', 'Ibophyllidine']""",:KNApSAcK
144,82013-1,Tabernaemontana aurantiaca,Tabernaemontana aurantiaca,82013-1,Species,,"""['Voacangine', 'Voacangine pseudoindoxyl']""",:KNApSAcK
145,82026-1,Tabernaemontana bovina,Tabernaemontana bovina,82026-1,Species,,"""['Ibogaine', 'Ibogaline', 'Isovoacristine', '(-)-Mehranine', 'Tabernaebovine', '20-Hydroxyconopharyngine', '3-Oxomehranine', 'Hecubine', 'Pedunculine']""",:KNApSAcK
146,82027-1,Tabernaemontana brachyantha,Tabernaemontana brachyantha,82027-1,Species,,"""['Normacusine B', 'Voacorine']""",:KNApSAcK
147,82034-1,Tabernaemontana bufalina,Tabernaemontana bufalina,82034-1,Species,,"""['Perivine', 'Heyneanine', 'Coronaridine hydroxyindolenine', '10-Hydroxyheyneanine', '3-Oxocoronaridine', 'Ervahanine A', 'Ervahanine B', 'Ervahanine C']""",:KNApSAcK
148,82035-1,Tabernaemontana calcarea,Tabernaemontana calcarea,82035-1,Species,,"""['(-)-Apparicine', '(-)-Coronaridine', 'Ibogamine', 'Voacangine', 'Dregamine', 'Heyneanine', 'Voacristine', 'Isovoacangine', '11-Hydroxycoronaridine', 'Isovoacristine', '20-Epipandoline', 'Pandine', 'Pandoline', '(20R)-Pseudovincadifformine', '19-Epivoacristine', 'Silicine', '19-epi-Heyneanine']""",:KNApSAcK
149,907601-1,Tabernaemontana capuronii,Tabernaemontana capuronii,907601-1,Species,,"""['14,15-Anhydrocapuronidine', 'Capuronidine', 'Capuronine', 'Capuvosine']""",:KNApSAcK
150,82043-1,Tabernaemontana catharinensis,Tabernaemontana catharinensis,82043-1,Species,,"""['(-)-Coronaridine', 'Voacangine', 'Heyneanine']""",:KNApSAcK
151,82046-1,Tabernaemontana cerifera,Tabernaemontana cerifera,82046-1,Species,,"""['(-)-Apparicine', 'Voacangine', 'Voacangine hydroxyindolenine']""",:KNApSAcK
152,82055-1,Tabernaemontana citrifolia,Tabernaemontana citrifolia,82055-1,Species,,"""['Lochnericine', 'Vallesamine', '(-)-Apparicine', 'Voacangine', 'Voacangine hydroxyindolenine', 'Voacristine', '20-Epipandoline', 'Pandine', 'Pandoline', '3-Oxovoacangine']""",:KNApSAcK
153,82059-1,Tabernaemontana coffeoides,Tabernaemontana coffeoides,82059-1,Species,,"""['Normacusine B', 'Stemmadenine', 'Lochnericine', 'Vallesamine', '(-)-Hazuntine', '3-Oxotabersonine', 'Isoreserpiline', '(-)-Apparicine', 'Polyneuridine', 'Voacangine', 'Pericyclivine', 'Dregamine', 'Tabernaemontanine', 'Reserpiline', 'Heyneanine', 'Isovoacangine', '19-Epiheyneanine', 'Silicine', '14,15-Dihydroxyvincadifformine', 'Voaphylline', 'Voacarpine', '(19R)-19-Hydroxytabernaelegantine A', ""(20'S)-19',20'-Dihydrotabernamine"", '20-Episilicine', '3,14-Dihydroellipticine', '6-Oxo-16-episilicine', '6-Oxomethuenine', '6-Oxosilicine', 'Hazuntinine', 'Isomethuenine', 'Methuenine', 'Tabernaelegantine A', '(+)-Tetraphyllicine', 'Vincanidine']""",:KNApSAcK
154,82065-1,Tabernaemontana contorta,Tabernaemontana contorta,82065-1,Species,,"""['Voacangine', 'Voacristine', 'Conopharyngine']""",:KNApSAcK
155,60466167-2,Tabernaemontana corymbosa,Tabernaemontana corymbosa,60466167-2,Species,,"""['Ervahanine A', 'Jerantinine A', 'Jerantinine B', 'Jerantinine C', 'Jerantinine D', 'Jerantinine E', 'Jerantinine F', 'Jerantinine G', '19(S)-Hydroxyibogamine', '19-epi-Isovoacristine', 'Isovoacryptine', 'Jerantinine H', 'Jerantiphylline A', 'Jerantiphylline B']""",:KNApSAcK
156,82072-1,Tabernaemontana crassa,Tabernaemontana crassa,82072-1,Species,,"""['Akuammiline', 'Perivine', 'Heyneanine', 'Voacristine', 'Isovoacangine', 'Conopharyngine', 'Conopharyngine hydroxyindolenine', 'Ibogaine', '3-Oxocoronaridine', '19-Hydroxyconopharyngine', '5-Oxocoronaridine', 'Conoduramine', 'Crassanine']""",:KNApSAcK
157,913394-1,Tabernaemontana debrayi,Tabernaemontana debrayi,913394-1,Species,,"""['Dregamine', 'Pandine', 'Pandoline']""",:KNApSAcK
158,60466169-2,Tabernaemontana dichotoma,Tabernaemontana dichotoma,60466169-2,Species,,"""['Stemmadenine', 'Vallesamine', '(-)-Apparicine', 'Voacangine', 'Perivine', 'Vobasine', 'Heyneanine', 'Voacristine hydroxyindolenine', '19-Epiheyneanine', '19-Epivoacristine', 'Voaphylline', 'Isomethuenine', '12-Methoxyvoaphylline', 'Voaphylline hydroxyindolenine', 'Dichomine', '19-Epiiboxygaine', 'O-Acetylvallesamine']""",:KNApSAcK
159,82097-1,Tabernaemontana divaricata,Tabernaemontana divaricata,82097-1,Species,,"""['Lochnericine', '(-)-Apparicine', 'Voacangine', 'Dregamine', 'Tabernaemontanine', 'Voacristine', 'Isovoacangine', 'Coronaridine hydroxyindolenine', 'Isovoacristine', '3-Oxocoronaridine', 'Voaphylline', '5-Oxocoronaridine', 'Voaphylline hydroxyindolenine', 'Pachysiphine', 'Voaharine', '5-Hydroxy-6-oxocoronaridine', '6-Oxocoronaridine', 'Voafinine']""",:KNApSAcK
160,82107-1,Tabernaemontana eglandulosa,Tabernaemontana eglandulosa,82107-1,Species,,"""['Norfluorocurarine', 'Voacangine pseudoindoxyl', 'Voacristine', 'Isovoacangine', '11-Hydroxycoronaridine', 'Conopharyngine', 'Dichomine', '(16R)-Descarbomethoxytacamine', '(16S)-Descarbomethoxytacamine', '(19S)-Hydroxytacamine', '16,17-Anhydrotacamine', '16-Epitacamine', 'Tacamine', 'Tacamonine', '(+)-20R-Pseudovincadifformine', '20S-Pseudovincadifformine', '(20R)-15,20-Dihydrocleavamine', '(20S)-Hydroxy-1,2-dehydropseudoaspidospermidine', '(20S)-15,20-Dihydrocleavamine', '17-Hydroxytacamonine', '3-Hydroxycoronaridine']""",:KNApSAcK
161,82109-1,Tabernaemontana elegans,Tabernaemontana elegans,82109-1,Species,,"""['Tubotaiwine', '(-)-Apparicine', 'Vobasine', 'Dregamine', 'Isovoacangine', 'Tabernaelegantine A', 'Tabernine A', 'Tabernine B', 'Tabernine C']""",:KNApSAcK
162,82121-1,Tabernaemontana flavicans,Tabernaemontana flavicans,82121-1,Species,,"""['Ibophyllidine N-oxide']""",:KNApSAcK
163,82129-1,Tabernaemontana glandulosa,Tabernaemontana glandulosa,82129-1,Species,,"""['12-Demethoxytabernulosine']""",:KNApSAcK
164,82154-1,Tabernaemontana humblotii,Tabernaemontana humblotii,82154-1,Species,,"""['Tubotaiwine', '(+)-14,15-Dehydro-16-epivincamine', '(-)-Apparicine', 'Voacangine', 'Voacristine', 'Ibogaline', '19-Epiiboxygaine', 'Iboluteine']""",:KNApSAcK
165,82175-1,Tabernaemontana laeta,Tabernaemontana laeta,82175-1,Species,,"""['Normacusine B']""",:KNApSAcK
166,285810-2,Tabernaemontana litoralis,Tabernaemontana litoralis,285810-2,Species,,"""['Strictosidine', 'Tabersonine', '(-)-Coronaridine', 'Heyneanine']""",:KNApSAcK
167,248876-2,Tabernaemontana longipes,Tabernaemontana longipes,248876-2,Species,,"""['Voacangine']""",:KNApSAcK
168,82203-1,Tabernaemontana macrocarpa,Tabernaemontana macrocarpa,82203-1,Species,,"""['Voacangine', 'Voacangine hydroxyindolenine', 'Voaphylline']""",:KNApSAcK
169,288916-2,Tabernaemontana markgrafiana,Tabernaemontana markgrafiana,288916-2,Species,,"""['(-)-Coronaridine', 'Ibogamine', 'Voacangine']""",:KNApSAcK
170,82224-1,Tabernaemontana mocquerysi,Tabernaemontana mocquerysi,82224-1,Species,,"""['Tubotaiwine', 'Voacangine', 'Heyneanine', 'Voacristine', '19-Epiheyneanine', '19-Epivoacristine', 'Methuenine', '(20R)-15,20-Dihydrocleavamine', '(20S)-15,20-Dihydrocleavamine', 'Ervitsine']""",:KNApSAcK
171,20010230-1,Tabernaemontana odoratissima,Tabernaemontana odoratissima,20010230-1,Species,,"""['Vobasine', 'Gabunine']""",:KNApSAcK
172,248887-2,Tabernaemontana oppositifolia,Tabernaemontana oppositifolia,248887-2,Species,,"""['(-)-Coronaridine', 'Voacamine']""",:KNApSAcK
173,82263-1,Tabernaemontana pachysiphon,Tabernaemontana pachysiphon,82263-1,Species,,"""['Normacusine B', '16R,19E-Isositsirikine', 'Lochnericine', 'Tubotaiwine', '(-)-Apparicine', 'Voacangine', 'Pericyclivine', 'Perivine', 'Isovoacangine', 'Voacamine', 'Conopharyngine', 'Conopharyngine hydroxyindolenine', 'Ibogaline', '3-Oxocoronaridine', 'Conoduramine', 'Pachysiphine', '11-Demethylconoduramine', '16-Epiaffinine', '16-Epiisositsirikine', 'Conopharyngine pseudoindoxyl', '19S-Hydroxyconopharyngine']""",:KNApSAcK
174,82269-1,Tabernaemontana pandacaqui,Tabernaemontana pandacaqui,82269-1,Species,,"""['Tabernaemontanine', 'Isovoacangine', 'Isovoacristine', 'Pandine', 'Tacamine', '20-Epilochneridine', '3-Epiervafolidine', 'Ervafolidine', 'Ervafoline']""",:KNApSAcK
175,82282-1,Tabernaemontana penduliflora,Tabernaemontana penduliflora,82282-1,Species,,"""['(-)-Coronaridine', 'Voacangine', 'Conopharyngine']""",:KNApSAcK
176,82297-1,Tabernaemontana psorocarpa,Tabernaemontana psorocarpa,82297-1,Species,,"""['Tetrahydroalstonine', 'Vallesiachotamine', 'Voacangine', '14,15-Dehydro-12-methoxyvincamine', '16-Epiisositsirikine', 'Isovallesiachotamine']""",:KNApSAcK
177,82313-1,Tabernaemontana retusa,Tabernaemontana retusa,82313-1,Species,,"""['Voacangine', 'Heyneanine', 'Voacristine', 'Coronaridine hydroxyindolenine', '3-Oxovoacangine', 'Voaphylline', 'Pachysiphine']""",:KNApSAcK
178,82322-1,Tabernaemontana rupicola,Tabernaemontana rupicola,82322-1,Species,,"""['Voacangine pseudoindoxyl', 'Montanine']""",:KNApSAcK
179,82327-1,Tabernaemontana sananho,Tabernaemontana sananho,82327-1,Species,,"""['Voacangine', 'Heyneanine', '3-Hydroxycoronaridine']""",:KNApSAcK
180,82330-1,Tabernaemontana sessilifolia,Tabernaemontana sessilifolia,82330-1,Species,,"""['(-)-Apparicine', 'Dregamine', 'Tabernaemontanine', 'Isovoacangine', '6-Hydroxy-3-oxoisovoacangine']""",:KNApSAcK
181,20001045-1,Tabernaemontana siphilitica,Tabernaemontana siphilitica,20001045-1,Species,,"""['Tetrahydroalstonine', 'Tubotaiwine', '(-)-Apparicine', '(-)-Vincadifformine', 'Voacangine', 'Pleiocarpamine', 'Isovoacangine', '(-)-12-Hydroxyvincadifformine', 'Bonafousine', 'Isobonafousine', 'Tetrastachynine']""",:KNApSAcK
182,82336-1,Tabernaemontana sphaerocarpa,Tabernaemontana sphaerocarpa,82336-1,Species,,"""['Dregamine', 'Tabernaemontanine']""",:KNApSAcK
183,82371-1,Tabernaemontana undulata,Tabernaemontana undulata,82371-1,Species,,"""['(+)-Quebrachidine', 'Voacangine', '19-Epiheyneanine', 'Voaphylline']""",:KNApSAcK
184,56090-1,Tabernanthe iboga,Tabernanthe iboga,56090-1,Species,,"""['(-)-Coronaridine', 'Ibogamine', 'Ibophyllidine', 'Ibogaine', 'Tabernanthine']""",:KNApSAcK
185,82553-1,Trachelospermum jasminoides,Trachelospermum jasminoides,82553-1,Species,,"""['Voacangine', 'Vobasine', 'Ibogaine']""",:KNApSAcK
186,82668-1,Vallesia glabra,Vallesia glabra,82668-1,Species,,"""['(-)-Aspidospermine', '(-)-Vincadifformine', 'Haplocidine', 'Vallesine', '1-Acetylaspidoalbidine', '18-Oxohaplocidine']""",:KNApSAcK
187,82683-1,Vinca difformis,Vinca difformis,82683-1,Species,,"""['(-)-Vincamajine', 'Normacusine B', '(-)-Vincamedine', '(+)-Vincadifformine']""",:KNApSAcK
188,82686-1,Vinca erecta,Vinca erecta,82686-1,Species,,"""['Normacusine B', 'Norfluorocurarine', 'Skimmianine', '(-)-Akuammicine:Akuammicine', 'Picrinine', '(-)-Kopsinine', '(-)-Eburnamine', 'Isoreserpiline', '(-)-Quebrachamine', 'Vincamine', '(+)-Minovincinine', 'Rauniticine', 'Vincanidine', 'Akuammine', 'Apovincamine', '(+)-Vincarine', '(-)-Majoridine', '(+)-10-Methoxyvinorine', 'Dihydrovindolinine']""",:KNApSAcK
189,82691-1,Vinca herbacea,Vinca herbacea,82691-1,Species,,"""['(-)-Vincamajine', 'Skimmianine', '(-)-Akuammicine:Akuammicine', '(-)-Kopsinine', 'Tabersonine', 'Serpentine', 'Vincamine', 'Akuammine', '(+)-Vincarine', '11-Methoxyvincadifformine', 'Isomajdine']""",:KNApSAcK
190,82697-1,Vinca major,Vinca major,82697-1,Species,,"""['(-)-Vincamajine', '(-)-Vincamedine', 'Serpentine', 'Vincamine', 'Vincamajoreine', 'Akuammine', '(+)-Vincarine', '(-)-Majoridine', '(+)-10-Methoxyvinorine', 'Isomajdine', '10-Methoxyvomilenine', '(-)-Vincamajinine', '(-)-10-Methoxyperakine', '(-)-Vincawajine', 'Majdine']""",:KNApSAcK
191,82701-1,Vinca minor,Vinca minor,82701-1,Species,,"""['Vincorine', 'Strictamine', 'Vincoridine', '(-)-Vinorine', 'Vincadine', '(+)-Eburnamenine', 'Vincamine', 'Vincristine', '(+)-Minovincinine', '(+)-Isoeburnamine', '11-Methoxyvincadifformine', 'Eburnamonine', '(-)-11-Methoxyeburnamonine', '(-)-16-Epivincamine', '(+)-Vincaminine', '(+)-Vincinine', 'Minovincine']""",:KNApSAcK
192,82719-1,Voacanga africana,Voacanga africana,82719-1,Species,,"""['Lochnericine', 'Tabersonine', '(+)-Perakine', '(+)-Minovincinine', 'Voacangine', 'Vobasine', 'Voacangine hydroxyindolenine', 'Voacangine pseudoindoxyl', 'Voacristine', 'Voacristine hydroxyindolenine', 'Voacamine', 'Voacorine', 'Voaphylline', 'Vobtusine', 'Voacamidine']""",:KNApSAcK
193,82727-1,Voacanga chalotiana,Voacanga chalotiana,82727-1,Species,,"""['Voachalotine', 'Voacarpine', '(-)-Cuanzine', '(-)-Decarbomethoxycuanzine', '(+)-Dehydrovoachalotine']""",:KNApSAcK
194,82738-1,Voacanga globosa,Voacanga globosa,82738-1,Species,,"""['Voacamine']""",:KNApSAcK
195,82760-1,Voacanga thouarsii,Voacanga thouarsii,82760-1,Species,,"""['Voacamine', 'Ibogaine']""",:KNApSAcK
196,742903-1,Adina cordifolia,Adina cordifolia,742903-1,Species,,"""['Adifoline', 'Cadambine', 'Cordifoline']""",:KNApSAcK
197,1214821-2,Carapichea affinis,Carapichea affinis,1214821-2,Species,,"""['Dopamine', 'Cephaeline', 'Emetine', 'Protoemetine', ""7'-O-Demethylcephaeline""]""",:KNApSAcK
198,308173-2,Chimarrhis turbinata,Chimarrhis turbinata,308173-2,Species,,"""['Strictosidine', 'Vallesiachotamine', 'Desoxycordifoline', '5alpha-Carboxystrictosidine', 'Isovallesiachotamine', 'Cordifoline', 'Turbinatine']""",:KNApSAcK
199,58723-2,Cinchona officinalis,Cinchona officinalis,58723-2,Species,,"""['Strictosidine', 'Cinchonidine', 'Hydroquinidine', 'Quinine', 'Quinidine', 'Cinchonine']""",:KNApSAcK
200,746872-1,Cinchona pubescens,Cinchona pubescens,746872-1,Species,,"""['Quinine', 'Quinidine', '10-Methoxycinchonamine']""",:KNApSAcK
201,747038-1,Coffea arabica,Coffea arabica,747038-1,Species,,"""['Adenine', 'Caffeine', 'Theophylline', 'Xanthosine', '7-Methylxanthine', ""Xanthosine 5'-monophosphate"", 'Adenosine', '7-Methylxanthosine', 'Paraxanthine', '3-Methylxanthine', '2,3-Dimethylpyrazine', '2,5-Dimethylpyrazine', '2,6-Dimethylpyrazine', '2-Acetylpyridine', '2-Ethyl-6-methylpyrazine', '2-Methoxy-3-isobutylpyrazine', '2-Methoxypyridine', '2-Methylpyrazine', 'Pyridine']""",:KNApSAcK
202,747068-1,Coffea canephora,Coffea canephora,747068-1,Species,,"""['Adenine', 'Caffeine', 'Theophylline', 'Xanthosine', '7-Methylxanthine', ""Xanthosine 5'-monophosphate"", 'Adenosine', '7-Methylxanthosine', 'Paraxanthine', '3-Methylxanthine', '2,3-Dimethylpyrazine', '2,5-Dimethylpyrazine', '2,6-Dimethylpyrazine', '2-Ethyl-6-methylpyrazine', '2-Methylpyrazine', 'Pyridine', 'Theobromine']""",:KNApSAcK
203,747109-1,Coffea eugenioides,Coffea eugenioides,747109-1,Species,,"""['Caffeine']""",:KNApSAcK
204,747150-1,Coffea kianjavatensis,Coffea kianjavatensis,747150-1,Species,,"""['Adenine', 'Caffeine', 'Theophylline', 'Xanthosine', '7-Methylxanthine', ""Xanthosine 5'-monophosphate"", '7-Methylxanthosine', 'Paraxanthine', '3-Methylxanthine', 'Theobromine']""",:KNApSAcK
205,747169-1,Coffea liberica,Coffea liberica,747169-1,Species,,"""['Adenine', 'Caffeine', 'Theophylline', 'Xanthosine', '7-Methylxanthine', ""Xanthosine 5'-monophosphate"", '7-Methylxanthosine', 'Paraxanthine', '3-Methylxanthine', 'Theobromine', 'Theacrine', 'Methylliberine', 'Liberine']""",:KNApSAcK
206,747242-1,Coffea racemosa,Coffea racemosa,747242-1,Species,,"""['Adenine', 'Caffeine', 'Theophylline', 'Xanthosine', '7-Methylxanthine', ""Xanthosine 5'-monophosphate"", '7-Methylxanthosine', 'Paraxanthine', '3-Methylxanthine', 'Theobromine']""",:KNApSAcK
207,747254-1,Coffea salvatrix,Coffea salvatrix,747254-1,Species,,"""['Adenine', 'Caffeine', 'Theophylline', 'Xanthosine', '7-Methylxanthine', ""Xanthosine 5'-monophosphate"", '7-Methylxanthosine', 'Paraxanthine', '3-Methylxanthine', 'Theobromine']""",:KNApSAcK
208,747599-1,Corynanthe johimbe,Corynanthe johimbe,747599-1,Species,,"""['Yohimbine']""",:KNApSAcK
209,751948-1,Guettarda heterosepala,Guettarda heterosepala,751948-1,Species,,"""['Guettardine']""",:KNApSAcK
210,752194-1,Hamelia patens,Hamelia patens,752194-1,Species,,"""['L-Ephedrine']""",:KNApSAcK
211,753632-1,Isertia haenkeana,Isertia haenkeana,753632-1,Species,,"""['Apodihydrocinchonamine']""",:KNApSAcK
212,753635-1,Isertia hypoleuca,Isertia hypoleuca,753635-1,Species,,"""['Dihydroquinamine']""",:KNApSAcK
213,755237-1,Leptactina densiflora,Leptactina densiflora,755237-1,Species,,"""['Tetrahydroharmine']""",:KNApSAcK
214,756294-1,Mitragyna hirsuta,Mitragyna hirsuta,756294-1,Species,,"""['Mitraphylline', 'Rhynchophylline', 'Angustoline', 'Hirsuteine', 'Hirsutine', 'Isomitraphylline', 'Isorhynchophylline', 'Mitrajavine', 'Uncarine C', 'Speciophylline', 'Isopteropodine', 'Uncarine F', 'Isomitraphylline N-oxide']""",:KNApSAcK
